,civilian_male,civilian_female,tuple,average_male,average_female,female-male
0,0.14097354,-0.0562444,"('unsociable', 'sociable')",0.1409735,-0.0562444,-0.1972179
1,0.9915554,1.3377509,"('unfriendly', 'friendly')",0.9915554,1.3377509,0.3461955
2,0.5939173,0.8294062,"('unlikable', 'likable')",0.5939173,0.8294062,0.2354889
3,0.66087335,0.98085546,"('repellent', 'pleasant')",0.6608734,0.9808555,0.3199821
4,-7.5757885,-7.50619,"('disliked', 'liked')",-7.5757885,-7.5061898,0.0695987
5,-0.8013585,-0.2773404,"('distant', 'outgoing')",-0.8013585,-0.2773404,0.5240181
6,-0.6024035,-0.045389026,"('distant', 'open')",-0.6024035,-0.045389,0.5570145
7,1.3046364,1.520004,"('insensitive', 'sensitive')",1.3046364,1.520004,0.2153676
8,1.013762,1.2535622,"('unaffectionate', 'affectionate')",1.013762,1.2535622,0.2398002
9,1.8758174,2.0553021,"('unaffectionate', 'caring')",1.8758174,2.0553021,0.1794847
10,1.2711458,1.343445,"('unsympathetic', 'sympathetic')",1.2711458,1.3434449,0.0722991
11,2.3026695,2.279621,"('unhelpful', 'helpful')",2.3026695,2.2796209,-0.0230486
12,-1.1922038,-1.03538,"('unsupportive', 'supportive')",-1.1922038,-1.03538,0.1568238
13,0.31466126,0.11854893,"('impolite', 'polite')",0.3146613,0.1185489,-0.1961124
14,0.37859738,0.195912,"('antisocial', 'social')",0.3785974,0.195912,-0.1826854
15,0.057754084,0.15216413,"('boring', 'funny')",0.0577541,0.1521641,0.09441
16,-0.73543024,-0.453134,"('unpopular', 'popular')",-0.7354302,-0.453134,0.2822962
17,-0.16576812,-0.028520934,"('nasty', 'nice')",-0.1657681,-0.0285209,0.1372472
18,-0.5840952,-0.41566882,"('disagreeable', 'welcoming')",-0.5840952,-0.4156688,0.1684264
19,-0.53352016,-0.18707252,"('inhospitable', 'hospitable')",-0.5335202,-0.1870725,0.3464477
20,0.9068859,0.73088247,"('rough', 'thoughtful')",0.9068859,0.7308825,-0.1760034
21,0.4374115,0.5174339,"('immoral', 'moral')",0.4374115,0.5174339,0.0800224
22,0.2852609,0.2892204,"('untrustworthy', 'trustworthy')",0.2852609,0.2892204,0.0039595
23,6.9322233,7.1343765,"('insincere', 'sincere')",6.9322233,7.1343765,0.2021532
24,2.0801156,2.192908,"('dishonest', 'honest')",2.0801156,2.192908,0.1127924
25,0.481953,0.49117547,"('egoistic', 'altruistic')",0.481953,0.4911755,0.0092225
26,0.27278608,0.18206821,"('hardhearted', 'benevolent')",0.2727861,0.1820682,-0.0907179
27,1.1866876,1.2758514,"('hardhearted', 'softhearted')",1.1866876,1.2758514,0.0891638
28,1.6320022,1.628871,"('disloyal', 'loyal')",1.6320022,1.628871,-0.0031312
29,-0.03517836,0.03125666,"('unfair', 'fair')",-0.0351784,0.0312567,0.0664351
30,1.1532869,1.1230098,"('intolerant', 'tolerant')",1.1532869,1.1230098,-0.0302771
31,-1.8000202,-1.3795865,"('evil', 'good')",-1.8000202,-1.3795865,0.4204337
32,1.6276144,1.4991115,"('unkind', 'kind')",1.6276144,1.4991115,-0.1285029
33,-0.18534055,-0.19554995,"('wrong', 'right')",-0.1853406,-0.19555,-0.0102094
34,4.504871,4.8528833,"('mean', 'honorable')",4.5048709,4.8528833,0.3480124
35,-0.96921,-0.9240359,"('corrupt', 'incorrupt')",-0.96921,-0.9240359,0.0451741
36,-0.83687794,-0.7200634,"('hostile', 'amicable')",-0.8368779,-0.7200634,0.1168145
37,1.099901,1.080692,"('fake', 'genuine')",1.099901,1.0806921,-0.0192089
38,0.68520904,0.5723294,"('untruthful', 'truthful')",0.685209,0.5723294,-0.1128796
39,0.1568523,0.002277203,"('exploitative', 'cooperative')",0.1568523,0.0022772,-0.1545751
40,-1.6966835,-1.5055441,"('stingy', 'generous')",-1.6966835,-1.5055441,0.1911394
41,0.31784877,0.12725897,"('unforgiving', 'forgiving')",0.3178488,0.127259,-0.1905898
42,-2.268946,-2.1179194,"('unreliable', 'reliable')",-2.2689459,-2.1179194,0.1510265
43,1.509148,1.4753127,"('irresponsible', 'responsible')",1.509148,1.4753127,-0.0338353
44,-1.027715,-1.3502634,"('prejudiced', 'unprejudiced')",-1.027715,-1.3502634,-0.3225484
45,0.08443345,0.240888,"('incompetent', 'competent')",0.0844335,0.240888,0.1564545
46,-0.4896108,-0.46084183,"('uncompetitive', 'competitive')",-0.4896108,-0.4608418,0.028769
47,5.526985,5.9204125,"('stupid', 'smart')",5.5269852,5.9204125,0.3934273
