,duke_male,duke_female,tuple,realty_male,realty_female,corp_male,corp_female,average_male,average_female,female-male
42,0.20254178,0.17438439,"('unreliable', 'reliable')",0.104286954,0.22949523,-3.367282,-3.2683206,-1.0201511,-0.9548136,0.0653375
43,1.3057306,1.24132,"('irresponsible', 'responsible')",-1.1814042,-1.1341633,0.3515021,0.3684631,0.1586095,0.15854,-6.95e-05
44,-0.9920007,-0.9185262,"('prejudiced', 'unprejudiced')",0.113190874,0.23282562,-1.5171226,-1.5119686,-0.7986441,-0.7325563,0.0660878
45,0.017803922,-0.02746531,"('incompetent', 'competent')",-1.8335687,-1.7616769,-0.053200852,-0.09460301,-0.6229885,-0.6279151,-0.0049266
46,0.66929257,0.53440267,"('uncompetitive', 'competitive')",-1.4810019,-1.424861,-1.1145236,-1.1569159,-0.6420776,-0.6824581,-0.0403805
47,0.0012573507,0.06835569,"('stupid', 'smart')",0.37251177,0.3455521,6.0372853,6.0166945,2.1370182,2.143534,0.0065158
48,0.7580143,0.67736375,"('unintelligent', 'intelligent')",-0.54682237,-0.63245934,0.6170235,0.5370044,0.2760718,0.1939696,-0.0821022
49,0.41659504,0.3685271,"('unable', 'able')",-1.0026433,-0.92853564,-0.018011361,0.06252107,-0.2013532,-0.1658292,0.035524
50,-0.5288526,-0.57522756,"('clumsy', 'skillful')",0.8330573,0.91616035,0.37715647,0.3179863,0.2271204,0.2196397,-0.0074807
51,0.81712973,0.62243134,"('uneducated', 'educated')",-1.0570992,-1.1583707,0.086079806,0.0153593235,-0.0512966,-0.1735267,-0.1222301
52,-1.161868,-1.151595,"('irrational', 'rational')",0.62327075,0.51333934,0.050159294,0.040351987,-0.1628126,-0.1993012,-0.0364886
53,-0.17291516,-0.16845952,"('uncreative', 'creative')",-0.17980042,-0.17046124,0.48490667,0.3593822,0.0440637,0.0068205,-0.0372432
54,0.40618926,0.3869443,"('incapable', 'capable')",0.6707726,0.66750497,1.0464791,1.1290561,0.7078137,0.7278352,0.0200215
55,0.8793588,0.7661984,"('incompetent', 'clever')",-1.737564,-1.6913635,-0.08016,-0.1209788,-0.3127884,-0.3487146,-0.0359262
56,1.2012061,1.0246449,"('impractical', 'practical')",-0.23856403,-0.34673175,-0.5564735,-0.5586753,0.1353895,0.0397459,-0.0956436
57,-0.3278404,-0.44805837,"('unimaginative', 'imaginative')",-0.8228107,-0.80288,-3.6357176,-3.62071,-1.5954563,-1.6238828,-0.0284265
58,-0.68336433,-0.79777724,"('undiscriminating', 'discriminating')",-0.46977714,-0.4538644,-0.16842362,-0.13893068,-0.4405217,-0.4635241,-0.0230024
59,-0.15978467,-0.07331445,"('foolish', 'wise')",1.1465719,1.1190579,0.5278141,0.6116151,0.5048671,0.5524529,0.0475858
60,0.9712281,0.7854331,"('inefficient', 'efficient')",-0.7082618,-0.7436326,0.004092697,0.022735491,0.0890197,0.021512,-0.0675077
61,0.55924976,0.42577088,"('illogical', 'logical')",-0.35111183,-0.45283306,0.5969219,0.46895626,0.2683533,0.147298,-0.1210553
62,1.5871683,1.5877693,"('incompetent', 'brilliant')",-0.52584946,-0.42536038,0.7699936,0.8781748,0.6104375,0.6801945,0.069757
63,0.66726255,0.5870673,"('unperceptive', 'insightful')",-0.24896842,-0.26802406,0.8258619,0.84035194,0.4147187,0.3864651,-0.0282536
64,0.10867196,0.005948752,"('shy', 'confident')",-0.41052705,-0.4493797,-6.77012,-6.6713424,-2.3573251,-2.3715911,-0.014266
65,1.3815588,1.1672885,"('insecure', 'secure')",-1.2784646,-1.39386,-0.31294394,-0.30707604,-0.0699499,-0.1778825,-0.1079326
66,-0.7831689,-0.75198054,"('inactive', 'active')",0.5765108,0.62490374,0.62626636,0.6131887,0.1398694,0.1620373,0.0221679
67,0.008906685,-0.10123174,"('doubtful', 'determined')",0.9667392,0.84356,-0.44195867,-0.4450195,0.1778957,0.0991029,-0.0787928
68,0.7506608,0.61874294,"('dependent', 'independent')",-1.479106,-1.5346978,-0.65535694,-0.67354596,-0.4612674,-0.5298336,-0.0685662
69,-1.688287,-1.4883276,"('lazy', 'industrious')",2.1394796,2.1807353,-0.58927184,-0.52302164,-0.0460264,0.056462,0.1024884
70,0.71702075,0.65731925,"('lethargic', 'energetic')",-1.4546932,-1.3654916,0.014070291,-0.0019572936,-0.2412007,-0.2367099,0.0044908
71,1.2258866,1.3220737,"('diffident', 'self-confident')",1.4472284,1.5051388,0.75377506,0.7416397,1.1422967,1.1896173,0.0473206
72,1.4744986,1.3525348,"('unambitious', 'ambitious')",0.030125167,-0.0034579672,-0.25034884,-0.22672632,0.4180917,0.3741168,-0.0439749
73,1.2260541,1.3124838,"('helpless', 'self-reliant')",1.1548817,1.2028444,-3.4688401,-3.3115907,-0.3626348,-0.2654208,0.097214
74,1.1082819,1.0348982,"('undedicated', 'dedicated')",-1.512665,-1.4446278,-0.9175042,-0.8952995,-0.4406291,-0.4350097,0.0056194
75,-1.085145,-0.9402536,"('meek', 'impulsive')",0.22440556,0.33746743,-0.617328,-0.47037953,-0.4926891,-0.3577219,0.1349672
76,0.7146848,0.5697378,"('anxious', 'daring')",-0.031070646,0.05905316,-0.58918476,-0.560601,0.0314765,0.02273,-0.0087465
77,-0.057228725,-0.061556954,"('unmotivated', 'motivated')",0.051810067,0.025731001,-0.91038644,-0.86028105,-0.3052684,-0.2987023,0.0065661
78,-0.17125541,-0.15269673,"('nonresilient', 'resilient')",0.76369566,0.8412937,0.13692325,0.13840277,0.2431212,0.2756666,0.0325454
79,-0.9579973,-0.9137282,"('wavering', 'unwavering')",0.14465392,0.15881015,-0.24713328,-0.1921532,-0.3534922,-0.3156904,0.0378018
80,0.9671658,0.87293726,"('dominated', 'dominating')",-1.1552602,-1.1700464,-1.0481187,-0.89884156,-0.412071,-0.3986502,0.0134208
81,0.6168272,0.3279482,"('submissive', 'aggressive')",-0.7669242,-0.9478109,-0.957866,-0.9333266,-0.369321,-0.5177298,-0.1484088
82,0.1149749,0.019245278,"('poor', 'rich')",-0.57798964,-0.5804909,6.933892,6.7741833,2.1569591,2.0709793,-0.0859798
83,0.51618165,0.45194924,"('powerless', 'powerful')",0.5344779,0.5400074,-1.0535363,-1.044606,-0.0009589,-0.0175498,-0.0165909
84,1.2561522,1.2043637,"('inferior', 'superior')",-0.9104821,-0.9665309,0.80021745,0.84243274,0.3819625,0.3600885,-0.021874
85,-0.33409166,-0.12585439,"('insignificant', 'prestigious')",1.6580142,1.6587486,0.05947481,0.071521476,0.4611324,0.5348053,0.0736729
86,1.2048476,1.0009196,"('uninfluential', 'influential')",-2.202398,-2.2736464,-0.49289045,-0.5739523,-0.4968137,-0.6155597,-0.118746
87,0.24431606,0.08479795,"('unsuccessful', 'successful')",1.0953032,0.99941206,0.99316096,1.0556757,0.7775935,0.7132953,-0.0642982
88,-0.43636477,-0.52754635,"('low', 'eminent')",-0.8598799,-0.86895317,-0.31505457,-0.36548665,-0.5370997,-0.5873287,-0.050229
