,netflix_male,netflix_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.8875369,0.7183462,"('unsociable', 'sociable')",-0.2608296,-0.49636707,0.3133537,0.1109896,-0.2023641
1,1.1991513,0.9921432,"('unfriendly', 'friendly')",1.6835933,1.4499027,1.4413723,1.221023,-0.2203493
2,-0.079940036,-0.10656758,"('unlikable', 'likable')",0.6047074,0.65812266,0.2623837,0.2757775,0.0133938
3,-0.006310326,0.06961426,"('repellent', 'pleasant')",-0.053538546,0.029884353,-0.0299244,0.0497493,0.0796737
4,-1.1015826,-1.234496,"('disliked', 'liked')",-6.2594604,-6.27978,-3.6805215,-3.757138,-0.0766165
5,0.32784003,0.18010788,"('distant', 'outgoing')",-0.22719942,-0.2529745,0.0503203,-0.0364333,-0.0867536
6,0.111987956,-0.0470501,"('distant', 'open')",0.10618902,0.045422778,0.1090885,-0.0008137,-0.1099022
7,0.72703516,0.8510962,"('insensitive', 'sensitive')",0.37375933,0.33289695,0.5503973,0.5919966,0.0415993
8,-0.2538467,-0.34416986,"('unaffectionate', 'affectionate')",0.13689506,0.07978283,-0.0584758,-0.1321935,-0.0737177
9,1.4511862,1.3958099,"('unaffectionate', 'caring')",0.67621964,0.64464813,1.0637029,1.020229,-0.0434739
10,0.3949048,0.43860134,"('unsympathetic', 'sympathetic')",-0.4857964,-0.5680682,-0.0454458,-0.0647334,-0.0192876
11,0.28498074,0.46384493,"('unhelpful', 'helpful')",2.1061535,2.132964,1.1955671,1.2984045,0.1028374
12,1.2782989,1.3425211,"('unsupportive', 'supportive')",-1.8189617,-1.8432635,-0.2703314,-0.2503712,0.0199602
13,0.43263942,0.3541495,"('impolite', 'polite')",-0.27003077,-0.25091234,0.0813043,0.0516186,-0.0296857
14,0.40411943,0.34427762,"('antisocial', 'social')",-0.6609328,-0.70235986,-0.1284067,-0.1790411,-0.0506344
15,1.0827397,1.048922,"('boring', 'funny')",0.5656444,0.52919173,0.824192,0.7890568,-0.0351352
16,-0.2788723,-0.34703803,"('unpopular', 'popular')",0.6560116,0.66507107,0.1885696,0.1590165,-0.0295531
17,-0.7474799,-0.73737365,"('nasty', 'nice')",-0.43253297,-0.3941357,-0.5900065,-0.5657547,0.0242518
18,-0.24226983,-0.45291123,"('disagreeable', 'welcoming')",-0.30429018,-0.36344057,-0.27328,-0.4081759,-0.1348959
19,-0.5429436,-0.5848463,"('inhospitable', 'hospitable')",0.023552824,-0.015482623,-0.2596954,-0.3001645,-0.0404691
