,marathon_male,marathon_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.1433604,-1.2823759,"('unsociable', 'sociable')",0.54235256,0.41758037,-0.017652035,-0.06530517,-0.20622,-0.3100336,-0.1038136
1,0.33003104,0.10789029,"('unfriendly', 'friendly')",0.56777394,0.2779066,0.8146455,0.57987946,0.5708168,0.3218921,-0.2489247
2,0.75648916,0.7251891,"('unlikable', 'likable')",1.9213202,1.8656306,1.102805,1.0900588,1.2602048,1.2269595,-0.0332453
3,-0.17250656,-0.06953199,"('repellent', 'pleasant')",-0.16980077,-0.13397914,0.75456554,0.8712147,0.1374194,0.2225679,0.0851485
4,0.22774808,0.13352215,"('disliked', 'liked')",0.118933074,0.051700495,-5.989425,-6.2319746,-1.8809147,-2.015584,-0.1346693
5,-0.17988783,-0.28054845,"('distant', 'outgoing')",-0.6749697,-0.7435117,-0.98098755,-1.0799164,-0.6119483,-0.7013255,-0.0893772
6,-0.074301764,-0.19327717,"('distant', 'open')",-0.610094,-0.724441,-1.0337578,-1.1614524,-0.5727179,-0.6930569,-0.120339
7,0.4875663,0.50510657,"('insensitive', 'sensitive')",0.7286778,0.7418958,0.5530658,0.6140558,0.58977,0.6203527,0.0305827
8,0.13084269,0.019860392,"('unaffectionate', 'affectionate')",-0.73960406,-0.9447423,-0.24244453,-0.36634773,-0.2837353,-0.4304099,-0.1466746
9,1.6603425,1.5774496,"('unaffectionate', 'caring')",0.080210015,-0.065293044,0.643272,0.57840556,0.7946081,0.696854,-0.0977541
10,-0.083884045,-0.113108054,"('unsympathetic', 'sympathetic')",-0.4037579,-0.5062364,-0.4108636,-0.3642536,-0.2995019,-0.327866,-0.0283641
11,-0.34140474,-0.29317915,"('unhelpful', 'helpful')",0.47534394,0.47715157,1.7967472,1.8609297,0.6435622,0.681634,0.0380718
12,1.0287931,1.0140995,"('unsupportive', 'supportive')",0.96343666,0.88770217,-1.496015,-1.5704435,0.1654049,0.1104527,-0.0549522
13,-0.24892995,-0.34018245,"('impolite', 'polite')",0.13083875,0.11394617,-0.4279681,-0.37345195,-0.1820198,-0.1998961,-0.0178763
14,-0.55825,-0.52115965,"('antisocial', 'social')",0.7729726,0.7734247,0.13992319,0.2653315,0.1182153,0.1725322,0.0543169
15,0.15269457,0.04093434,"('boring', 'funny')",0.44954777,0.39739928,-0.108394384,-0.15774523,0.164616,0.0935295,-0.0710865
16,-1.3396093,-1.4248104,"('unpopular', 'popular')",0.11116158,0.038710646,0.24435778,0.17049102,-0.32803,-0.4052029,-0.0771729
17,-0.6356633,-0.597167,"('nasty', 'nice')",-1.463103,-1.4223424,-0.639559,-0.55140704,-0.9127751,-0.8569721,0.055803
18,0.8260582,0.73042065,"('disagreeable', 'welcoming')",-0.3493298,-0.531023,-0.589949,-0.6959454,-0.0377402,-0.1655159,-0.1277757
19,-0.98468417,-1.0297964,"('inhospitable', 'hospitable')",-1.8003714,-1.8884428,-1.168808,-1.1485069,-1.3179545,-1.3555819,-0.0376274
20,-0.5023152,-0.35134494,"('rough', 'thoughtful')",-0.49580637,-0.4352337,0.17608723,0.30614078,-0.2740115,-0.160146,0.1138655
21,-0.028467484,-0.12774895,"('immoral', 'moral')",0.9627631,0.8618965,-0.011791432,0.10658055,0.3075014,0.2802427,-0.0272587
22,-0.73108107,-0.7156355,"('untrustworthy', 'trustworthy')",-0.30306986,-0.32243383,-0.8677238,-0.7813014,-0.6339583,-0.6064569,0.0275014
23,0.32348385,0.27568725,"('insincere', 'sincere')",0.027012946,-0.07380286,5.2000437,5.2465563,1.8501801,1.8161469,-0.0340332
24,1.0691202,1.058056,"('dishonest', 'honest')",0.5953734,0.48009998,0.65490717,0.6397503,0.7731336,0.7259688,-0.0471648
25,0.7778764,0.62993944,"('egoistic', 'altruistic')",1.2758107,1.1647496,1.1780663,1.0694395,1.0772511,0.9547095,-0.1225416
26,1.3164109,1.1800729,"('hardhearted', 'benevolent')",0.6485473,0.5277063,1.4054353,1.2863663,1.1234645,0.9980485,-0.125416
27,0.4902046,0.61910117,"('hardhearted', 'softhearted')",-0.37316215,-0.3263969,0.567159,0.59422106,0.2280672,0.2956418,0.0675746
