,manipulation_male,manipulation_female,tuple,average_male,average_female,female-male
0,-0.22864805,-0.3835408,"('unsociable', 'sociable')",-0.2286481,-0.3835408,-0.1548927
1,1.3924577,1.2096385,"('unfriendly', 'friendly')",1.3924577,1.2096385,-0.1828192
2,0.5599334,0.57197154,"('unlikable', 'likable')",0.5599334,0.5719715,0.0120381
3,0.5701664,0.64953566,"('repellent', 'pleasant')",0.5701664,0.6495357,0.0793693
4,-7.7261252,-7.6936674,"('disliked', 'liked')",-7.7261252,-7.6936674,0.0324578
5,-0.57057756,-0.5692172,"('distant', 'outgoing')",-0.5705776,-0.5692172,0.0013604
6,-0.26261315,-0.24057147,"('distant', 'open')",-0.2626131,-0.2405715,0.0220416
7,0.79295146,0.84326255,"('insensitive', 'sensitive')",0.7929515,0.8432626,0.0503111
8,1.2254549,1.0942963,"('unaffectionate', 'affectionate')",1.2254549,1.0942963,-0.1311586
9,1.8030784,1.7304085,"('unaffectionate', 'caring')",1.8030784,1.7304085,-0.0726699
10,1.2560605,1.2975571,"('unsympathetic', 'sympathetic')",1.2560605,1.2975571,0.0414966
11,2.1023262,2.1306,"('unhelpful', 'helpful')",2.1023262,2.1306,0.0282738
12,-1.3433758,-1.3289587,"('unsupportive', 'supportive')",-1.3433758,-1.3289587,0.0144171
13,-0.038652927,-0.14130513,"('impolite', 'polite')",-0.0386529,-0.1413051,-0.1026522
14,0.06618564,-0.028651536,"('antisocial', 'social')",0.0661856,-0.0286515,-0.0948371
15,0.51969063,0.46287128,"('boring', 'funny')",0.5196906,0.4628713,-0.0568193
16,-0.8230349,-0.74573547,"('unpopular', 'popular')",-0.8230349,-0.7457355,0.0772994
17,-1.1016786,-0.9563948,"('nasty', 'nice')",-1.1016786,-0.9563948,0.1452838
18,-0.7933779,-0.86566204,"('disagreeable', 'welcoming')",-0.7933779,-0.865662,-0.0722841
19,-0.4904501,-0.41701433,"('inhospitable', 'hospitable')",-0.4904501,-0.4170143,0.0734358
20,1.2740613,1.0623863,"('rough', 'thoughtful')",1.2740613,1.0623863,-0.211675
21,-0.008731522,0.01737354,"('immoral', 'moral')",-0.0087315,0.0173735,0.026105
22,-0.5054679,-0.61000067,"('untrustworthy', 'trustworthy')",-0.5054679,-0.6100007,-0.1045328
23,6.8353333,6.7800994,"('insincere', 'sincere')",6.8353333,6.7800994,-0.0552339
24,1.705721,1.6040912,"('dishonest', 'honest')",1.705721,1.6040912,-0.1016298
25,0.29255873,0.11153534,"('egoistic', 'altruistic')",0.2925587,0.1115353,-0.1810234
26,0.53003526,0.47358453,"('hardhearted', 'benevolent')",0.5300353,0.4735845,-0.0564508
27,1.3502313,1.2355434,"('hardhearted', 'softhearted')",1.3502313,1.2355434,-0.1146879
28,0.99498177,0.9195895,"('disloyal', 'loyal')",0.9949818,0.9195895,-0.0753923
29,-0.85275275,-0.9162758,"('unfair', 'fair')",-0.8527527,-0.9162758,-0.0635231
30,1.447009,1.3757701,"('intolerant', 'tolerant')",1.447009,1.3757701,-0.0712389
31,-2.3621454,-2.3207426,"('evil', 'good')",-2.3621454,-2.3207426,0.0414028
32,1.0162866,0.88455844,"('unkind', 'kind')",1.0162866,0.8845584,-0.1317282
33,-0.37237442,-0.38316968,"('wrong', 'right')",-0.3723744,-0.3831697,-0.0107953
34,4.50277,4.602907,"('mean', 'honorable')",4.5027699,4.6029072,0.1001373
35,-1.3222721,-1.3422989,"('corrupt', 'incorrupt')",-1.3222721,-1.3422989,-0.0200268
36,-0.95016474,-0.9646862,"('hostile', 'amicable')",-0.9501647,-0.9646862,-0.0145215
37,0.41395724,0.34425744,"('fake', 'genuine')",0.4139572,0.3442574,-0.0696998
38,0.09266623,0.03687568,"('untruthful', 'truthful')",0.0926662,0.0368757,-0.0557905
39,-0.75977695,-0.80127084,"('exploitative', 'cooperative')",-0.7597769,-0.8012708,-0.0414939
40,-1.8889842,-1.941728,"('stingy', 'generous')",-1.8889842,-1.941728,-0.0527438
41,-0.23469187,-0.38343596,"('unforgiving', 'forgiving')",-0.2346919,-0.383436,-0.1487441
42,-1.866563,-1.8129421,"('unreliable', 'reliable')",-1.866563,-1.8129421,0.0536209
43,1.5005441,1.3499622,"('irresponsible', 'responsible')",1.5005441,1.3499622,-0.1505819
44,-1.5556964,-1.6230105,"('prejudiced', 'unprejudiced')",-1.5556964,-1.6230105,-0.0673141
45,0.09753589,0.038677357,"('incompetent', 'competent')",0.0975359,0.0386774,-0.0588585
46,-0.23722169,-0.20164682,"('uncompetitive', 'competitive')",-0.2372217,-0.2016468,0.0355749
47,5.3529744,5.4165616,"('stupid', 'smart')",5.3529744,5.4165616,0.0635872
48,1.278615,1.2133396,"('unintelligent', 'intelligent')",1.278615,1.2133396,-0.0652754
49,0.3859133,0.43863857,"('unable', 'able')",0.3859133,0.4386386,0.0527253
50,0.17165905,0.26742393,"('clumsy', 'skillful')",0.1716591,0.2674239,0.0957648
51,0.76548433,0.8387045,"('uneducated', 'educated')",0.7654843,0.8387045,0.0732202
52,-0.6385584,-0.6276406,"('irrational', 'rational')",-0.6385584,-0.6276406,0.0109178
53,0.39241672,0.32819688,"('uncreative', 'creative')",0.3924167,0.3281969,-0.0642198
54,1.22048,1.295389,"('incapable', 'capable')",1.22048,1.2953891,0.0749091
55,1.3234674,1.2442853,"('incompetent', 'clever')",1.3234674,1.2442853,-0.0791821
56,0.9607134,0.8994402,"('impractical', 'practical')",0.9607134,0.8994402,-0.0612732
57,-2.5428388,-2.4870462,"('unimaginative', 'imaginative')",-2.5428388,-2.4870462,0.0557926
58,-0.030525047,-0.0881535,"('undiscriminating', 'discriminating')",-0.030525,-0.0881535,-0.0576285
59,-0.6344747,-0.46634033,"('foolish', 'wise')",-0.6344747,-0.4663403,0.1681344
60,0.9045402,0.7987342,"('inefficient', 'efficient')",0.9045402,0.7987342,-0.105806
61,0.28816712,0.081428766,"('illogical', 'logical')",0.2881671,0.0814288,-0.2067383
62,1.392777,1.4219913,"('incompetent', 'brilliant')",1.392777,1.4219913,0.0292143
63,0.9818477,0.8782073,"('unperceptive', 'insightful')",0.9818477,0.8782073,-0.1036404
64,-6.091945,-6.0187845,"('shy', 'confident')",-6.0919452,-6.0187845,0.0731607
65,0.733277,0.7467896,"('insecure', 'secure')",0.733277,0.7467896,0.0135126
66,-0.23660333,-0.21486464,"('inactive', 'active')",-0.2366033,-0.2148646,0.0217387
67,-0.51357126,-0.5185613,"('doubtful', 'determined')",-0.5135713,-0.5185613,-0.00499
68,-0.48377845,-0.4687687,"('dependent', 'independent')",-0.4837784,-0.4687687,0.0150097
69,-2.038471,-2.0309958,"('lazy', 'industrious')",-2.038471,-2.0309958,0.0074752
