,macerich_male,macerich_female,tuple,co_male,co_female,average_male,average_female,female-male
0,0.39446813,0.08172287,"('unsociable', 'sociable')",0.074083775,-0.12236008,0.234276,-0.0203186,-0.2545946
1,-0.76428306,-0.936115,"('unfriendly', 'friendly')",0.5302236,0.43703568,-0.1170297,-0.2495397,-0.13251
2,1.0659208,1.1933753,"('unlikable', 'likable')",1.1504619,1.3411657,1.1081914,1.2672706,0.1590792
3,-0.22728923,-0.22191694,"('repellent', 'pleasant')",0.7547307,0.73791873,0.2637208,0.2580009,-0.0057199
4,0.22319816,0.24845836,"('disliked', 'liked')",-6.0597644,-6.127978,-2.9182832,-2.9397597,-0.0214765
5,-1.4563006,-1.3081017,"('distant', 'outgoing')",-1.1997076,-1.0595739,-1.3280041,-1.1838378,0.1441663
6,-2.1514933,-2.0060594,"('distant', 'open')",-1.4731184,-1.3050241,-1.8123059,-1.6555418,0.1567641
7,0.45354348,0.35008115,"('insensitive', 'sensitive')",-0.4520063,-0.4756109,0.0007686,-0.0627649,-0.0635335
8,-0.5344028,-0.5185919,"('unaffectionate', 'affectionate')",0.027068391,0.059609972,-0.2536672,-0.229491,0.0241762
9,-0.21378745,-0.32856837,"('unaffectionate', 'caring')",0.67358625,0.65706795,0.2298994,0.1642498,-0.0656496
10,0.17675374,-0.095326595,"('unsympathetic', 'sympathetic')",-0.07965754,-0.18185788,0.0485481,-0.1385922,-0.1871403
11,0.9210764,0.80916125,"('unhelpful', 'helpful')",2.4137669,2.3947453,1.6674216,1.6019533,-0.0654683
12,0.5438407,0.52263737,"('unsupportive', 'supportive')",-1.8953551,-1.859898,-0.6757572,-0.6686303,0.0071269
13,0.43035716,0.2903636,"('impolite', 'polite')",-0.11863572,-0.14271758,0.1558607,0.073823,-0.0820377
14,0.67771083,0.5623067,"('antisocial', 'social')",0.3190335,0.15492964,0.4983722,0.3586182,-0.139754
15,-0.14629647,-0.16586219,"('boring', 'funny')",0.8878035,0.89309126,0.3707535,0.3636145,-0.007139
16,-0.3521875,-0.25352064,"('unpopular', 'popular')",0.30733716,0.27157182,-0.0224252,0.0090256,0.0314508
17,0.12371136,0.17343697,"('nasty', 'nice')",0.003752116,0.007882824,0.0637317,0.0906599,0.0269282
18,-0.22585842,-0.25182772,"('disagreeable', 'welcoming')",-1.0104167,-1.0364839,-0.6181376,-0.6441558,-0.0260182
19,-0.7756707,-0.8057649,"('inhospitable', 'hospitable')",-0.5400559,-0.47933656,-0.6578633,-0.6425507,0.0153126
20,0.47784352,0.47850743,"('rough', 'thoughtful')",0.7995574,0.7346012,0.6387005,0.6065543,-0.0321462
21,0.83081573,0.7156167,"('immoral', 'moral')",0.07489004,0.006337853,0.4528529,0.3609773,-0.0918756
22,0.24215199,0.13563596,"('untrustworthy', 'trustworthy')",-0.422669,-0.46389443,-0.0902585,-0.1641292,-0.0738707
23,0.6357109,0.36484468,"('insincere', 'sincere')",5.122563,5.0458174,2.8791368,2.7053311,-0.1738057
24,0.66414815,0.50897,"('dishonest', 'honest')",0.39566955,0.4241911,0.5299088,0.4665806,-0.0633282
25,-0.16650388,-0.14183855,"('egoistic', 'altruistic')",0.81968665,0.72616136,0.3265914,0.2921614,-0.03443
26,-0.29539546,-0.3651468,"('hardhearted', 'benevolent')",1.3557961,1.2551608,0.5302003,0.445007,-0.0851933
27,-1.6435502,-1.5932319,"('hardhearted', 'softhearted')",0.119849235,0.11535969,-0.7618505,-0.7389361,0.0229144
28,0.41609523,0.1126964,"('disloyal', 'loyal')",0.7262769,0.5281041,0.5711861,0.3204003,-0.2507858
29,-0.52258235,-0.5744113,"('unfair', 'fair')",-0.79304445,-0.8736915,-0.6578134,-0.7240514,-0.066238
30,1.0697461,0.9686693,"('intolerant', 'tolerant')",1.0140073,1.0268296,1.0418768,0.9977494,-0.0441274
31,-1.5708537,-1.2862728,"('evil', 'good')",-1.5872134,-1.5247644,-1.5790336,-1.4055185,0.1735151
32,0.21057834,-0.03446816,"('unkind', 'kind')",0.87380564,0.725291,0.542192,0.3454114,-0.1967806
33,0.24882786,0.17429127,"('wrong', 'right')",-0.71322006,-0.75312465,-0.2321961,-0.2894167,-0.0572206
34,-0.03594123,0.14461687,"('mean', 'honorable')",4.746551,4.934543,2.355305,2.5395801,0.1842751
35,-0.71888316,-0.6355854,"('corrupt', 'incorrupt')",-0.8655165,-0.9291584,-0.7921999,-0.7823719,0.009828
36,-1.4749496,-1.3981392,"('hostile', 'amicable')",-0.37826562,-0.5083146,-0.9266076,-0.9532269,-0.0266193
37,0.5125317,0.4368368,"('fake', 'genuine')",-0.1295255,-0.12691617,0.1915031,0.1549603,-0.0365428
38,0.45180917,0.42676693,"('untruthful', 'truthful')",0.22286731,0.30312485,0.3373382,0.3649459,0.0276077
39,1.3436089,1.3819892,"('exploitative', 'cooperative')",0.64636874,0.74202687,0.9949888,1.062008,0.0670192
40,0.17097186,0.079244345,"('stingy', 'generous')",-2.678607,-2.7626474,-1.2538176,-1.3417015,-0.0878839
41,0.082147636,0.105760686,"('unforgiving', 'forgiving')",0.5261877,0.45893383,0.3041677,0.2823473,-0.0218204
42,0.58532405,0.5483952,"('unreliable', 'reliable')",-2.6683977,-2.6069763,-1.0415368,-1.0292906,0.0122462
43,0.3702431,0.30459702,"('irresponsible', 'responsible')",0.56417865,0.6633692,0.4672109,0.4839831,0.0167722
44,-0.050364845,0.029426575,"('prejudiced', 'unprejudiced')",-1.2088678,-1.10718,-0.6296163,-0.5388767,0.0907396
45,0.41264698,0.36208847,"('incompetent', 'competent')",0.06304117,-0.007834299,0.2378441,0.1771271,-0.060717
46,0.55326414,0.4049393,"('uncompetitive', 'competitive')",-0.27983403,-0.31961164,0.1367151,0.0426638,-0.0940513
47,0.29206085,0.36980367,"('stupid', 'smart')",4.5937204,4.7320347,2.4428906,2.5509191,0.1080285
48,0.33509278,0.25065735,"('unintelligent', 'intelligent')",0.07397584,-0.012853668,0.2045343,0.1189018,-0.0856325
