,martin_male,martin_female,tuple,marietta_male,marietta_female,materials_male,materials_female,inc_male,inc_female,average_male,average_female,female-male
0,0.5289652,0.5520146,"('unsociable', 'sociable')",-1.62807,-1.7499514,0.8414476,0.72757405,-0.7837684,-0.91965944,-0.2603564,-0.3475055,-0.0871491
1,-0.22279572,-0.3770142,"('unfriendly', 'friendly')",-0.7082925,-0.961725,0.9432181,0.7709057,1.40861,1.2467241,0.355185,0.1697227,-0.1854623
2,0.71731555,0.78240204,"('unlikable', 'likable')",0.97102743,0.9629923,0.53655386,0.5613687,0.3128967,0.39058167,0.6344484,0.6743362,0.0398878
3,0.65558946,0.7672964,"('repellent', 'pleasant')",-0.74959755,-0.6493773,0.43493366,0.5665026,0.20057032,0.29925382,0.135374,0.2459189,0.1105449
4,-1.5890318,-1.7664092,"('disliked', 'liked')",0.4120175,0.3141185,-0.9627136,-1.0335087,-5.517495,-5.5114584,-1.9143058,-1.9993144,-0.0850086
5,-1.5457114,-1.7214293,"('distant', 'outgoing')",0.5097628,0.36976284,-1.0515438,-1.0165021,-0.12589039,-0.12624836,-0.5533457,-0.6236042,-0.0702585
6,-2.0539184,-2.182036,"('distant', 'open')",0.37826958,0.22218783,-1.4238489,-1.3636204,0.07021079,0.051173925,-0.7573218,-0.8180736,-0.0607518
7,0.52919996,0.61748683,"('insensitive', 'sensitive')",-0.85533774,-0.81869286,0.70481557,0.7339283,0.48575523,0.45367664,0.2161083,0.2465997,0.0304914
8,-0.48458162,-0.54404956,"('unaffectionate', 'affectionate')",-0.15268362,-0.27783108,-0.13804108,-0.11406313,0.88336504,0.8192943,0.0270147,-0.0291624,-0.0561771
9,0.35344768,0.27795303,"('unaffectionate', 'caring')",-0.7327132,-0.9033185,0.73048246,0.7063578,1.1110905,1.0572112,0.3655769,0.2845508,-0.0810261
10,1.1502401,1.2075832,"('unsympathetic', 'sympathetic')",-1.4552135,-1.3865566,0.6493387,0.6059148,-0.39521173,-0.38735887,-0.0127116,0.0098956,0.0226072
11,0.73184323,0.7631553,"('unhelpful', 'helpful')",-1.020378,-0.93484,0.4449669,0.4071343,1.8379047,1.8790691,0.4985842,0.5286297,0.0300455
12,1.0302981,1.0194275,"('unsupportive', 'supportive')",-0.12743151,-0.08105238,1.1526387,1.1933641,-1.417878,-1.3543293,0.1594068,0.1943525,0.0349457
13,0.836485,0.95283103,"('impolite', 'polite')",-0.8522303,-0.8862465,0.70748484,0.6434865,-0.6257348,-0.6960735,0.0165012,0.0034994,-0.0130018
14,0.7298161,0.8548018,"('antisocial', 'social')",-0.96661496,-0.9283644,1.710973,1.7749413,-0.72952735,-0.69018984,0.1861617,0.2527972,0.0666355
15,-1.0113823,-1.0304792,"('boring', 'funny')",0.34802434,0.25670224,-1.1704243,-1.2121024,0.28771558,0.23865362,-0.3865167,-0.4368064,-0.0502897
16,-0.64335173,-0.7697332,"('unpopular', 'popular')",-0.27088422,-0.2837429,-1.0393988,-1.0314473,0.4948336,0.5116533,-0.3647003,-0.3933175,-0.0286172
17,-0.24825561,-0.23163481,"('nasty', 'nice')",-0.071593076,-0.009333622,-0.3666847,-0.27949253,-0.16515476,-0.11737712,-0.212922,-0.1594595,0.0534625
18,-0.30656087,-0.28019974,"('disagreeable', 'welcoming')",0.822243,0.8438035,-0.22938246,-0.16119957,-0.47281003,-0.4825668,-0.0466276,-0.0200407,0.0265869
19,-0.23284331,-0.21361405,"('inhospitable', 'hospitable')",0.27993134,0.27456334,-1.6336045,-1.6229167,-0.001609318,0.023768306,-0.3970315,-0.3845498,0.0124817
20,0.2542454,0.34788248,"('rough', 'thoughtful')",-0.43960315,-0.34903973,0.053607456,0.067208126,1.0776429,1.0621017,0.2364732,0.2820382,0.045565
21,1.3626442,1.4925655,"('immoral', 'moral')",-0.39529842,-0.41637108,1.1150455,1.0799934,-0.9932057,-0.928684,0.2722964,0.3068759,0.0345795
22,0.88510376,0.9116941,"('untrustworthy', 'trustworthy')",0.29571187,0.34110597,0.103488594,0.0908505,-0.8584036,-0.86610013,0.1064752,0.1193876,0.0129124
23,1.7573441,1.8170465,"('insincere', 'sincere')",-0.49664026,-0.48695073,1.4124552,1.3461686,4.7586184,4.676276,1.8579444,1.8381351,-0.0198093
24,0.5628024,0.54648364,"('dishonest', 'honest')",0.14059548,0.06505418,0.7709446,0.74546534,0.5350042,0.45183897,0.5023367,0.4522105,-0.0501262
25,-0.27621365,-0.20827484,"('egoistic', 'altruistic')",0.7947203,0.6908402,1.3360842,1.3855277,1.4665595,1.422395,0.8302876,0.822622,-0.0076656
26,-0.7769202,-0.8858406,"('hardhearted', 'benevolent')",-0.46001267,-0.6146866,0.8809075,0.7815104,1.4186327,1.292842,0.2656518,0.1434563,-0.1221955
27,-0.26626402,-0.27731723,"('hardhearted', 'softhearted')",-0.027239826,-0.045313466,0.2590876,0.34069496,1.4895744,1.3491123,0.3637896,0.3417941,-0.0219955
28,-0.2908521,-0.29678574,"('disloyal', 'loyal')",-0.7260263,-0.85741186,0.331897,0.14884156,0.75261146,0.608344,0.0169075,-0.099253,-0.1161605
29,-0.7107937,-0.7991925,"('unfair', 'fair')",-0.09273213,-0.12415138,-0.9609283,-1.0029829,-0.43331248,-0.5671673,-0.5494416,-0.6233735,-0.0739319
30,0.8828981,0.9888156,"('intolerant', 'tolerant')",-0.46077922,-0.46216723,1.3541158,1.3185359,0.9033362,0.85303974,0.6698927,0.674556,0.0046633
31,-1.7007295,-1.8418776,"('evil', 'good')",0.051165223,0.07615743,-1.0423592,-0.9682781,-0.47918916,-0.48045537,-0.7927782,-0.8036134,-0.0108352
