,awe_male,awe_female,tuple,average_male,average_female,female-male
0,0.06641272,0.03205053,"('unsociable', 'sociable')",0.0664127,0.0320505,-0.0343622
1,1.3872951,1.4142116,"('unfriendly', 'friendly')",1.3872951,1.4142116,0.0269165
2,0.61539453,0.7239153,"('unlikable', 'likable')",0.6153945,0.7239153,0.1085208
3,1.0933968,1.1924273,"('repellent', 'pleasant')",1.0933968,1.1924273,0.0990305
4,-7.0607867,-6.890268,"('disliked', 'liked')",-7.0607867,-6.8902678,0.1705189
5,0.15901054,0.50733393,"('distant', 'outgoing')",0.1590105,0.5073339,0.3483234
6,0.4486882,0.7778846,"('distant', 'open')",0.4486882,0.7778846,0.3291964
7,0.8728258,1.0661563,"('insensitive', 'sensitive')",0.8728258,1.0661563,0.1933305
8,1.1024363,1.1277733,"('unaffectionate', 'affectionate')",1.1024363,1.1277733,0.025337
9,1.6274873,1.7741462,"('unaffectionate', 'caring')",1.6274873,1.7741462,0.1466589
10,1.3177528,1.3532568,"('unsympathetic', 'sympathetic')",1.3177528,1.3532568,0.035504
11,1.9917022,2.1121342,"('unhelpful', 'helpful')",1.9917022,2.1121342,0.120432
12,-1.369157,-1.201488,"('unsupportive', 'supportive')",-1.369157,-1.201488,0.167669
13,0.33516547,0.18187161,"('impolite', 'polite')",0.3351655,0.1818716,-0.1532939
14,-0.3642862,-0.447389,"('antisocial', 'social')",-0.3642862,-0.447389,-0.0831028
15,0.42934757,0.41660008,"('boring', 'funny')",0.4293476,0.4166001,-0.0127475
16,-0.17825575,-0.04899102,"('unpopular', 'popular')",-0.1782558,-0.048991,0.1292648
17,-0.026223756,0.035880275,"('nasty', 'nice')",-0.0262238,0.0358803,0.0621041
18,-0.45145097,-0.46181822,"('disagreeable', 'welcoming')",-0.451451,-0.4618182,-0.0103672
19,-0.22654958,0.08036668,"('inhospitable', 'hospitable')",-0.2265496,0.0803667,0.3069163
20,0.6953133,0.6337268,"('rough', 'thoughtful')",0.6953133,0.6337268,-0.0615865
21,0.19360577,0.36096138,"('immoral', 'moral')",0.1936058,0.3609614,0.1673556
22,-0.22657329,-0.18603002,"('untrustworthy', 'trustworthy')",-0.2265733,-0.18603,0.0405433
