,wraparound_male,wraparound_female,tuple,average_male,average_female,female-male
0,-0.25358826,-0.31621206,"('unsociable', 'sociable')",-0.2535883,-0.3162121,-0.0626238
1,-0.11778488,-0.38777804,"('unfriendly', 'friendly')",-0.1177849,-0.387778,-0.2699931
2,0.24044555,0.32488674,"('unlikable', 'likable')",0.2404456,0.3248867,0.0844411
3,-0.09142905,0.04052445,"('repellent', 'pleasant')",-0.091429,0.0405244,0.1319534
4,-2.95846,-2.992796,"('disliked', 'liked')",-2.9584601,-2.9927959,-0.0343358
5,0.026442906,-0.17496164,"('distant', 'outgoing')",0.0264429,-0.1749616,-0.2014045
6,-0.16067278,-0.36072543,"('distant', 'open')",-0.1606728,-0.3607254,-0.2000526
7,0.3696342,0.47068256,"('insensitive', 'sensitive')",0.3696342,0.4706826,0.1010484
8,-0.25941288,-0.38592145,"('unaffectionate', 'affectionate')",-0.2594129,-0.3859214,-0.1265085
9,0.3393221,0.28298232,"('unaffectionate', 'caring')",0.3393221,0.2829823,-0.0563398
10,-0.4946082,-0.38265178,"('unsympathetic', 'sympathetic')",-0.4946082,-0.3826518,0.1119564
11,1.0049657,1.1305583,"('unhelpful', 'helpful')",1.0049657,1.1305583,0.1255926
12,-0.46576226,-0.32584667,"('unsupportive', 'supportive')",-0.4657623,-0.3258467,0.1399156
13,-0.6768134,-0.6693714,"('impolite', 'polite')",-0.6768134,-0.6693714,0.007442
14,-0.184787,-0.047357835,"('antisocial', 'social')",-0.184787,-0.0473578,0.1374292
15,0.32734868,0.31287682,"('boring', 'funny')",0.3273487,0.3128768,-0.0144719
16,-0.5764226,-0.63740677,"('unpopular', 'popular')",-0.5764226,-0.6374068,-0.0609842
17,-0.66749805,-0.69834816,"('nasty', 'nice')",-0.6674981,-0.6983482,-0.0308501
18,-0.15380645,-0.21117802,"('disagreeable', 'welcoming')",-0.1538064,-0.211178,-0.0573716
19,-0.72770625,-0.8079922,"('inhospitable', 'hospitable')",-0.7277063,-0.8079922,-0.0802859
20,0.35892648,0.3780092,"('rough', 'thoughtful')",0.3589265,0.3780092,0.0190827
21,0.65537745,0.8117782,"('immoral', 'moral')",0.6553774,0.8117782,0.1564008
