,grainger_male,grainger_female,tuple,w_male,w_female,inc_male,inc_female,average_male,average_female,female-male
0,1.0494205,0.9444095,"('unsociable', 'sociable')",1.0033488,0.8153411,0.31990817,0.19213781,0.7908924,0.6506295,-0.1402629
1,-1.8066119,-1.9320358,"('unfriendly', 'friendly')",-1.0677905,-1.214883,0.9821934,0.91286886,-0.6307364,-0.7446833,-0.1139469
2,0.8050082,0.80012625,"('unlikable', 'likable')",1.4227496,1.4620028,0.49933478,0.4972803,0.9090309,0.9198031,0.0107722
3,-0.073203504,0.07783538,"('repellent', 'pleasant')",1.1778781,1.2473185,0.8382582,0.89778644,0.6476443,0.7409801,0.0933358
4,-0.48324567,-0.4514974,"('disliked', 'liked')",-0.7107862,-0.8302552,-5.8481464,-5.949952,-2.3473927,-2.4105682,-0.0631755
5,-1.7350345,-1.6834369,"('distant', 'outgoing')",-1.212126,-1.195358,-0.73624635,-0.6410497,-1.2278023,-1.1732815,0.0545208
6,-2.2113926,-2.1280754,"('distant', 'open')",-1.2426205,-1.1777437,-0.17921366,-0.0546873,-1.2110756,-1.1201688,0.0909068
7,0.95168185,0.9808,"('insensitive', 'sensitive')",0.74462444,0.7478513,0.83332264,0.8424551,0.8432096,0.8570355,0.0138259
8,-1.1132232,-1.2123057,"('unaffectionate', 'affectionate')",-1.2051237,-1.232078,0.3130972,0.25839,-0.6684166,-0.7286646,-0.060248
9,-0.49661317,-0.6122625,"('unaffectionate', 'caring')",0.0749018,0.033782586,1.3632176,1.2750081,0.3138354,0.2321761,-0.0816593
10,0.92902434,0.9161024,"('unsympathetic', 'sympathetic')",1.5759538,1.4755095,0.6330154,0.52997756,1.0459979,0.9738632,-0.0721347
11,-0.0443845,-0.11604665,"('unhelpful', 'helpful')",0.5386251,0.39982155,2.0930882,1.9678521,0.8624429,0.7505423,-0.1119006
12,0.60964066,0.64228535,"('unsupportive', 'supportive')",0.9205857,0.8990476,-1.626892,-1.6614867,-0.0322219,-0.0400513,-0.0078294
13,0.90617466,0.91190124,"('impolite', 'polite')",0.68032086,0.59237593,0.42132297,0.38358045,0.6692728,0.6292859,-0.0399869
14,1.7364846,1.7328829,"('antisocial', 'social')",2.0498774,2.0006897,-0.26417807,-0.36569065,1.1740614,1.1226273,-0.0514341
15,-0.10739291,-0.19563097,"('boring', 'funny')",0.12451916,0.06439154,0.32002714,0.2929484,0.1123845,0.053903,-0.0584815
16,-1.3305273,-1.3449763,"('unpopular', 'popular')",-0.29618102,-0.3549627,0.5817399,0.5721415,-0.3483228,-0.3759325,-0.0276097
17,-0.5400876,-0.40706274,"('nasty', 'nice')",-0.34062272,-0.2913572,-0.6217123,-0.5007088,-0.5008075,-0.3997096,0.1010979
18,-1.3324363,-1.2954909,"('disagreeable', 'welcoming')",-0.6574366,-0.5214327,-0.8872887,-0.9412576,-0.9590538,-0.9193937,0.0396601
19,-0.6181601,-0.5156077,"('inhospitable', 'hospitable')",0.06877651,0.15025678,-0.53237367,-0.37109873,-0.3605858,-0.2454832,0.1151026
20,0.27470148,0.33235878,"('rough', 'thoughtful')",0.2038966,0.2309007,1.0101306,0.9784266,0.4962429,0.5138954,0.0176525
21,0.93905276,0.9428866,"('immoral', 'moral')",2.276613,2.2461505,-0.09993087,-0.12923248,1.0385784,1.0199349,-0.0186435
22,0.85843843,0.83470315,"('untrustworthy', 'trustworthy')",0.9991123,0.9089851,-0.24377798,-0.2915916,0.5379242,0.4840322,-0.053892
23,0.030384459,-0.056914482,"('insincere', 'sincere')",0.84745866,0.79393315,5.572567,5.472257,2.1501366,2.0697586,-0.080378
24,-0.015899774,-0.07584281,"('dishonest', 'honest')",-0.7336901,-0.6806183,0.83999914,0.8244469,0.0301364,0.0226619,-0.0074745
25,-0.58286536,-0.51689273,"('egoistic', 'altruistic')",-0.55598474,-0.48580775,0.6505127,0.6816101,-0.1627791,-0.1070301,0.055749
26,0.26399368,0.11083821,"('hardhearted', 'benevolent')",0.30338845,0.2561846,0.8348542,0.7347276,0.4674121,0.3672501,-0.100162
27,-1.529388,-1.481612,"('hardhearted', 'softhearted')",-0.6326451,-0.5241928,1.0947391,1.1410094,-0.3557647,-0.2882651,0.0674996
28,0.48120487,0.30754042,"('disloyal', 'loyal')",-0.11078566,-0.27148238,1.1670746,0.9137931,0.5124979,0.3166171,-0.1958808
29,-0.21117508,-0.20577618,"('unfair', 'fair')",0.88888365,0.88434815,-0.105042756,-0.13480422,0.1908886,0.1812559,-0.0096327
30,0.76745486,0.7944427,"('intolerant', 'tolerant')",0.030716157,0.05738058,1.1548479,1.0989909,0.6510063,0.6502714,-0.0007349
31,-1.7110819,-1.4773608,"('evil', 'good')",-0.60620713,-0.48402885,-1.2848573,-1.2038786,-1.2007154,-1.0550895,0.1456259
