,childhood_male,childhood_female,tuple,average_male,average_female,female-male
0,-0.047442537,-0.16853505,"('unsociable', 'sociable')",-0.0474425,-0.1685351,-0.1210926
1,1.250869,1.2946783,"('unfriendly', 'friendly')",1.250869,1.2946783,0.0438093
2,0.3356964,0.49358827,"('unlikable', 'likable')",0.3356964,0.4935883,0.1578919
3,0.67044646,0.8393687,"('repellent', 'pleasant')",0.6704465,0.8393687,0.1689222
4,-7.606548,-7.611455,"('disliked', 'liked')",-7.6065478,-7.611455,-0.0049072
5,-0.44425443,-0.28669554,"('distant', 'outgoing')",-0.4442544,-0.2866955,0.1575589
6,-0.461157,-0.29458317,"('distant', 'open')",-0.461157,-0.2945832,0.1665738
7,1.2488706,1.3241744,"('insensitive', 'sensitive')",1.2488706,1.3241744,0.0753038
8,1.15684,1.1948764,"('unaffectionate', 'affectionate')",1.15684,1.1948764,0.0380364
9,1.5177908,1.6512859,"('unaffectionate', 'caring')",1.5177908,1.6512859,0.1334951
10,1.2913429,1.3150955,"('unsympathetic', 'sympathetic')",1.2913429,1.3150955,0.0237526
11,2.258579,2.2507875,"('unhelpful', 'helpful')",2.258579,2.2507875,-0.0077915
12,-1.0341613,-0.96110535,"('unsupportive', 'supportive')",-1.0341613,-0.9611053,0.073056
13,0.38547388,0.33234388,"('impolite', 'polite')",0.3854739,0.3323439,-0.05313
14,0.23852766,0.12859017,"('antisocial', 'social')",0.2385277,0.1285902,-0.1099375
15,0.48117247,0.41087398,"('boring', 'funny')",0.4811725,0.410874,-0.0702985
16,-0.77106553,-0.63796824,"('unpopular', 'popular')",-0.7710655,-0.6379682,0.1330973
17,-0.29680625,-0.29349676,"('nasty', 'nice')",-0.2968062,-0.2934968,0.0033094
18,-0.25235718,-0.27574465,"('disagreeable', 'welcoming')",-0.2523572,-0.2757446,-0.0233874
19,-0.49511537,-0.40425605,"('inhospitable', 'hospitable')",-0.4951154,-0.404256,0.0908594
20,0.8039108,0.704837,"('rough', 'thoughtful')",0.8039108,0.704837,-0.0990738
21,0.33797428,0.36229205,"('immoral', 'moral')",0.3379743,0.3622921,0.0243178
