,craw_male,craw_female,tuple,average_male,average_female,female-male
0,0.27925065,0.20622092,"('unsociable', 'sociable')",0.2792507,0.2062209,-0.0730298
1,-0.42166913,-0.6809107,"('unfriendly', 'friendly')",-0.4216691,-0.6809107,-0.2592416
2,-0.39038333,-0.40228266,"('unlikable', 'likable')",-0.3903833,-0.4022827,-0.0118994
3,-0.59950024,-0.4698654,"('repellent', 'pleasant')",-0.5995002,-0.4698654,0.1296348
4,-1.1265142,-0.9575279,"('disliked', 'liked')",-1.1265142,-0.9575279,0.1689863
5,-0.1574601,-0.23601052,"('distant', 'outgoing')",-0.1574601,-0.2360105,-0.0785504
6,-0.18900791,-0.32926637,"('distant', 'open')",-0.1890079,-0.3292664,-0.1402585
7,0.18382065,0.2098069,"('insensitive', 'sensitive')",0.1838206,0.2098069,0.0259863
8,-0.14288862,-0.35342693,"('unaffectionate', 'affectionate')",-0.1428886,-0.3534269,-0.2105383
9,0.5093648,0.3018841,"('unaffectionate', 'caring')",0.5093648,0.3018841,-0.2074807
10,-0.6079035,-0.5300923,"('unsympathetic', 'sympathetic')",-0.6079035,-0.5300923,0.0778112
11,0.28500965,0.2815525,"('unhelpful', 'helpful')",0.2850097,0.2815525,-0.0034572
12,-0.06173563,0.018939529,"('unsupportive', 'supportive')",-0.0617356,0.0189395,0.0806751
13,0.65417707,0.68260986,"('impolite', 'polite')",0.6541771,0.6826099,0.0284328
14,0.5931573,0.7168681,"('antisocial', 'social')",0.5931573,0.7168681,0.1237108
15,1.0260035,0.90686893,"('boring', 'funny')",1.0260035,0.9068689,-0.1191346
16,-0.2266199,-0.29608306,"('unpopular', 'popular')",-0.2266199,-0.2960831,-0.0694632
17,-0.011747371,0.099246204,"('nasty', 'nice')",-0.0117474,0.0992462,0.1109936
18,-0.87372816,-0.88975334,"('disagreeable', 'welcoming')",-0.8737282,-0.8897533,-0.0160251
19,-0.64991194,-0.6682402,"('inhospitable', 'hospitable')",-0.6499119,-0.6682402,-0.0183283
20,-0.2733693,-0.2175716,"('rough', 'thoughtful')",-0.2733693,-0.2175716,0.0557977
21,0.13507041,0.28150046,"('immoral', 'moral')",0.1350704,0.2815005,0.1464301
22,0.67933947,0.6012317,"('untrustworthy', 'trustworthy')",0.6793395,0.6012317,-0.0781078
23,1.0989873,0.9162958,"('insincere', 'sincere')",1.0989873,0.9162958,-0.1826915
24,0.45769936,0.35876074,"('dishonest', 'honest')",0.4576994,0.3587607,-0.0989387
25,-0.011719303,-0.14866406,"('egoistic', 'altruistic')",-0.0117193,-0.1486641,-0.1369448
26,0.0635062,-0.13867939,"('hardhearted', 'benevolent')",0.0635062,-0.1386794,-0.2021856
27,0.3026518,0.13126227,"('hardhearted', 'softhearted')",0.3026518,0.1312623,-0.1713895
28,0.011275392,-0.13302088,"('disloyal', 'loyal')",0.0112754,-0.1330209,-0.1442963
29,0.25526533,0.21880282,"('unfair', 'fair')",0.2552653,0.2188028,-0.0364625
30,0.54564625,0.5961507,"('intolerant', 'tolerant')",0.5456463,0.5961507,0.0505044
31,-0.52921915,-0.4817721,"('evil', 'good')",-0.5292192,-0.4817721,0.0474471
32,0.0005722046,-0.11062205,"('unkind', 'kind')",0.0005722,-0.110622,-0.1111942
33,0.7011025,0.58434004,"('wrong', 'right')",0.7011025,0.58434,-0.1167625
34,0.8158633,0.81077313,"('mean', 'honorable')",0.8158633,0.8107731,-0.0050902
35,-0.24423839,-0.3785908,"('corrupt', 'incorrupt')",-0.2442384,-0.3785908,-0.1343524
36,-0.6228721,-0.72673285,"('hostile', 'amicable')",-0.6228721,-0.7267329,-0.1038608
37,0.13806312,0.15066817,"('fake', 'genuine')",0.1380631,0.1506682,0.0126051
38,0.05752422,0.01965591,"('untruthful', 'truthful')",0.0575242,0.0196559,-0.0378683
39,1.2440624,1.3540236,"('exploitative', 'cooperative')",1.2440624,1.3540236,0.1099612
40,-0.52287436,-0.49962047,"('stingy', 'generous')",-0.5228744,-0.4996205,0.0232539
41,0.43640304,0.4703582,"('unforgiving', 'forgiving')",0.436403,0.4703582,0.0339552
42,-0.23024486,-0.002444256,"('unreliable', 'reliable')",-0.2302449,-0.0024443,0.2278006
43,0.23430578,0.23513372,"('irresponsible', 'responsible')",0.2343058,0.2351337,0.0008279
44,-0.4416471,-0.2984827,"('prejudiced', 'unprejudiced')",-0.4416471,-0.2984827,0.1431644
45,0.96808106,1.0397835,"('incompetent', 'competent')",0.9680811,1.0397835,0.0717024
46,-0.39656863,-0.29948354,"('uncompetitive', 'competitive')",-0.3965686,-0.2994835,0.0970851
47,1.441491,1.3692737,"('stupid', 'smart')",1.441491,1.3692737,-0.0722173
48,-0.20139599,-0.17790066,"('unintelligent', 'intelligent')",-0.201396,-0.1779007,0.0234953
49,-0.26429284,-0.15074523,"('unable', 'able')",-0.2642928,-0.1507452,0.1135476
50,-0.49235457,-0.6136549,"('clumsy', 'skillful')",-0.4923546,-0.6136549,-0.1213003
51,-0.50883967,-0.50273323,"('uneducated', 'educated')",-0.5088397,-0.5027332,0.0061065
52,0.37273756,0.16641784,"('irrational', 'rational')",0.3727376,0.1664178,-0.2063198
53,-1.1733618,-1.3291153,"('uncreative', 'creative')",-1.1733618,-1.3291153,-0.1557535
54,-0.47576496,-0.6515928,"('incapable', 'capable')",-0.475765,-0.6515928,-0.1758278
55,0.44169676,0.5330173,"('incompetent', 'clever')",0.4416968,0.5330173,0.0913205
56,0.75165623,0.8485114,"('impractical', 'practical')",0.7516562,0.8485114,0.0968552
57,-0.18618289,-0.18464842,"('unimaginative', 'imaginative')",-0.1861829,-0.1846484,0.0015345
58,-0.2820995,-0.3658761,"('undiscriminating', 'discriminating')",-0.2820995,-0.3658761,-0.0837766
59,0.8361415,0.6963393,"('foolish', 'wise')",0.8361415,0.6963393,-0.1398022
60,0.35255688,0.47327426,"('inefficient', 'efficient')",0.3525569,0.4732743,0.1207174
61,0.79452854,0.6317667,"('illogical', 'logical')",0.7945285,0.6317667,-0.1627618
62,0.34883705,0.48648965,"('incompetent', 'brilliant')",0.348837,0.4864897,0.1376527
63,-0.17341538,-0.20885874,"('unperceptive', 'insightful')",-0.1734154,-0.2088587,-0.0354433
64,-1.1618811,-0.98692596,"('shy', 'confident')",-1.1618811,-0.986926,0.1749551
65,0.58307433,0.62390864,"('insecure', 'secure')",0.5830743,0.6239086,0.0408343
66,-0.5473267,-0.5940627,"('inactive', 'active')",-0.5473267,-0.5940627,-0.046736
67,-0.119271345,-0.069735855,"('doubtful', 'determined')",-0.1192713,-0.0697359,0.0495354
68,-0.31849343,-0.34564668,"('dependent', 'independent')",-0.3184934,-0.3456467,-0.0271533
69,0.1646255,0.16031128,"('lazy', 'industrious')",0.1646255,0.1603113,-0.0043142
70,0.22827007,0.24700212,"('lethargic', 'energetic')",0.2282701,0.2470021,0.018732
71,0.9583073,0.9133384,"('diffident', 'self-confident')",0.9583073,0.9133384,-0.0449689
72,-0.9248909,-0.97074014,"('unambitious', 'ambitious')",-0.9248909,-0.9707401,-0.0458492
73,-0.2807801,-0.21999095,"('helpless', 'self-reliant')",-0.2807801,-0.219991,0.0607891
74,0.61112577,0.59225917,"('undedicated', 'dedicated')",0.6111258,0.5922592,-0.0188666
75,-0.3706311,-0.3237483,"('meek', 'impulsive')",-0.3706311,-0.3237483,0.0468828
76,-0.14977293,-0.02340236,"('anxious', 'daring')",-0.1497729,-0.0234024,0.1263705
77,-1.0210478,-0.87518424,"('unmotivated', 'motivated')",-1.0210478,-0.8751842,0.1458636
78,-0.19069731,-0.2539716,"('nonresilient', 'resilient')",-0.1906973,-0.2539716,-0.0632743
79,-0.4508333,-0.58151245,"('wavering', 'unwavering')",-0.4508333,-0.5815125,-0.1306792
80,0.36509234,0.4822291,"('dominated', 'dominating')",0.3650923,0.4822291,0.1171368
81,0.24260485,0.3842711,"('submissive', 'aggressive')",0.2426049,0.3842711,0.1416662
82,0.60790604,0.48386723,"('poor', 'rich')",0.607906,0.4838672,-0.1240388
83,-0.24476281,-0.21935219,"('powerless', 'powerful')",-0.2447628,-0.2193522,0.0254106
84,0.49251112,0.4737173,"('inferior', 'superior')",0.4925111,0.4737173,-0.0187938
85,-0.6221533,-0.714127,"('insignificant', 'prestigious')",-0.6221533,-0.714127,-0.0919737
86,-0.21186538,-0.39257005,"('uninfluential', 'influential')",-0.2118654,-0.39257,-0.1807046
87,0.87084997,0.7409951,"('unsuccessful', 'successful')",0.87085,0.7409951,-0.1298549
88,-1.0971448,-1.1977298,"('low', 'eminent')",-1.0971448,-1.1977298,-0.100585
