,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.0011964,-1.0539076,"('unsociable', 'sociable')",-0.43168405,-0.5438234,-0.7164402,-0.7988656,-0.0824254
1,0.212392,0.08561359,"('unfriendly', 'friendly')",1.3588586,1.2511104,0.7856253,0.668362,-0.1172633
2,-0.05544024,-0.014704168,"('unlikable', 'likable')",0.61317486,0.7394644,0.2788673,0.3623801,0.0835128
3,-2.0936134,-2.0777543,"('repellent', 'pleasant')",0.45148474,0.49073198,-0.8210644,-0.7935112,0.0275532
4,-0.02257803,-0.063649446,"('disliked', 'liked')",-7.28692,-7.3459744,-3.6547492,-3.704812,-0.0500628
5,0.5498152,0.47927386,"('distant', 'outgoing')",-0.74170613,-0.68986934,-0.0959455,-0.1052977,-0.0093522
6,0.20652288,0.1290544,"('distant', 'open')",-0.4866185,-0.43549153,-0.1400478,-0.1532186,-0.0131708
7,-1.049899,-1.0477681,"('insensitive', 'sensitive')",-0.31661364,-0.25171256,-0.6832563,-0.6497403,0.033516
8,-0.049038373,-0.18078108,"('unaffectionate', 'affectionate')",0.4013185,0.35967577,0.1761401,0.0894473,-0.0866928
9,-0.1968777,-0.26766327,"('unaffectionate', 'caring')",0.87564313,0.88165176,0.3393827,0.3069943,-0.0323884
10,-1.4807398,-1.5222477,"('unsympathetic', 'sympathetic')",-0.48094434,-0.43393463,-0.9808421,-0.9780911,0.002751
11,-0.6743201,-0.6051465,"('unhelpful', 'helpful')",1.6421529,1.6931701,0.4839164,0.5440118,0.0600954
12,-0.62076926,-0.5508087,"('unsupportive', 'supportive')",-2.5433095,-2.4321582,-1.5820394,-1.4914834,0.090556
13,-1.071325,-1.0651178,"('impolite', 'polite')",-0.51560724,-0.5426173,-0.7934661,-0.8038676,-0.0104015
14,-1.3990097,-1.4359891,"('antisocial', 'social')",-0.325123,-0.38532594,-0.8620664,-0.9106575,-0.0485911
15,0.4272136,0.39510193,"('boring', 'funny')",0.5193536,0.47030202,0.4732836,0.432702,-0.0405816
16,-0.19189444,-0.17007232,"('unpopular', 'popular')",0.22860664,0.1836936,0.0183561,0.0068106,-0.0115455
17,-0.3457201,-0.30607253,"('nasty', 'nice')",-0.08142205,-0.060883045,-0.2135711,-0.1834778,0.0300933
18,-0.6317918,-0.6018045,"('disagreeable', 'welcoming')",-0.8429028,-0.91563165,-0.7373472,-0.7587181,-0.0213709
19,-0.6407739,-0.69351053,"('inhospitable', 'hospitable')",-0.5812288,-0.5016516,-0.6110014,-0.597581,0.0134204
20,0.30144086,0.26574257,"('rough', 'thoughtful')",0.6028618,0.52863175,0.4521514,0.3971872,-0.0549642
21,-0.3324471,-0.39714545,"('immoral', 'moral')",-0.75823015,-0.7122127,-0.5453386,-0.554679,-0.0093404
22,-1.2550359,-1.2922124,"('untrustworthy', 'trustworthy')",-0.80946285,-0.87824565,-1.0322493,-1.085229,-0.0529797
23,-0.5093119,-0.5299989,"('insincere', 'sincere')",6.132624,6.062658,2.811656,2.7663295,-0.0453265
24,-0.36924165,-0.4030587,"('dishonest', 'honest')",0.83060825,0.8135307,0.2306833,0.205236,-0.0254473
25,0.48430407,0.5033215,"('egoistic', 'altruistic')",1.369571,1.3069866,0.9269375,0.905154,-0.0217835
26,0.9123622,0.7995034,"('hardhearted', 'benevolent')",1.3755319,1.3050656,1.1439471,1.0522845,-0.0916626
27,-0.6225038,-0.62467265,"('hardhearted', 'softhearted')",0.87913007,0.7858292,0.1283131,0.0805783,-0.0477348
28,-0.66891825,-0.7743991,"('disloyal', 'loyal')",0.9423239,0.8009478,0.1367028,0.0132743,-0.1234285
29,-0.34721214,-0.40508646,"('unfair', 'fair')",-0.55557245,-0.6700196,-0.4513923,-0.5375531,-0.0861608
30,-0.62117004,-0.65316826,"('intolerant', 'tolerant')",0.58905125,0.58837694,-0.0160594,-0.0323957,-0.0163363
31,-0.06209085,-0.003124293,"('evil', 'good')",-1.0974351,-1.0841872,-0.579763,-0.5436557,0.0361073
32,-0.14566568,-0.1511235,"('unkind', 'kind')",0.8432579,0.7661667,0.3487961,0.3075216,-0.0412745
33,0.9210098,0.8215316,"('wrong', 'right')",-0.5510085,-0.6400019,0.1850006,0.0907649,-0.0942357
34,-0.13103774,-0.026763845,"('mean', 'honorable')",5.3380513,5.4483914,2.6035068,2.7108138,0.107307
35,0.5487213,0.4624795,"('corrupt', 'incorrupt')",-0.36333194,-0.46227235,0.0926947,0.0001036,-0.0925911
36,-0.16168931,-0.27038556,"('hostile', 'amicable')",0.17521572,-0.0167056,0.0067632,-0.1435456,-0.1503088
37,-0.31972727,-0.38832265,"('fake', 'genuine')",-0.033301476,-0.028176315,-0.1765144,-0.2082495,-0.0317351
38,-0.27319232,-0.23873505,"('untruthful', 'truthful')",-0.24937035,-0.18143308,-0.2612813,-0.2100841,0.0511972
