,contribution_male,contribution_female,tuple,average_male,average_female,female-male
0,0.7031631,0.5446915,"('unsociable', 'sociable')",0.7031631,0.5446915,-0.1584716
1,0.3716641,0.27365366,"('unfriendly', 'friendly')",0.3716641,0.2736537,-0.0980104
2,-0.03951504,0.048793655,"('unlikable', 'likable')",-0.039515,0.0487937,0.0883087
3,1.0286736,1.1268473,"('repellent', 'pleasant')",1.0286736,1.1268473,0.0981737
4,-7.343023,-7.543135,"('disliked', 'liked')",-7.3430228,-7.5431352,-0.2001124
5,-1.4980139,-1.5059829,"('distant', 'outgoing')",-1.4980139,-1.5059829,-0.007969
6,-1.0126889,-1.0761824,"('distant', 'open')",-1.0126889,-1.0761824,-0.0634935
7,1.8567142,1.8850266,"('insensitive', 'sensitive')",1.8567142,1.8850266,0.0283124
8,0.5584448,0.5122805,"('unaffectionate', 'affectionate')",0.5584448,0.5122805,-0.0461643
9,1.2840859,1.2699993,"('unaffectionate', 'caring')",1.2840859,1.2699993,-0.0140866
10,2.01713,2.0829203,"('unsympathetic', 'sympathetic')",2.0171299,2.0829203,0.0657904
11,2.2307942,2.2910635,"('unhelpful', 'helpful')",2.2307942,2.2910635,0.0602693
12,-1.0422926,-1.0857496,"('unsupportive', 'supportive')",-1.0422926,-1.0857496,-0.043457
13,0.4765405,0.5462246,"('impolite', 'polite')",0.4765405,0.5462246,0.0696841
14,0.985016,0.9888198,"('antisocial', 'social')",0.985016,0.9888198,0.0038038
15,0.35587266,0.29286468,"('boring', 'funny')",0.3558727,0.2928647,-0.063008
16,-0.89222234,-0.9774675,"('unpopular', 'popular')",-0.8922223,-0.9774675,-0.0852452
17,-0.04323751,-0.007046804,"('nasty', 'nice')",-0.0432375,-0.0070468,0.0361907
18,-0.7336437,-0.7038102,"('disagreeable', 'welcoming')",-0.7336437,-0.7038102,0.0298335
19,-1.185495,-1.1358308,"('inhospitable', 'hospitable')",-1.185495,-1.1358308,0.0496642
20,0.8143956,0.7980222,"('rough', 'thoughtful')",0.8143956,0.7980222,-0.0163734
21,0.41180438,0.5616063,"('immoral', 'moral')",0.4118044,0.5616063,0.1498019
22,0.19118004,0.16746534,"('untrustworthy', 'trustworthy')",0.19118,0.1674653,-0.0237147
23,6.4399266,6.6157537,"('insincere', 'sincere')",6.4399266,6.6157537,0.1758271
24,1.6288357,1.638021,"('dishonest', 'honest')",1.6288357,1.638021,0.0091853
25,0.37924665,0.33998945,"('egoistic', 'altruistic')",0.3792467,0.3399895,-0.0392572
26,1.4121543,1.2306242,"('hardhearted', 'benevolent')",1.4121543,1.2306242,-0.1815301
