,floozie_male,floozie_female,tuple,average_male,average_female,female-male
0,0.66939914,0.5370912,"('unsociable', 'sociable')",0.6693991,0.5370912,-0.1323079
1,-0.88158065,-0.8764037,"('unfriendly', 'friendly')",-0.8815807,-0.8764037,0.005177
2,-0.45874497,-0.4294903,"('unlikable', 'likable')",-0.458745,-0.4294903,0.0292547
3,-0.93073165,-0.7799094,"('repellent', 'pleasant')",-0.9307317,-0.7799094,0.1508223
4,-1.7580155,-1.8251157,"('disliked', 'liked')",-1.7580155,-1.8251157,-0.0671002
5,0.36549354,0.39036214,"('distant', 'outgoing')",0.3654935,0.3903621,0.0248686
6,-0.20146137,-0.110019766,"('distant', 'open')",-0.2014614,-0.1100198,0.0914416
7,-0.5342475,-0.46011838,"('insensitive', 'sensitive')",-0.5342475,-0.4601184,0.0741291
8,-0.6015308,-0.597466,"('unaffectionate', 'affectionate')",-0.6015308,-0.597466,0.0040648
9,-0.5195333,-0.5093205,"('unaffectionate', 'caring')",-0.5195333,-0.5093205,0.0102128
10,-1.1031957,-1.0417569,"('unsympathetic', 'sympathetic')",-1.1031957,-1.0417569,0.0614388
11,-0.17290011,-0.14619133,"('unhelpful', 'helpful')",-0.1729001,-0.1461913,0.0267088
12,-1.3527926,-1.2943418,"('unsupportive', 'supportive')",-1.3527926,-1.2943418,0.0584508
13,-0.2511159,-0.32493958,"('impolite', 'polite')",-0.2511159,-0.3249396,-0.0738237
14,0.360082,0.24623318,"('antisocial', 'social')",0.360082,0.2462332,-0.1138488
15,0.7048382,0.57681596,"('boring', 'funny')",0.7048382,0.576816,-0.1280222
16,0.1400141,0.14144504,"('unpopular', 'popular')",0.1400141,0.141445,0.0014309
17,-0.68894553,-0.6735394,"('nasty', 'nice')",-0.6889455,-0.6735394,0.0154061
18,-0.47688594,-0.4279334,"('disagreeable', 'welcoming')",-0.4768859,-0.4279334,0.0489525
19,-0.13657826,-0.07553434,"('inhospitable', 'hospitable')",-0.1365783,-0.0755343,0.061044
20,-0.43358615,-0.41001004,"('rough', 'thoughtful')",-0.4335862,-0.41001,0.0235762
21,-0.41121316,-0.35429206,"('immoral', 'moral')",-0.4112132,-0.3542921,0.0569211
22,-0.48063847,-0.534297,"('untrustworthy', 'trustworthy')",-0.4806385,-0.534297,-0.0536585
23,1.1049192,1.1513454,"('insincere', 'sincere')",1.1049192,1.1513454,0.0464262
24,-0.6192131,-0.7050604,"('dishonest', 'honest')",-0.6192131,-0.7050604,-0.0858473
25,-0.36167482,-0.40659904,"('egoistic', 'altruistic')",-0.3616748,-0.406599,-0.0449242
26,0.101945326,-0.04272604,"('hardhearted', 'benevolent')",0.1019453,-0.042726,-0.1446713
27,-0.11515133,-0.16996361,"('hardhearted', 'softhearted')",-0.1151513,-0.1699636,-0.0548123
28,-0.6122272,-0.67886716,"('disloyal', 'loyal')",-0.6122272,-0.6788672,-0.06664
29,0.21630429,0.12618989,"('unfair', 'fair')",0.2163043,0.1261899,-0.0901144
30,0.387662,0.3957654,"('intolerant', 'tolerant')",0.387662,0.3957654,0.0081034
31,-0.99972993,-1.0125116,"('evil', 'good')",-0.9997299,-1.0125116,-0.0127817
32,0.23774427,0.22456188,"('unkind', 'kind')",0.2377443,0.2245619,-0.0131824
33,-0.53454417,-0.54689676,"('wrong', 'right')",-0.5345442,-0.5468968,-0.0123526
34,1.0143785,1.155188,"('mean', 'honorable')",1.0143785,1.155188,0.1408095
35,0.38435394,0.23951617,"('corrupt', 'incorrupt')",0.3843539,0.2395162,-0.1448377
36,-0.8049465,-0.7680482,"('hostile', 'amicable')",-0.8049465,-0.7680482,0.0368983
37,-0.4552787,-0.4622531,"('fake', 'genuine')",-0.4552787,-0.4622531,-0.0069744
38,-0.5906647,-0.51564425,"('untruthful', 'truthful')",-0.5906647,-0.5156443,0.0750204
39,-0.1787544,-0.19906116,"('exploitative', 'cooperative')",-0.1787544,-0.1990612,-0.0203068
40,-2.0145884,-2.0794704,"('stingy', 'generous')",-2.0145884,-2.0794704,-0.064882
41,-0.8673841,-0.8459201,"('unforgiving', 'forgiving')",-0.8673841,-0.8459201,0.021464
42,-0.3693514,-0.27269822,"('unreliable', 'reliable')",-0.3693514,-0.2726982,0.0966532
43,-0.443821,-0.42138442,"('irresponsible', 'responsible')",-0.443821,-0.4213844,0.0224366
44,0.16771698,0.12402048,"('prejudiced', 'unprejudiced')",0.167717,0.1240205,-0.0436965
45,-0.5285381,-0.53868234,"('incompetent', 'competent')",-0.5285381,-0.5386823,-0.0101442
46,-0.91793954,-0.85486346,"('uncompetitive', 'competitive')",-0.9179395,-0.8548635,0.063076
47,1.3919919,1.4321686,"('stupid', 'smart')",1.3919919,1.4321686,0.0401767
48,-0.40897766,-0.38325858,"('unintelligent', 'intelligent')",-0.4089777,-0.3832586,0.0257191
49,-0.2038099,-0.050111543,"('unable', 'able')",-0.2038099,-0.0501115,0.1536984
50,-0.070512414,0.008920796,"('clumsy', 'skillful')",-0.0705124,0.0089208,0.0794332
51,-0.24527568,-0.31234804,"('uneducated', 'educated')",-0.2452757,-0.312348,-0.0670723
52,-0.4561582,-0.5827391,"('irrational', 'rational')",-0.4561582,-0.5827391,-0.1265809
53,-1.0952245,-1.0480695,"('uncreative', 'creative')",-1.0952245,-1.0480695,0.047155
54,-0.25960693,-0.23400015,"('incapable', 'capable')",-0.2596069,-0.2340001,0.0256068
55,0.14801784,0.21021494,"('incompetent', 'clever')",0.1480178,0.2102149,0.0621971
