,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.2492961,-1.4475486,"('unsociable', 'sociable')",-0.07322247,-0.3541181,-0.6612593,-0.9008334,-0.2395741
1,-0.29848886,-0.5708687,"('unfriendly', 'friendly')",1.1023352,0.9566097,0.4019232,0.1928705,-0.2090527
2,0.034694925,0.06610535,"('unlikable', 'likable')",0.6185933,0.6925311,0.3266441,0.3793182,0.0526741
3,-1.2200701,-1.1411363,"('repellent', 'pleasant')",1.1391475,1.1354097,-0.0404613,-0.0028633,0.037598
4,-0.049346924,-0.11523172,"('disliked', 'liked')",-6.4174075,-6.4458504,-3.2333772,-3.2805409,-0.0471637
5,0.293083,0.20679452,"('distant', 'outgoing')",-0.6770875,-0.6050418,-0.1920022,-0.1991237,-0.0071215
6,0.7445013,0.6367518,"('distant', 'open')",-0.78585213,-0.73919415,-0.0206754,-0.0512212,-0.0305458
7,-1.4361428,-1.4171749,"('insensitive', 'sensitive')",0.044737056,-0.06098719,-0.6957029,-0.7390811,-0.0433782
8,-0.26327908,-0.44806743,"('unaffectionate', 'affectionate')",0.2619206,0.27133223,-0.0006792,-0.0883676,-0.0876884
9,-0.05201924,-0.27621543,"('unaffectionate', 'caring')",0.9868285,0.9682682,0.4674046,0.3460264,-0.1213782
10,-2.5221372,-2.443224,"('unsympathetic', 'sympathetic')",-0.6824954,-0.78744155,-1.6023163,-1.6153327,-0.0130164
11,-0.69664246,-0.68159044,"('unhelpful', 'helpful')",1.6726575,1.6852696,0.4880075,0.5018396,0.0138321
12,-1.0712883,-1.0095426,"('unsupportive', 'supportive')",-2.3792078,-2.41859,-1.7252481,-1.7140663,0.0111818
13,-1.4409639,-1.5078909,"('impolite', 'polite')",-0.8100298,-0.8507401,-1.1254969,-1.1793156,-0.0538187
14,-0.971117,-0.9033495,"('antisocial', 'social')",0.11846746,-0.081999496,-0.4263248,-0.4926745,-0.0663497
15,0.7792576,0.59296066,"('boring', 'funny')",0.1868287,0.12194166,0.4830431,0.3574512,-0.1255919
16,0.33145335,0.25316814,"('unpopular', 'popular')",0.80718666,0.6693698,0.56932,0.461269,-0.108051
17,-0.053915583,-0.093958795,"('nasty', 'nice')",-0.24015476,-0.21261281,-0.1470352,-0.1532858,-0.0062506
18,-0.585644,-0.62656856,"('disagreeable', 'welcoming')",-0.7184812,-0.80780315,-0.6520626,-0.7171859,-0.0651233
