,trustee_male,trustee_female,tuple,average_male,average_female,female-male
0,1.1701233,0.944814,"('unsociable', 'sociable')",1.1701233,0.944814,-0.2253093
1,0.9342993,0.81141466,"('unfriendly', 'friendly')",0.9342993,0.8114147,-0.1228846
2,0.48878953,0.49068514,"('unlikable', 'likable')",0.4887895,0.4906851,0.0018956
3,0.48714605,0.53510195,"('repellent', 'pleasant')",0.487146,0.535102,0.047956
4,-6.4794593,-6.5262384,"('disliked', 'liked')",-6.4794593,-6.5262384,-0.0467791
5,-1.6161064,-1.5948627,"('distant', 'outgoing')",-1.6161064,-1.5948627,0.0212437
6,-1.1028323,-1.045197,"('distant', 'open')",-1.1028323,-1.045197,0.0576353
7,1.819903,1.7828788,"('insensitive', 'sensitive')",1.819903,1.7828788,-0.0370242
8,0.75514144,0.69606334,"('unaffectionate', 'affectionate')",0.7551414,0.6960633,-0.0590781
9,1.8583983,1.818519,"('unaffectionate', 'caring')",1.8583983,1.818519,-0.0398793
10,1.7051437,1.6717657,"('unsympathetic', 'sympathetic')",1.7051437,1.6717657,-0.033378
11,2.7195683,2.6488307,"('unhelpful', 'helpful')",2.7195683,2.6488307,-0.0707376
12,-0.6420523,-0.6975945,"('unsupportive', 'supportive')",-0.6420523,-0.6975945,-0.0555422
13,0.4335385,0.29445586,"('impolite', 'polite')",0.4335385,0.2944559,-0.1390826
14,0.9749577,0.87156343,"('antisocial', 'social')",0.9749577,0.8715634,-0.1033943
15,0.18114796,0.07772164,"('boring', 'funny')",0.181148,0.0777216,-0.1034264
16,-0.71222115,-0.72822446,"('unpopular', 'popular')",-0.7122211,-0.7282245,-0.0160034
17,0.27280015,0.23626956,"('nasty', 'nice')",0.2728001,0.2362696,-0.0365305
18,-1.0340112,-1.0949799,"('disagreeable', 'welcoming')",-1.0340112,-1.0949799,-0.0609687
19,-0.62036175,-0.6215383,"('inhospitable', 'hospitable')",-0.6203617,-0.6215383,-0.0011766
20,1.4791212,1.4363431,"('rough', 'thoughtful')",1.4791212,1.4363431,-0.0427781
21,0.8909453,0.8590234,"('immoral', 'moral')",0.8909453,0.8590234,-0.0319219
22,0.18808477,0.1135469,"('untrustworthy', 'trustworthy')",0.1880848,0.1135469,-0.0745379
23,7.2992015,7.169618,"('insincere', 'sincere')",7.2992015,7.1696181,-0.1295834
24,1.7381506,1.6624477,"('dishonest', 'honest')",1.7381506,1.6624477,-0.0757029
25,0.32684892,0.26232028,"('egoistic', 'altruistic')",0.3268489,0.2623203,-0.0645286
26,1.9285941,1.8569045,"('hardhearted', 'benevolent')",1.9285941,1.8569045,-0.0716896
27,1.1594018,0.9840564,"('hardhearted', 'softhearted')",1.1594018,0.9840564,-0.1753454
28,1.4442447,1.322243,"('disloyal', 'loyal')",1.4442447,1.322243,-0.1220017
29,-1.0925893,-1.2085166,"('unfair', 'fair')",-1.0925893,-1.2085166,-0.1159273
30,1.6903168,1.595306,"('intolerant', 'tolerant')",1.6903168,1.595306,-0.0950108
31,-2.59374,-2.5418239,"('evil', 'good')",-2.59374,-2.5418239,0.0519161
32,1.9963179,1.8576862,"('unkind', 'kind')",1.9963179,1.8576862,-0.1386317
33,-0.86147255,-0.93190575,"('wrong', 'right')",-0.8614725,-0.9319057,-0.0704332
34,5.4796023,5.594724,"('mean', 'honorable')",5.4796023,5.5947242,0.1151219
35,-1.3940578,-1.4657997,"('corrupt', 'incorrupt')",-1.3940578,-1.4657997,-0.0717419
36,-0.8320359,-0.9243149,"('hostile', 'amicable')",-0.8320359,-0.9243149,-0.092279
37,1.2149519,1.1836108,"('fake', 'genuine')",1.2149519,1.1836108,-0.0313411
38,0.8223483,0.7799806,"('untruthful', 'truthful')",0.8223483,0.7799806,-0.0423677
39,0.37476704,0.35525045,"('exploitative', 'cooperative')",0.374767,0.3552504,-0.0195166
40,-1.9320986,-2.085631,"('stingy', 'generous')",-1.9320986,-2.0856309,-0.1535323
41,0.61687976,0.42498958,"('unforgiving', 'forgiving')",0.6168798,0.4249896,-0.1918902
42,-2.3385193,-2.3612466,"('unreliable', 'reliable')",-2.3385193,-2.3612466,-0.0227273
43,2.045043,2.0060682,"('irresponsible', 'responsible')",2.045043,2.0060682,-0.0389748
