,condominium_male,condominium_female,tuple,average_male,average_female,female-male
0,0.12150812,0.022257574,"('unsociable', 'sociable')",0.1215081,0.0222576,-0.0992505
1,0.11752448,0.11920497,"('unfriendly', 'friendly')",0.1175245,0.119205,0.0016805
2,0.93783414,1.0931493,"('unlikable', 'likable')",0.9378341,1.0931493,0.1553152
3,-0.6591065,-0.534324,"('repellent', 'pleasant')",-0.6591065,-0.534324,0.1247825
4,-2.249221,-1.963562,"('disliked', 'liked')",-2.2492211,-1.963562,0.2856591
5,1.0874609,1.2095475,"('distant', 'outgoing')",1.0874609,1.2095475,0.1220866
6,0.77859074,0.8732794,"('distant', 'open')",0.7785907,0.8732794,0.0946887
7,0.44973597,0.4482234,"('insensitive', 'sensitive')",0.449736,0.4482234,-0.0015126
8,0.29005885,0.2126156,"('unaffectionate', 'affectionate')",0.2900589,0.2126156,-0.0774433
9,0.7304657,0.6815146,"('unaffectionate', 'caring')",0.7304657,0.6815146,-0.0489511
10,-0.68920743,-0.7794279,"('unsympathetic', 'sympathetic')",-0.6892074,-0.7794279,-0.0902205
11,0.45603594,0.38969743,"('unhelpful', 'helpful')",0.4560359,0.3896974,-0.0663385
12,-0.42895395,-0.3713913,"('unsupportive', 'supportive')",-0.4289539,-0.3713913,0.0575626
13,0.10751858,-0.045113254,"('impolite', 'polite')",0.1075186,-0.0451133,-0.1526319
14,0.29070085,0.30218124,"('antisocial', 'social')",0.2907009,0.3021812,0.0114803
15,0.56760556,0.55869424,"('boring', 'funny')",0.5676056,0.5586942,-0.0089114
16,0.997788,1.1402049,"('unpopular', 'popular')",0.997788,1.1402049,0.1424169
17,0.35667285,0.45120046,"('nasty', 'nice')",0.3566729,0.4512005,0.0945276
18,-0.10454405,0.0038953722,"('disagreeable', 'welcoming')",-0.1045441,0.0038954,0.1084395
19,-0.83011055,-0.799005,"('inhospitable', 'hospitable')",-0.8301105,-0.799005,0.0311055
20,-0.24691318,-0.27609745,"('rough', 'thoughtful')",-0.2469132,-0.2760974,-0.0291842
21,-0.5132947,-0.49420807,"('immoral', 'moral')",-0.5132947,-0.4942081,0.0190866
22,-0.87629175,-0.81771255,"('untrustworthy', 'trustworthy')",-0.8762918,-0.8177125,0.0585793
23,2.3913856,2.260453,"('insincere', 'sincere')",2.3913856,2.260453,-0.1309326
