,stumbling_male,stumbling_female,tuple,average_male,average_female,female-male
0,0.3756265,0.2923179,"('unsociable', 'sociable')",0.3756265,0.2923179,-0.0833086
1,0.9102705,0.9703557,"('unfriendly', 'friendly')",0.9102705,0.9703557,0.0600852
2,0.45465475,0.5847525,"('unlikable', 'likable')",0.4546548,0.5847525,0.1300977
3,1.0647202,1.1637834,"('repellent', 'pleasant')",1.0647202,1.1637834,0.0990632
4,-7.1795835,-7.0864506,"('disliked', 'liked')",-7.1795835,-7.0864506,0.0931329
5,-0.4106009,-0.22413492,"('distant', 'outgoing')",-0.4106009,-0.2241349,0.186466
6,-0.15290725,-0.047077756,"('distant', 'open')",-0.1529073,-0.0470778,0.1058295
7,1.3995188,1.3707943,"('insensitive', 'sensitive')",1.3995188,1.3707943,-0.0287245
8,0.8551554,0.74324596,"('unaffectionate', 'affectionate')",0.8551554,0.743246,-0.1119094
9,1.1228937,1.0970997,"('unaffectionate', 'caring')",1.1228937,1.0970997,-0.025794
10,1.7606652,1.512244,"('unsympathetic', 'sympathetic')",1.7606652,1.512244,-0.2484212
11,1.9267902,1.8657045,"('unhelpful', 'helpful')",1.9267902,1.8657045,-0.0610857
12,-1.1145732,-1.1179351,"('unsupportive', 'supportive')",-1.1145732,-1.1179351,-0.0033619
13,0.20477119,0.17909552,"('impolite', 'polite')",0.2047712,0.1790955,-0.0256757
14,0.40852594,0.36408275,"('antisocial', 'social')",0.4085259,0.3640828,-0.0444431
15,0.1679112,0.2254324,"('boring', 'funny')",0.1679112,0.2254324,0.0575212
16,-0.60822034,-0.4034225,"('unpopular', 'popular')",-0.6082203,-0.4034225,0.2047978
17,0.13619807,0.05704152,"('nasty', 'nice')",0.1361981,0.0570415,-0.0791566
18,-0.4274832,-0.32986435,"('disagreeable', 'welcoming')",-0.4274832,-0.3298644,0.0976188
19,-0.52117234,-0.4840046,"('inhospitable', 'hospitable')",-0.5211723,-0.4840046,0.0371677
20,0.87469715,0.76568896,"('rough', 'thoughtful')",0.8746971,0.765689,-0.1090081
21,0.255786,0.30539584,"('immoral', 'moral')",0.255786,0.3053958,0.0496098
22,0.3160495,0.26244795,"('untrustworthy', 'trustworthy')",0.3160495,0.262448,-0.0536015
23,6.291433,6.3581834,"('insincere', 'sincere')",6.2914329,6.3581834,0.0667505
24,1.8897928,1.8965181,"('dishonest', 'honest')",1.8897928,1.8965181,0.0067253
25,0.19263127,0.21993509,"('egoistic', 'altruistic')",0.1926313,0.2199351,0.0273038
26,0.1776179,0.040158734,"('hardhearted', 'benevolent')",0.1776179,0.0401587,-0.1374592
27,1.7704984,1.5152093,"('hardhearted', 'softhearted')",1.7704984,1.5152093,-0.2552891
28,0.9568555,0.8897159,"('disloyal', 'loyal')",0.9568555,0.8897159,-0.0671396
29,-0.2613591,-0.39098275,"('unfair', 'fair')",-0.2613591,-0.3909827,-0.1296236
30,1.0452359,0.92597723,"('intolerant', 'tolerant')",1.0452359,0.9259772,-0.1192587
31,-1.1326416,-1.0280885,"('evil', 'good')",-1.1326416,-1.0280885,0.1045531
32,1.2505846,1.1192192,"('unkind', 'kind')",1.2505846,1.1192192,-0.1313654
33,-0.94622576,-0.77831084,"('wrong', 'right')",-0.9462258,-0.7783108,0.167915
34,4.197616,4.427663,"('mean', 'honorable')",4.1976161,4.4276628,0.2300467
35,-1.050556,-1.0876532,"('corrupt', 'incorrupt')",-1.0505559,-1.0876532,-0.0370973
36,-0.8719778,-0.95801044,"('hostile', 'amicable')",-0.8719778,-0.9580104,-0.0860326
37,0.8642535,0.8376058,"('fake', 'genuine')",0.8642535,0.8376058,-0.0266477
38,-0.27669182,-0.22488546,"('untruthful', 'truthful')",-0.2766918,-0.2248855,0.0518063
39,0.059034105,0.12335442,"('exploitative', 'cooperative')",0.0590341,0.1233544,0.0643203
40,-0.90134907,-1.0034201,"('stingy', 'generous')",-0.9013491,-1.0034201,-0.102071
41,0.26223525,0.0475754,"('unforgiving', 'forgiving')",0.2622353,0.0475754,-0.2146599
42,-1.4975518,-1.6163929,"('unreliable', 'reliable')",-1.4975518,-1.6163929,-0.1188411
43,1.5437238,1.4458488,"('irresponsible', 'responsible')",1.5437238,1.4458488,-0.097875
44,-1.1804914,-1.2707403,"('prejudiced', 'unprejudiced')",-1.1804914,-1.2707403,-0.0902489
45,0.8379537,0.7191728,"('incompetent', 'competent')",0.8379537,0.7191728,-0.1187809
46,-0.12813683,-0.18566154,"('uncompetitive', 'competitive')",-0.1281368,-0.1856615,-0.0575247
47,5.6129346,5.759141,"('stupid', 'smart')",5.6129346,5.759141,0.1462064
48,0.90365267,0.8558209,"('unintelligent', 'intelligent')",0.9036527,0.8558209,-0.0478318
49,-0.42956394,-0.18317743,"('unable', 'able')",-0.4295639,-0.1831774,0.2463865
50,-0.062375493,-0.066872686,"('clumsy', 'skillful')",-0.0623755,-0.0668727,-0.0044972
51,0.6164204,0.59638214,"('uneducated', 'educated')",0.6164204,0.5963821,-0.0200383
52,-0.63071096,-0.6090767,"('irrational', 'rational')",-0.630711,-0.6090767,0.0216343
53,0.2812689,0.27833092,"('uncreative', 'creative')",0.2812689,0.2783309,-0.002938
54,0.9862683,1.173556,"('incapable', 'capable')",0.9862683,1.173556,0.1872877
55,1.1296531,1.1144018,"('incompetent', 'clever')",1.1296531,1.1144018,-0.0152513
56,0.7393173,0.80353606,"('impractical', 'practical')",0.7393173,0.8035361,0.0642188
57,-2.1655548,-2.291126,"('unimaginative', 'imaginative')",-2.1655548,-2.291126,-0.1255712
58,0.08808057,-0.046656504,"('undiscriminating', 'discriminating')",0.0880806,-0.0466565,-0.1347371
59,-0.15177117,-0.022887155,"('foolish', 'wise')",-0.1517712,-0.0228872,0.128884
60,0.7096166,0.78075427,"('inefficient', 'efficient')",0.7096166,0.7807543,0.0711377
61,0.63295084,0.4751124,"('illogical', 'logical')",0.6329508,0.4751124,-0.1578384
62,1.473018,1.5912236,"('incompetent', 'brilliant')",1.4730181,1.5912236,0.1182055
63,1.0626552,1.1314226,"('unperceptive', 'insightful')",1.0626552,1.1314226,0.0687674
64,-5.3112583,-5.249293,"('shy', 'confident')",-5.3112583,-5.2492929,0.0619654
65,1.4010868,1.2591112,"('insecure', 'secure')",1.4010868,1.2591112,-0.1419756
66,0.0017042831,-0.034556665,"('inactive', 'active')",0.0017043,-0.0345567,-0.036261
67,-0.8307528,-0.7105441,"('doubtful', 'determined')",-0.8307528,-0.7105441,0.1202087
68,-0.41217798,-0.31801018,"('dependent', 'independent')",-0.412178,-0.3180102,0.0941678
69,-1.8685379,-1.723707,"('lazy', 'industrious')",-1.8685379,-1.723707,0.1448309
70,1.9635016,1.864873,"('lethargic', 'energetic')",1.9635016,1.8648731,-0.0986285
71,0.30454955,0.55315286,"('diffident', 'self-confident')",0.3045495,0.5531529,0.2486034
72,0.9506645,0.9855475,"('unambitious', 'ambitious')",0.9506645,0.9855475,0.034883
73,-3.106954,-3.030684,"('helpless', 'self-reliant')",-3.1069541,-3.030684,0.0762701
74,0.12183875,0.06008491,"('undedicated', 'dedicated')",0.1218387,0.0600849,-0.0617538
75,-0.84259295,-0.75499237,"('meek', 'impulsive')",-0.842593,-0.7549924,0.0876006
76,1.2539121,1.1247494,"('anxious', 'daring')",1.2539121,1.1247494,-0.1291627
77,-0.95048445,-0.8554461,"('unmotivated', 'motivated')",-0.9504845,-0.8554461,0.0950384
78,-0.2150151,-0.21608196,"('nonresilient', 'resilient')",-0.2150151,-0.216082,-0.0010669
79,-0.042673558,-0.10028685,"('wavering', 'unwavering')",-0.0426736,-0.1002868,-0.0576132
80,0.2683121,0.1955678,"('dominated', 'dominating')",0.2683121,0.1955678,-0.0727443
81,0.5476469,0.4759189,"('submissive', 'aggressive')",0.5476469,0.4759189,-0.071728
82,6.142778,6.364339,"('poor', 'rich')",6.1427779,6.3643389,0.221561
83,-0.591629,-0.5291735,"('powerless', 'powerful')",-0.591629,-0.5291735,0.0624555
84,-0.16459265,-0.17616484,"('inferior', 'superior')",-0.1645927,-0.1761648,-0.0115721
85,-1.7123703,-1.6525855,"('insignificant', 'prestigious')",-1.7123703,-1.6525855,0.0597848
86,0.54438746,0.51030755,"('uninfluential', 'influential')",0.5443875,0.5103076,-0.0340799
87,0.036309943,0.2247314,"('unsuccessful', 'successful')",0.0363099,0.2247314,0.1884215
88,-0.032072302,0.044308644,"('low', 'eminent')",-0.0320723,0.0443086,0.0763809
