,antelope_male,antelope_female,tuple,average_male,average_female,female-male
0,-0.76892585,-0.8182936,"('unsociable', 'sociable')",-0.7689258,-0.8182936,-0.0493678
1,-1.6380045,-1.7915137,"('unfriendly', 'friendly')",-1.6380045,-1.7915137,-0.1535092
2,-0.32821873,-0.3233045,"('unlikable', 'likable')",-0.3282187,-0.3233045,0.0049142
3,-0.25414106,-0.13389215,"('repellent', 'pleasant')",-0.2541411,-0.1338921,0.120249
4,-1.6898026,-1.6975113,"('disliked', 'liked')",-1.6898026,-1.6975113,-0.0077087
5,-0.5175102,-0.5604691,"('distant', 'outgoing')",-0.5175102,-0.5604691,-0.0429589
6,-0.5831635,-0.6121778,"('distant', 'open')",-0.5831635,-0.6121778,-0.0290143
7,-0.1784288,-0.1837895,"('insensitive', 'sensitive')",-0.1784288,-0.1837895,-0.0053607
8,-0.16764265,-0.3390853,"('unaffectionate', 'affectionate')",-0.1676427,-0.3390853,-0.1714426
9,-0.36765146,-0.5000143,"('unaffectionate', 'caring')",-0.3676515,-0.5000143,-0.1323628
10,-1.6050822,-1.5652739,"('unsympathetic', 'sympathetic')",-1.6050822,-1.5652739,0.0398083
11,-0.50633335,-0.5050449,"('unhelpful', 'helpful')",-0.5063334,-0.5050449,0.0012885
12,-1.4250062,-1.4215585,"('unsupportive', 'supportive')",-1.4250062,-1.4215585,0.0034477
13,-0.5704075,-0.6117536,"('impolite', 'polite')",-0.5704075,-0.6117536,-0.0413461
14,-0.25852677,-0.32691506,"('antisocial', 'social')",-0.2585268,-0.3269151,-0.0683883
15,0.32494462,0.23029873,"('boring', 'funny')",0.3249446,0.2302987,-0.0946459
16,-0.2865567,-0.31300658,"('unpopular', 'popular')",-0.2865567,-0.3130066,-0.0264499
17,-0.19588673,-0.16343167,"('nasty', 'nice')",-0.1958867,-0.1634317,0.032455
18,-0.7287333,-0.7788561,"('disagreeable', 'welcoming')",-0.7287333,-0.7788561,-0.0501228
19,-1.3363923,-1.2371651,"('inhospitable', 'hospitable')",-1.3363923,-1.2371651,0.0992272
20,-0.15912145,-0.108370095,"('rough', 'thoughtful')",-0.1591215,-0.1083701,0.0507514
21,-0.5055519,-0.36185858,"('immoral', 'moral')",-0.5055519,-0.3618586,0.1436933
22,-0.4262925,-0.44212988,"('untrustworthy', 'trustworthy')",-0.4262925,-0.4421299,-0.0158374
23,0.7760541,0.7294476,"('insincere', 'sincere')",0.7760541,0.7294476,-0.0466065
24,-0.4428805,-0.5532355,"('dishonest', 'honest')",-0.4428805,-0.5532355,-0.110355
25,0.5657184,0.42003268,"('egoistic', 'altruistic')",0.5657184,0.4200327,-0.1456857
26,-0.56648934,-0.73906475,"('hardhearted', 'benevolent')",-0.5664893,-0.7390648,-0.1725755
27,0.3014025,0.16198191,"('hardhearted', 'softhearted')",0.3014025,0.1619819,-0.1394206
28,-0.1410986,-0.27955896,"('disloyal', 'loyal')",-0.1410986,-0.279559,-0.1384604
29,-0.32244816,-0.3686321,"('unfair', 'fair')",-0.3224482,-0.3686321,-0.0461839
30,-0.39252034,-0.393632,"('intolerant', 'tolerant')",-0.3925203,-0.393632,-0.0011117
31,-0.7059248,-0.6144665,"('evil', 'good')",-0.7059248,-0.6144665,0.0914583
32,-0.063078865,-0.19365849,"('unkind', 'kind')",-0.0630789,-0.1936585,-0.1305796
33,0.070528515,0.00054879487,"('wrong', 'right')",0.0705285,0.0005488,-0.0699797
34,0.96375775,1.1228651,"('mean', 'honorable')",0.9637578,1.1228651,0.1591073
35,0.70399576,0.6015911,"('corrupt', 'incorrupt')",0.7039958,0.6015911,-0.1024047
36,-0.78659606,-0.788731,"('hostile', 'amicable')",-0.7865961,-0.788731,-0.0021349
37,-0.32750583,-0.3363551,"('fake', 'genuine')",-0.3275058,-0.3363551,-0.0088493
38,-0.35017267,-0.40377286,"('untruthful', 'truthful')",-0.3501727,-0.4037729,-0.0536002
39,0.34943566,0.34233075,"('exploitative', 'cooperative')",0.3494357,0.3423308,-0.0071049
40,-1.1279653,-1.1806581,"('stingy', 'generous')",-1.1279653,-1.1806581,-0.0526928
41,-0.43726215,-0.4844828,"('unforgiving', 'forgiving')",-0.4372621,-0.4844828,-0.0472207
42,-0.66923124,-0.6198193,"('unreliable', 'reliable')",-0.6692312,-0.6198193,0.0494119
43,-0.88112736,-0.8954569,"('irresponsible', 'responsible')",-0.8811274,-0.8954569,-0.0143295
