,copying_male,copying_female,tuple,average_male,average_female,female-male
0,0.015350416,-0.1772892,"('unsociable', 'sociable')",0.0153504,-0.1772892,-0.1926396
1,1.6383182,1.6831152,"('unfriendly', 'friendly')",1.6383182,1.6831152,0.044797
2,0.4988728,0.62407094,"('unlikable', 'likable')",0.4988728,0.6240709,0.1251981
3,0.680777,0.716968,"('repellent', 'pleasant')",0.680777,0.716968,0.036191
4,-7.7372394,-7.6388783,"('disliked', 'liked')",-7.7372394,-7.6388783,0.0983611
5,-0.214287,-0.029256918,"('distant', 'outgoing')",-0.214287,-0.0292569,0.1850301
6,0.015568592,0.21450724,"('distant', 'open')",0.0155686,0.2145072,0.1989386
7,0.4771096,0.5357956,"('insensitive', 'sensitive')",0.4771096,0.5357956,0.058686
8,1.3071834,1.3119905,"('unaffectionate', 'affectionate')",1.3071834,1.3119905,0.0048071
9,2.2099206,2.2231717,"('unaffectionate', 'caring')",2.2099206,2.2231717,0.0132511
10,0.68462664,0.70886236,"('unsympathetic', 'sympathetic')",0.6846266,0.7088624,0.0242358
11,2.0591595,2.0379407,"('unhelpful', 'helpful')",2.0591595,2.0379407,-0.0212188
12,-1.4510475,-1.4745216,"('unsupportive', 'supportive')",-1.4510475,-1.4745216,-0.0234741
13,0.35225695,0.17102863,"('impolite', 'polite')",0.352257,0.1710286,-0.1812284
14,-0.41566443,-0.5448589,"('antisocial', 'social')",-0.4156644,-0.5448589,-0.1291945
15,0.18628244,0.17766698,"('boring', 'funny')",0.1862824,0.177667,-0.0086154
16,0.115949824,0.15451983,"('unpopular', 'popular')",0.1159498,0.1545198,0.03857
17,0.27739862,0.3438245,"('nasty', 'nice')",0.2773986,0.3438245,0.0664259
18,-0.6956718,-0.7832179,"('disagreeable', 'welcoming')",-0.6956718,-0.7832179,-0.0875461
19,-0.6073588,-0.40501064,"('inhospitable', 'hospitable')",-0.6073588,-0.4050106,0.2023482
20,0.8990865,0.7463662,"('rough', 'thoughtful')",0.8990865,0.7463662,-0.1527203
21,-0.4748231,-0.41995513,"('immoral', 'moral')",-0.4748231,-0.4199551,0.054868
22,-0.83933806,-0.8119936,"('untrustworthy', 'trustworthy')",-0.8393381,-0.8119936,0.0273445
23,7.0912786,7.025325,"('insincere', 'sincere')",7.0912786,7.0253248,-0.0659538
24,1.7144405,1.7215313,"('dishonest', 'honest')",1.7144405,1.7215313,0.0070908
25,0.6374364,0.5843747,"('egoistic', 'altruistic')",0.6374364,0.5843747,-0.0530617
26,0.72642803,0.6168012,"('hardhearted', 'benevolent')",0.726428,0.6168012,-0.1096268
27,1.3482976,1.2151341,"('hardhearted', 'softhearted')",1.3482976,1.2151341,-0.1331635
28,1.396901,1.344022,"('disloyal', 'loyal')",1.396901,1.344022,-0.052879
29,-0.500806,-0.4971452,"('unfair', 'fair')",-0.500806,-0.4971452,0.0036608
30,1.0397228,0.95606667,"('intolerant', 'tolerant')",1.0397228,0.9560667,-0.0836561
31,-1.4109651,-1.2151736,"('evil', 'good')",-1.4109651,-1.2151736,0.1957915
32,1.4159392,1.3268038,"('unkind', 'kind')",1.4159392,1.3268038,-0.0891354
33,0.009681737,-0.041933488,"('wrong', 'right')",0.0096817,-0.0419335,-0.0516152
34,5.23535,5.3743353,"('mean', 'honorable')",5.2353501,5.3743353,0.1389852
