,sari_male,sari_female,tuple,average_male,average_female,female-male
0,0.4873629,0.37473014,"('unsociable', 'sociable')",0.4873629,0.3747301,-0.1126328
1,-0.6256408,-0.77510166,"('unfriendly', 'friendly')",-0.6256408,-0.7751017,-0.1494609
2,0.8029961,0.8367896,"('unlikable', 'likable')",0.8029961,0.8367896,0.0337935
3,-0.057630513,-0.03420528,"('repellent', 'pleasant')",-0.0576305,-0.0342053,0.0234252
4,-1.692678,-1.6264445,"('disliked', 'liked')",-1.692678,-1.6264445,0.0662335
5,-0.8273344,-0.75559044,"('distant', 'outgoing')",-0.8273344,-0.7555904,0.071744
6,-0.9965381,-0.96046215,"('distant', 'open')",-0.9965381,-0.9604622,0.0360759
7,0.15973958,0.08561012,"('insensitive', 'sensitive')",0.1597396,0.0856101,-0.0741295
8,-0.7392052,-0.8188645,"('unaffectionate', 'affectionate')",-0.7392052,-0.8188645,-0.0796593
9,0.12521663,0.03119009,"('unaffectionate', 'caring')",0.1252166,0.0311901,-0.0940265
10,-0.17370543,-0.20173128,"('unsympathetic', 'sympathetic')",-0.1737054,-0.2017313,-0.0280259
11,1.2095516,1.2415011,"('unhelpful', 'helpful')",1.2095516,1.2415011,0.0319495
12,-0.73191595,-0.7782406,"('unsupportive', 'supportive')",-0.731916,-0.7782406,-0.0463246
13,-0.3443476,-0.3958664,"('impolite', 'polite')",-0.3443476,-0.3958664,-0.0515188
14,0.34343567,0.2737464,"('antisocial', 'social')",0.3434357,0.2737464,-0.0696893
15,1.4138087,1.3820436,"('boring', 'funny')",1.4138087,1.3820436,-0.0317651
16,0.5114946,0.4699232,"('unpopular', 'popular')",0.5114946,0.4699232,-0.0415714
17,0.3010026,0.34940276,"('nasty', 'nice')",0.3010026,0.3494028,0.0484002
18,-1.0780377,-1.1322632,"('disagreeable', 'welcoming')",-1.0780377,-1.1322632,-0.0542255
19,-0.14188477,-0.010696845,"('inhospitable', 'hospitable')",-0.1418848,-0.0106968,0.131188
20,0.39208683,0.30793703,"('rough', 'thoughtful')",0.3920868,0.307937,-0.0841498
21,-0.026423397,-0.038147256,"('immoral', 'moral')",-0.0264234,-0.0381473,-0.0117239
22,-0.12661794,-0.07816243,"('untrustworthy', 'trustworthy')",-0.1266179,-0.0781624,0.0484555
23,1.8422426,1.7424294,"('insincere', 'sincere')",1.8422426,1.7424294,-0.0998132
