,eggnog_male,eggnog_female,tuple,average_male,average_female,female-male
0,-0.5324357,-0.8124609,"('unsociable', 'sociable')",-0.5324357,-0.8124609,-0.2800252
1,-0.70294106,-0.726097,"('unfriendly', 'friendly')",-0.7029411,-0.726097,-0.0231559
2,-0.13885693,-0.21925236,"('unlikable', 'likable')",-0.1388569,-0.2192524,-0.0803955
3,-0.6439034,-0.64741814,"('repellent', 'pleasant')",-0.6439034,-0.6474181,-0.0035147
4,-1.9737114,-1.9523759,"('disliked', 'liked')",-1.9737114,-1.9523759,0.0213355
5,-0.12763366,0.099628694,"('distant', 'outgoing')",-0.1276337,0.0996287,0.2272624
6,-0.42007,-0.14304356,"('distant', 'open')",-0.42007,-0.1430436,0.2770264
7,-0.7984593,-0.77128506,"('insensitive', 'sensitive')",-0.7984593,-0.7712851,0.0271742
8,0.19071986,0.26310718,"('unaffectionate', 'affectionate')",0.1907199,0.2631072,0.0723873
9,-0.29468793,-0.2349658,"('unaffectionate', 'caring')",-0.2946879,-0.2349658,0.0597221
10,-1.4863138,-1.4697104,"('unsympathetic', 'sympathetic')",-1.4863138,-1.4697104,0.0166034
11,0.41108605,0.34579006,"('unhelpful', 'helpful')",0.4110861,0.3457901,-0.065296
12,-1.1760665,-1.1297693,"('unsupportive', 'supportive')",-1.1760665,-1.1297693,0.0462972
13,-0.081646055,-0.30663425,"('impolite', 'polite')",-0.0816461,-0.3066342,-0.2249881
14,-0.4330946,-0.7315148,"('antisocial', 'social')",-0.4330946,-0.7315148,-0.2984202
15,0.78291017,0.7395353,"('boring', 'funny')",0.7829102,0.7395353,-0.0433749
16,-0.17781965,-0.1889734,"('unpopular', 'popular')",-0.1778197,-0.1889734,-0.0111537
17,-0.5164118,-0.45550716,"('nasty', 'nice')",-0.5164118,-0.4555072,0.0609046
18,-0.7234528,-0.78654104,"('disagreeable', 'welcoming')",-0.7234528,-0.786541,-0.0630882
19,-0.57308793,-0.30410832,"('inhospitable', 'hospitable')",-0.5730879,-0.3041083,0.2689796
20,0.12663078,0.07353794,"('rough', 'thoughtful')",0.1266308,0.0735379,-0.0530929
21,-0.47269422,-0.53911537,"('immoral', 'moral')",-0.4726942,-0.5391154,-0.0664212
22,-0.8551232,-1.000733,"('untrustworthy', 'trustworthy')",-0.8551232,-1.000733,-0.1456098
23,1.2963629,1.1769732,"('insincere', 'sincere')",1.2963629,1.1769732,-0.1193897
24,-0.051822532,-0.14500685,"('dishonest', 'honest')",-0.0518225,-0.1450069,-0.0931844
25,0.106445454,-0.02139274,"('egoistic', 'altruistic')",0.1064455,-0.0213927,-0.1278382
26,-0.3969249,-0.5171185,"('hardhearted', 'benevolent')",-0.3969249,-0.5171185,-0.1201936
27,0.5499623,0.59048784,"('hardhearted', 'softhearted')",0.5499623,0.5904878,0.0405255
28,0.0028467719,-0.06128467,"('disloyal', 'loyal')",0.0028468,-0.0612847,-0.0641315
29,-0.4124943,-0.42570263,"('unfair', 'fair')",-0.4124943,-0.4257026,-0.0132083
30,-0.15133697,-0.25204825,"('intolerant', 'tolerant')",-0.151337,-0.2520483,-0.1007113
31,-0.88518614,-0.67641526,"('evil', 'good')",-0.8851861,-0.6764153,0.2087708
32,-0.54212326,-0.7088651,"('unkind', 'kind')",-0.5421233,-0.7088651,-0.1667418
33,-0.110828996,-0.10900907,"('wrong', 'right')",-0.110829,-0.1090091,0.0018199
34,1.2576222,1.3857895,"('mean', 'honorable')",1.2576222,1.3857895,0.1281673
35,-0.28978848,-0.2046111,"('corrupt', 'incorrupt')",-0.2897885,-0.2046111,0.0851774
36,-0.87551767,-0.75786334,"('hostile', 'amicable')",-0.8755177,-0.7578633,0.1176544
37,-0.52908564,-0.47659966,"('fake', 'genuine')",-0.5290856,-0.4765997,0.0524859
38,-0.072325304,-0.011529131,"('untruthful', 'truthful')",-0.0723253,-0.0115291,0.0607962
39,0.69445944,0.5820296,"('exploitative', 'cooperative')",0.6944594,0.5820296,-0.1124298
40,-1.9086076,-2.0175397,"('stingy', 'generous')",-1.9086076,-2.0175397,-0.1089321
41,-0.22569466,-0.25557745,"('unforgiving', 'forgiving')",-0.2256947,-0.2555774,-0.0298827
42,-1.1117282,-1.1228433,"('unreliable', 'reliable')",-1.1117282,-1.1228433,-0.0111151
43,-0.1585806,-0.25314072,"('irresponsible', 'responsible')",-0.1585806,-0.2531407,-0.0945601
44,0.12622927,0.07833836,"('prejudiced', 'unprejudiced')",0.1262293,0.0783384,-0.0478909
45,-0.51096827,-0.5595141,"('incompetent', 'competent')",-0.5109683,-0.5595141,-0.0485458
46,-0.9781892,-1.0315993,"('uncompetitive', 'competitive')",-0.9781892,-1.0315993,-0.0534101
47,1.2265803,1.2236477,"('stupid', 'smart')",1.2265803,1.2236477,-0.0029326
48,-0.15691373,-0.25588536,"('unintelligent', 'intelligent')",-0.1569137,-0.2558854,-0.0989717
49,-0.17732301,0.043841757,"('unable', 'able')",-0.177323,0.0438418,0.2211648
50,-0.55831254,-0.47743586,"('clumsy', 'skillful')",-0.5583125,-0.4774359,0.0808766
51,-0.6428061,-0.7491892,"('uneducated', 'educated')",-0.6428061,-0.7491892,-0.1063831
52,-0.5981546,-0.60753214,"('irrational', 'rational')",-0.5981546,-0.6075321,-0.0093775
53,-1.3594911,-1.3492243,"('uncreative', 'creative')",-1.3594911,-1.3492243,0.0102668
54,-0.40215126,-0.29196462,"('incapable', 'capable')",-0.4021513,-0.2919646,0.1101867
55,0.2828247,0.16435418,"('incompetent', 'clever')",0.2828247,0.1643542,-0.1184705
56,0.9558532,0.7682027,"('impractical', 'practical')",0.9558532,0.7682027,-0.1876505
57,-1.9472091,-2.004233,"('unimaginative', 'imaginative')",-1.9472091,-2.0042329,-0.0570238
58,-1.2703764,-1.202956,"('undiscriminating', 'discriminating')",-1.2703764,-1.202956,0.0674204
59,-0.47518057,-0.38261086,"('foolish', 'wise')",-0.4751806,-0.3826109,0.0925697
60,0.68077946,0.54210085,"('inefficient', 'efficient')",0.6807795,0.5421008,-0.1386787
61,-0.57749856,-0.7436512,"('illogical', 'logical')",-0.5774986,-0.7436512,-0.1661526
62,0.5195183,0.54726505,"('incompetent', 'brilliant')",0.5195183,0.5472651,0.0277468
63,-0.5017264,-0.45396948,"('unperceptive', 'insightful')",-0.5017264,-0.4539695,0.0477569
64,-2.118645,-2.2839098,"('shy', 'confident')",-2.118645,-2.2839098,-0.1652648
65,-0.5852941,-0.858269,"('insecure', 'secure')",-0.5852941,-0.858269,-0.2729749
66,-1.58236,-1.5655631,"('inactive', 'active')",-1.58236,-1.5655631,0.0167969
67,-0.0018862933,-0.04956989,"('doubtful', 'determined')",-0.0018863,-0.0495699,-0.0476836
68,-0.7984806,-0.75555116,"('dependent', 'independent')",-0.7984806,-0.7555512,0.0429294
69,-0.87920773,-0.833879,"('lazy', 'industrious')",-0.8792077,-0.833879,0.0453287
70,-0.5756037,-0.5995558,"('lethargic', 'energetic')",-0.5756037,-0.5995558,-0.0239521
71,0.13811271,0.13866222,"('diffident', 'self-confident')",0.1381127,0.1386622,0.0005495
72,-0.38421822,-0.33658004,"('unambitious', 'ambitious')",-0.3842182,-0.33658,0.0476382
73,-0.8547287,-0.8022568,"('helpless', 'self-reliant')",-0.8547287,-0.8022568,0.0524719
74,-0.55505943,-0.5639107,"('undedicated', 'dedicated')",-0.5550594,-0.5639107,-0.0088513
75,-0.007120069,0.15609023,"('meek', 'impulsive')",-0.0071201,0.1560902,0.1632103
76,-0.31373516,-0.35139933,"('anxious', 'daring')",-0.3137352,-0.3513993,-0.0376641
77,-0.79880637,-0.83355427,"('unmotivated', 'motivated')",-0.7988064,-0.8335543,-0.0347479
78,-0.61445117,-0.5496796,"('nonresilient', 'resilient')",-0.6144512,-0.5496796,0.0647716
79,-0.9160917,-0.75195205,"('wavering', 'unwavering')",-0.9160917,-0.7519521,0.1641396
