,gallagher_male,gallagher_female,tuple,arthur_male,arthur_female,j_male,j_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,2.6601934,2.1511045,"('unsociable', 'sociable')",2.219982,1.8061514,1.2933555,0.90277797,0.66446805,0.43512565,0.69211024,0.32895696,1.5060219,1.1248234,-0.3811985
1,-0.8094725,-0.77687126,"('unfriendly', 'friendly')",-2.4543242,-2.4895506,-1.2206248,-1.3826416,0.11169696,0.10083377,0.9528555,0.54090136,-0.6839738,-0.8014656,-0.1174918
2,1.0534166,1.0919281,"('unlikable', 'likable')",1.2362486,1.0259916,1.4879216,1.3721107,1.3026109,1.2456256,1.2288961,1.265073,1.2618188,1.2001457,-0.0616731
3,0.8026529,0.83839804,"('repellent', 'pleasant')",0.81963587,0.98384714,0.62243164,0.6421638,-0.5563373,-0.56446296,1.144811,1.124734,0.5666389,0.604936,0.0382971
4,-2.3391821,-2.1558323,"('disliked', 'liked')",-1.7105197,-1.7834929,0.02761332,-0.09443211,0.30850506,0.2337397,-4.8017077,-4.4115386,-1.7030582,-1.6423113,0.0607469
5,-2.2238734,-1.8841835,"('distant', 'outgoing')",-3.4925215,-3.2495227,-0.3894941,-0.3592247,0.6443629,0.75287354,0.07805681,0.18635216,-1.0766938,-0.910741,0.1659528
6,-2.5991676,-2.2169766,"('distant', 'open')",-3.3879223,-3.0822947,-0.358956,-0.22151718,0.84794664,0.92923737,-0.22426777,-0.2570778,-1.1444735,-0.9697258,0.1747477
7,2.9398282,2.774333,"('insensitive', 'sensitive')",2.489937,2.3662353,0.41961855,0.38937762,-0.43258482,-0.5236648,-0.23927647,-0.44340894,1.0355045,0.9125744,-0.1229301
8,-1.3721117,-1.3563308,"('unaffectionate', 'affectionate')",-1.3642422,-1.5367366,-0.16322348,-0.31688365,0.30012527,0.27729774,0.7388428,0.38838887,-0.3721219,-0.5088529,-0.136731
9,0.47018468,0.5329823,"('unaffectionate', 'caring')",-0.6417574,-0.7718789,0.3691005,0.20811701,0.5836872,0.4230948,1.4903901,1.1021627,0.454321,0.2988956,-0.1554254
10,3.173697,2.8486438,"('unsympathetic', 'sympathetic')",3.5698693,3.113356,0.49844992,0.27322358,-0.19982842,-0.47246832,0.42778867,0.020162128,1.4939953,1.1565834,-0.3374119
11,1.945976,1.721592,"('unhelpful', 'helpful')",1.4288149,1.2125626,0.7053866,0.39347723,-0.92047787,-1.2251726,2.1619072,1.8096575,1.0643213,0.7824233,-0.281898
12,2.0168169,2.1232965,"('unsupportive', 'supportive')",1.6520029,1.621294,1.256924,1.2449199,0.52167773,0.46584317,-1.3068762,-1.2961959,0.8281092,0.8318316,0.0037224
13,2.2282243,1.97903,"('impolite', 'polite')",3.230897,3.0697477,1.5504208,1.3371651,-0.014049556,-0.021000307,0.04756645,-0.038774803,1.4086118,1.2652334,-0.1433784
