,tyson_male,tyson_female,tuple,foods_male,foods_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4358775,-0.56806695,"('unsociable', 'sociable')",0.32077268,0.2048783,-0.6859505,-0.8655106,-0.2670184,-0.4095664,-0.142548
1,1.4355702,1.4047253,"('unfriendly', 'friendly')",0.48262697,0.46983272,2.0949972,2.052425,1.3377314,1.3089943,-0.0287371
2,0.3404466,0.37302333,"('unlikable', 'likable')",0.41973186,0.3593739,0.40673226,0.47911602,0.3889702,0.4038378,0.0148676
3,-1.9571089,-1.8670439,"('repellent', 'pleasant')",-1.7524679,-1.6354842,-0.21830969,-0.14254297,-1.3092954,-1.2150238,0.0942716
4,-0.16693033,-0.21045212,"('disliked', 'liked')",0.05212161,0.07049238,-6.1549435,-6.121802,-2.0899173,-2.0872539,0.0026634
5,0.6123288,0.5736454,"('distant', 'outgoing')",0.01242362,0.03726869,0.12497465,0.1999031,0.249909,0.2702724,0.0203634
6,0.48753607,0.49398088,"('distant', 'open')",0.18387003,0.18502264,0.75017756,0.81332225,0.4738612,0.4974419,0.0235807
7,-0.101166345,-0.06637048,"('insensitive', 'sensitive')",-0.2600855,-0.139262,0.70588076,0.735478,0.1148763,0.1766152,0.0617389
8,1.2344738,1.1914604,"('unaffectionate', 'affectionate')",0.52934545,0.5150195,1.1092757,1.0789348,0.9576983,0.9284716,-0.0292267
9,1.3971456,1.3512405,"('unaffectionate', 'caring')",0.5763342,0.53486013,1.2342696,1.2170213,1.0692498,1.034374,-0.0348758
10,-0.11539972,-0.1299989,"('unsympathetic', 'sympathetic')",-0.5139066,-0.5320529,-0.5621849,-0.61426175,-0.3971637,-0.4254378,-0.0282741
11,-1.6432034,-1.6344911,"('unhelpful', 'helpful')",-0.4814969,-0.44724613,1.4472775,1.5198877,-0.2258076,-0.1872832,0.0385244
12,0.97848403,0.9863512,"('unsupportive', 'supportive')",0.6336494,0.71240044,-1.684289,-1.6713696,-0.0240518,0.0091274,0.0331792
13,-0.69850713,-0.7586044,"('impolite', 'polite')",0.32434514,0.25002512,-0.51521397,-0.61516404,-0.2964586,-0.3745811,-0.0781225
14,-0.6712483,-0.66812956,"('antisocial', 'social')",-0.14567211,-0.14796886,-1.0051464,-1.0398629,-0.6073556,-0.6186538,-0.0112982
