,schein_male,schein_female,tuple,henry_male,henry_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0425687,-1.1599813,"('unsociable', 'sociable')",1.3129289,1.1847746,0.006521128,-0.08827457,0.0922938,-0.0211604,-0.1134542
1,-1.2068979,-1.4121855,"('unfriendly', 'friendly')",-2.1858091,-2.2172914,1.4107232,1.2079241,-0.6606612,-0.8071843,-0.1465231
2,0.3726894,0.4642458,"('unlikable', 'likable')",0.3388851,0.3905884,0.5036564,0.55848616,0.405077,0.4711068,0.0660298
3,-0.53008264,-0.47090966,"('repellent', 'pleasant')",0.3503733,0.39839596,0.18441992,0.22685319,0.0015702,0.0514465,0.0498763
4,0.042693228,-0.05157643,"('disliked', 'liked')",-2.3592463,-2.423965,-6.123531,-6.217629,-2.8133615,-2.8977235,-0.084362
5,-0.5124946,-0.56131977,"('distant', 'outgoing')",-2.5620952,-2.460758,-0.5188088,-0.57326716,-1.1977995,-1.1984483,-0.0006488
6,-0.47443554,-0.50031817,"('distant', 'open')",-2.995802,-2.843024,-0.23265086,-0.29425403,-1.2342961,-1.2125321,0.021764
7,-0.7912889,-0.8007689,"('insensitive', 'sensitive')",1.4868903,1.466193,0.36347684,0.38285792,0.3530261,0.3494273,-0.0035988
8,-0.32521594,-0.44711453,"('unaffectionate', 'affectionate')",-1.7509005,-1.7376912,0.5356591,0.3911562,-0.5134858,-0.5978831,-0.0843973
9,-0.43519294,-0.5848907,"('unaffectionate', 'caring')",-0.9377011,-0.9404886,0.68012464,0.5520783,-0.2309231,-0.3244337,-0.0935106
10,-1.3334231,-1.379424,"('unsympathetic', 'sympathetic')",1.42326,1.3258877,-0.47547954,-0.5067598,-0.1285476,-0.1867654,-0.0582178
11,-1.0656576,-1.1133927,"('unhelpful', 'helpful')",1.4111613,1.3872823,1.5182518,1.5495958,0.6212518,0.6078285,-0.0134233
12,-0.8509,-0.8484868,"('unsupportive', 'supportive')",0.4814791,0.481516,-1.7634728,-1.7127305,-0.7109645,-0.6932338,0.0177307
13,-0.75944835,-0.7387607,"('impolite', 'polite')",2.733908,2.7288756,-0.111612774,-0.06252183,0.620949,0.642531,0.021582
14,-0.24795151,-0.3101643,"('antisocial', 'social')",2.0230124,1.8884424,-0.30483758,-0.30519673,0.4900744,0.4243604,-0.065714
15,0.69396424,0.6653248,"('boring', 'funny')",-0.029756442,-0.049414195,0.42917725,0.38463226,0.3644617,0.3335143,-0.0309474
16,-0.3150024,-0.390889,"('unpopular', 'popular')",-2.3551874,-2.347282,0.42505193,0.36772853,-0.7483793,-0.7901475,-0.0417682
17,-1.2233131,-1.1091793,"('nasty', 'nice')",-1.0239075,-0.998228,-0.6340036,-0.6100934,-0.9604081,-0.9058336,0.0545745
18,-0.77661026,-0.7537281,"('disagreeable', 'welcoming')",-0.99642116,-0.9919084,-0.7967635,-0.8687863,-0.8565983,-0.8714743,-0.014876
