,secretary_male,secretary_female,tuple,average_male,average_female,female-male
0,0.8243092,0.7307001,"('unsociable', 'sociable')",0.8243092,0.7307001,-0.0936091
1,0.9235936,0.83583367,"('unfriendly', 'friendly')",0.9235936,0.8358337,-0.0877599
2,0.1397508,0.21417141,"('unlikable', 'likable')",0.1397508,0.2141714,0.0744206
3,0.21911637,0.3204315,"('repellent', 'pleasant')",0.2191164,0.3204315,0.1013151
4,-6.398368,-6.5166125,"('disliked', 'liked')",-6.3983679,-6.5166125,-0.1182446
5,-1.2891545,-1.2955861,"('distant', 'outgoing')",-1.2891545,-1.2955861,-0.0064316
6,-0.6421254,-0.6490041,"('distant', 'open')",-0.6421254,-0.6490041,-0.0068787
7,1.7766359,1.7602023,"('insensitive', 'sensitive')",1.7766359,1.7602023,-0.0164336
8,1.0326461,0.929977,"('unaffectionate', 'affectionate')",1.0326461,0.929977,-0.1026691
9,1.3370348,1.2796158,"('unaffectionate', 'caring')",1.3370348,1.2796158,-0.057419
10,0.91988444,0.9223283,"('unsympathetic', 'sympathetic')",0.9198844,0.9223283,0.0024439
11,2.4438968,2.4465604,"('unhelpful', 'helpful')",2.4438968,2.4465604,0.0026636
12,-0.74364686,-0.80369335,"('unsupportive', 'supportive')",-0.7436469,-0.8036934,-0.0600465
13,0.26723528,0.26097548,"('impolite', 'polite')",0.2672353,0.2609755,-0.0062598
14,0.6486176,0.6183497,"('antisocial', 'social')",0.6486176,0.6183497,-0.0302679
15,-0.049446948,-0.15575041,"('boring', 'funny')",-0.0494469,-0.1557504,-0.1063035
16,-0.46452385,-0.40635204,"('unpopular', 'popular')",-0.4645239,-0.406352,0.0581719
17,0.021825273,0.077030666,"('nasty', 'nice')",0.0218253,0.0770307,0.0552054
18,-0.82125574,-0.8529152,"('disagreeable', 'welcoming')",-0.8212557,-0.8529152,-0.0316595
19,-0.81121796,-0.7569462,"('inhospitable', 'hospitable')",-0.811218,-0.7569462,0.0542718
20,0.7964286,0.81463605,"('rough', 'thoughtful')",0.7964286,0.8146361,0.0182075
21,-0.061233826,-0.020236447,"('immoral', 'moral')",-0.0612338,-0.0202364,0.0409974
22,0.47983918,0.43621904,"('untrustworthy', 'trustworthy')",0.4798392,0.436219,-0.0436202
23,6.3382144,6.3560996,"('insincere', 'sincere')",6.3382144,6.3560996,0.0178852
24,1.3370523,1.2768251,"('dishonest', 'honest')",1.3370523,1.2768251,-0.0602272
25,0.62036455,0.5289256,"('egoistic', 'altruistic')",0.6203645,0.5289256,-0.0914389
26,2.123343,1.997108,"('hardhearted', 'benevolent')",2.123343,1.997108,-0.126235
27,1.1740248,0.96423966,"('hardhearted', 'softhearted')",1.1740248,0.9642397,-0.2097851
28,1.46945,1.4134412,"('disloyal', 'loyal')",1.46945,1.4134412,-0.0560088
29,-0.84321815,-0.9311633,"('unfair', 'fair')",-0.8432181,-0.9311633,-0.0879452
30,0.9698416,0.9597032,"('intolerant', 'tolerant')",0.9698416,0.9597032,-0.0101384
