,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,female-male
42,-1.3296096,-1.2675952,"('unreliable', 'reliable')",-0.5404778,-0.42568624,-3.2225184,-3.0750487,-1.6975352,-1.5894434,0.1080918
43,-1.8301268,-1.75601,"('irresponsible', 'responsible')",-0.79401594,-0.72983927,-0.09633174,0.015442174,-0.9068248,-0.8234691,0.0833557
44,-1.6371607,-1.5764537,"('prejudiced', 'unprejudiced')",-1.4138457,-1.3207486,-1.9548385,-1.8428415,-1.668615,-1.5800145,0.0886005
45,-1.3708673,-1.4055585,"('incompetent', 'competent')",-0.32782555,-0.34908015,-0.14796652,-0.27806172,-0.6155531,-0.6775668,-0.0620137
46,-1.6410497,-1.5885912,"('uncompetitive', 'competitive')",-0.5352593,-0.5544397,-0.8997306,-0.98923904,-1.0253466,-1.04409,-0.0187434
47,-0.7986778,-0.72353417,"('stupid', 'smart')",0.27904385,0.27226067,4.929276,4.96396,1.4698807,1.5042289,0.0343482
48,-0.3757341,-0.3909431,"('unintelligent', 'intelligent')",0.43312946,0.36086792,-0.58001846,-0.5896531,-0.1742077,-0.2065761,-0.0323684
49,-0.29853117,-0.27733633,"('unable', 'able')",-0.83942235,-0.7959676,-0.6354787,-0.5820277,-0.5911441,-0.5517772,0.0393669
50,-0.005902596,-0.025595581,"('clumsy', 'skillful')",-0.89143896,-0.96046007,0.1416265,0.060635887,-0.251905,-0.3084733,-0.0565683
51,-0.9555253,-1.0117308,"('uneducated', 'educated')",-0.346291,-0.43746677,0.3530388,0.228944,-0.3162591,-0.4067512,-0.0904921
52,1.3198876,1.1671673,"('irrational', 'rational')",-0.011891257,-0.13133422,0.23485819,0.11112621,0.5142848,0.3823198,-0.131965
53,1.3358692,1.2677132,"('uncreative', 'creative')",0.75333816,0.62150365,0.9148399,0.7680329,1.0013491,0.88575,-0.1155991
54,0.642452,0.59922,"('incapable', 'capable')",-0.035840534,-0.13671821,1.1989595,1.0809433,0.601857,0.5144817,-0.0873753
55,-1.9583172,-1.8856606,"('incompetent', 'clever')",-0.37163207,-0.3954825,-0.3589195,-0.4069129,-0.8962895,-0.8960187,0.0002708
56,-1.3348782,-1.3574035,"('impractical', 'practical')",0.58772695,0.5862192,-0.98788327,-0.9730557,-0.5783448,-0.5814133,-0.0030685
57,-0.1454432,-0.185173,"('unimaginative', 'imaginative')",0.051366933,-0.023615591,-2.668342,-2.750097,-0.9208061,-0.9862952,-0.0654891
58,0.50860983,0.5721491,"('undiscriminating', 'discriminating')",0.827956,0.8466528,0.5841036,0.5940673,0.6402231,0.6709564,0.0307333
59,1.2300662,1.2242254,"('foolish', 'wise')",0.03687017,0.0065080486,0.12473954,0.18154588,0.4638919,0.4707597,0.0068678
60,-2.101739,-1.9579734,"('inefficient', 'efficient')",-0.15310207,-0.049595714,-1.2005185,-0.9918826,-1.1517865,-0.9998172,0.1519693
61,-0.066539764,-0.16849305,"('illogical', 'logical')",-0.34911525,-0.42731738,-0.013285372,-0.24973309,-0.1429801,-0.2818478,-0.1388677
62,-1.5359044,-1.4062376,"('incompetent', 'brilliant')",-0.052280214,0.033927668,-0.6517431,-0.50835717,-0.7466426,-0.626889,0.1197536
63,-1.2557002,-1.328492,"('unperceptive', 'insightful')",0.18853351,0.12520078,0.4964339,0.5239242,-0.1902443,-0.2264557,-0.0362114
