,mid_male,mid_female,tuple,america_male,america_female,apt_male,apt_female,communities_male,communities_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.806136,-1.9031587,"('unsociable', 'sociable')",-0.99100375,-1.0301347,-0.12499946,-0.15459478,1.1568414,0.97656035,-0.39399806,-0.48627135,-0.4318592,-0.5195199,-0.0876607
1,-0.6809531,-0.6004992,"('unfriendly', 'friendly')",-1.7536122,-1.8952647,-0.35168734,-0.24761218,-0.052736863,-0.14038461,1.8945341,1.7637514,-0.1888911,-0.2240019,-0.0351108
2,1.3773453,1.4523375,"('unlikable', 'likable')",0.6588219,0.6471405,0.81175613,0.9036686,0.54624003,0.6488943,0.8235809,0.89862263,0.8435489,0.9101327,0.0665838
3,0.24249862,0.31225622,"('repellent', 'pleasant')",0.40525177,0.53003895,0.36730254,0.4488425,0.7373264,0.8706265,0.51168233,0.5789412,0.4528123,0.5481411,0.0953288
4,0.32324415,0.39565164,"('disliked', 'liked')",-0.078852564,-0.101246595,-1.5968575,-1.507369,-0.8429582,-0.80037093,-6.404233,-6.506274,-1.7199314,-1.7039219,0.0160095
5,0.72819996,0.8863096,"('distant', 'outgoing')",-1.1879832,-1.2212064,-1.1160358,-0.98543334,-0.078738905,-0.03008639,0.22592261,0.21702488,-0.2857271,-0.2266783,0.0590488
6,1.0428208,1.2214187,"('distant', 'open')",-0.82128686,-0.7845347,-0.5745176,-0.4084552,-0.75335205,-0.7016993,0.8388777,0.82142,-0.0534916,0.0296299,0.0831215
7,0.04877162,0.123018995,"('insensitive', 'sensitive')",-0.3994487,-0.32716197,1.8612574,1.8445612,1.8550525,2.025336,0.93524474,0.9542145,0.8601755,0.9239938,0.0638183
8,-0.20390299,-0.10424548,"('unaffectionate', 'affectionate')",-1.056059,-1.1047271,-0.77537644,-0.6788126,-1.1647258,-1.1420467,0.7281931,0.6479444,-0.4943742,-0.4763775,0.0179967
9,0.37776366,0.5134833,"('unaffectionate', 'caring')",-0.98348045,-1.0253637,1.0400875,1.1467755,0.76747346,0.85267687,1.4180881,1.4158138,0.5239864,0.5806771,0.0566907
10,-1.2087822,-1.1120106,"('unsympathetic', 'sympathetic')",-0.06845925,0.0764796,1.8010982,1.8361088,1.0696485,1.103482,-0.025891768,0.007231567,0.3135227,0.3822583,0.0687356
11,-0.14698826,-0.060576707,"('unhelpful', 'helpful')",-0.07868896,-0.024926063,1.6577355,1.6741037,2.2183418,2.3213756,2.1690986,2.2943492,1.1638998,1.2408651,0.0769653
12,0.9676625,1.1765305,"('unsupportive', 'supportive')",0.6212988,0.6898727,2.0134268,2.2357543,2.2343047,2.5113769,-1.3432928,-1.3279117,0.89868,1.0571245,0.1584445
13,-0.05144144,-0.10349068,"('impolite', 'polite')",0.29606646,0.29943246,1.387814,1.3319933,1.9501761,1.897914,-0.17875803,-0.22961663,0.6807714,0.6392465,-0.0415249
14,-1.314857,-1.4325981,"('antisocial', 'social')",-0.16941918,-0.18599617,-0.022958733,-0.1347435,1.6845641,1.6527634,-0.8471895,-0.8170286,-0.1339721,-0.1835206,-0.0495485
15,-0.70233744,-0.770717,"('boring', 'funny')",0.052543916,0.0076973066,0.92860955,0.8940584,0.680894,0.6510727,0.41461584,0.45329425,0.2748652,0.2470811,-0.0277841
16,-0.3177828,-0.40918067,"('unpopular', 'popular')",-0.92075086,-0.9830293,-1.4839774,-1.4185175,-0.84817755,-0.788215,0.23101647,0.23392363,-0.6679345,-0.6730038,-0.0050693
17,0.6045097,0.7072272,"('nasty', 'nice')",-0.38104582,-0.28134665,0.5580518,0.6567113,0.8306588,0.9561226,-0.11330906,-0.0033440832,0.2997731,0.4070741,0.107301
