,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,female-male
0,1.2190958,1.050799,"('unsociable', 'sociable')",0.49161276,0.23117577,1.2948743,1.1486706,0.32384655,0.078938164,0.6221836,0.45905066,0.7903226,0.5937269,-0.1965957
1,-1.9479228,-1.9532245,"('unfriendly', 'friendly')",0.42025563,0.40911594,-0.12781312,-0.060183734,-0.73819345,-0.70972794,0.9776053,1.0062857,-0.2832137,-0.2615469,0.0216668
2,0.30779296,0.37824097,"('unlikable', 'likable')",2.2701323,2.3714957,2.0796032,2.1007435,1.6058342,1.6825131,1.248952,1.3555402,1.502463,1.5777067,0.0752437
3,0.21616808,0.36674073,"('repellent', 'pleasant')",0.41233787,0.44068322,0.87513965,0.8701635,0.054637637,0.036715854,0.72666097,0.76128983,0.4569889,0.4951186,0.0381297
4,-1.3371929,-1.2934849,"('disliked', 'liked')",-0.019058704,0.056818753,-0.4531199,-0.3857696,-0.25007424,-0.15638895,-6.5510015,-6.518095,-1.7220894,-1.659384,0.0627054
5,-1.0214758,-1.026551,"('distant', 'outgoing')",0.03913605,0.17624654,-1.3365712,-1.0730965,-0.74610126,-0.515535,-1.0812721,-0.96456236,-0.8292569,-0.6806997,0.1485572
6,-1.2734206,-1.2387038,"('distant', 'open')",0.038730495,0.2270667,-1.6489737,-1.349557,-0.8491165,-0.5925675,-1.0452842,-0.90767086,-0.9556129,-0.7722865,0.1833264
7,1.2342356,1.2451473,"('insensitive', 'sensitive')",1.7762288,1.71748,1.7286285,1.6647172,1.2029182,1.1413016,0.44384366,0.5230075,1.2771709,1.2583307,-0.0188402
8,-0.9246719,-0.9247165,"('unaffectionate', 'affectionate')",-0.044224642,-0.0321327,-1.1643617,-1.0653179,-0.12052442,-0.04589572,-0.0024274513,0.012528285,-0.451242,-0.4111069,0.0401351
9,0.03533818,0.067558944,"('unaffectionate', 'caring')",1.4366331,1.4405694,-0.13572943,-0.046232708,-0.13222027,-0.08580297,0.850142,0.8928656,0.4108327,0.4537917,0.042959
10,1.0134711,1.062308,"('unsympathetic', 'sympathetic')",0.7980666,0.69890153,1.1280997,0.9728842,0.2292131,0.089017384,0.37358055,0.34022227,0.7084862,0.6326667,-0.0758195
