,general_male,general_female,tuple,motors_male,motors_female,co_male,co_female,average_male,average_female,female-male
0,-1.1463662,-1.1284597,"('unsociable', 'sociable')",-0.5319523,-0.5397615,-0.32790738,-0.45535892,-0.6687419,-0.7078601,-0.0391182
1,0.5200558,0.40896302,"('unfriendly', 'friendly')",1.5420344,1.3488469,2.0931537,1.9658107,1.3850813,1.2412068,-0.1438745
2,0.2678654,0.41201556,"('unlikable', 'likable')",0.5756514,0.6491776,0.38267222,0.5549727,0.4087297,0.538722,0.1299923
3,-1.0926131,-1.0349541,"('repellent', 'pleasant')",-0.86887646,-0.8737362,0.48049396,0.51781785,-0.4936652,-0.4636241,0.0300411
4,-0.58446854,-0.82926625,"('disliked', 'liked')",0.6741388,0.443652,-7.342994,-7.433187,-2.4177747,-2.6062671,-0.1884924
5,-0.11972797,-0.18807651,"('distant', 'outgoing')",1.3939866,1.2781324,-0.009668425,0.013704177,0.42153,0.36792,-0.05361
6,-0.45220572,-0.46602225,"('distant', 'open')",0.79267097,0.6951035,0.34958732,0.3732323,0.2300175,0.2007712,-0.0292463
7,-0.084867835,-0.06254541,"('insensitive', 'sensitive')",-0.9159743,-0.85123634,0.31098717,0.33253187,-0.2299516,-0.19375,0.0362016
8,0.56431097,0.63269246,"('unaffectionate', 'affectionate')",0.9612952,1.0086854,1.1276298,1.0223619,0.884412,0.8879132,0.0035012
9,0.841171,0.73444444,"('unaffectionate', 'caring')",1.0123571,1.0123801,1.3850806,1.2790605,1.0795363,1.0086284,-0.0709079
10,-0.83711797,-0.82674116,"('unsympathetic', 'sympathetic')",-1.5197713,-1.4169338,-0.38665473,-0.3688037,-0.9145147,-0.8708262,0.0436885
11,0.3204395,0.31470734,"('unhelpful', 'helpful')",-0.2773785,-0.23486732,1.7597102,1.8595874,0.6009237,0.6464758,0.0455521
12,0.32584637,0.45179495,"('unsupportive', 'supportive')",-0.11510466,0.016932871,-2.2146401,-2.1853251,-0.6679661,-0.5721991,0.095767
13,-0.44719875,-0.35452002,"('impolite', 'polite')",-0.82346284,-0.72181106,-0.48371983,-0.40759516,-0.5847938,-0.4946421,0.0901517
14,-0.40422863,-0.5398846,"('antisocial', 'social')",-0.2626137,-0.38857707,0.053865105,-0.024173278,-0.2043258,-0.317545,-0.1132192
15,0.45553333,0.32211182,"('boring', 'funny')",1.113164,0.8784727,0.66559374,0.6770434,0.7447637,0.6258759,-0.1188878
16,-0.22138537,-0.15772854,"('unpopular', 'popular')",-0.3479817,-0.27610588,0.30950457,0.3560486,-0.0866208,-0.0259286,0.0606922
17,-0.50639284,-0.455638,"('nasty', 'nice')",-0.21767586,-0.24458812,-0.12536192,-0.07246694,-0.2831435,-0.2575643,0.0255792
