,ketch_male,ketch_female,tuple,average_male,average_female,female-male
0,-0.2654626,-0.5996862,"('unsociable', 'sociable')",-0.2654626,-0.5996862,-0.3342236
1,-0.39086813,-0.5715877,"('unfriendly', 'friendly')",-0.3908681,-0.5715877,-0.1807196
2,0.7343366,0.6546737,"('unlikable', 'likable')",0.7343366,0.6546737,-0.0796629
3,-0.7456021,-0.6344397,"('repellent', 'pleasant')",-0.7456021,-0.6344397,0.1111624
4,-1.6454531,-1.753994,"('disliked', 'liked')",-1.6454531,-1.753994,-0.1085409
5,-0.5398511,-0.60473835,"('distant', 'outgoing')",-0.5398511,-0.6047384,-0.0648873
6,-0.82831115,-0.8775736,"('distant', 'open')",-0.8283111,-0.8775736,-0.0492625
7,-0.16552769,-0.11371405,"('insensitive', 'sensitive')",-0.1655277,-0.113714,0.0518137
8,-0.106617466,-0.43039435,"('unaffectionate', 'affectionate')",-0.1066175,-0.4303944,-0.3237769
9,-0.4080995,-0.6682905,"('unaffectionate', 'caring')",-0.4080995,-0.6682905,-0.260191
10,-0.5090038,-0.8532627,"('unsympathetic', 'sympathetic')",-0.5090038,-0.8532627,-0.3442589
11,0.26835117,0.34998688,"('unhelpful', 'helpful')",0.2683512,0.3499869,0.0816357
12,-0.62739235,-0.66396564,"('unsupportive', 'supportive')",-0.6273924,-0.6639656,-0.0365732
13,-0.44287872,-0.57004726,"('impolite', 'polite')",-0.4428787,-0.5700473,-0.1271686
14,0.6409352,0.33267945,"('antisocial', 'social')",0.6409352,0.3326795,-0.3082557
15,1.1800439,0.8876906,"('boring', 'funny')",1.1800439,0.8876906,-0.2923533
16,-0.75951177,-0.6077667,"('unpopular', 'popular')",-0.7595118,-0.6077667,0.1517451
17,0.019618679,-0.03468528,"('nasty', 'nice')",0.0196187,-0.0346853,-0.054304
18,0.011979127,0.1044834,"('disagreeable', 'welcoming')",0.0119791,0.1044834,0.0925043
19,-1.4609256,-1.5231307,"('inhospitable', 'hospitable')",-1.4609256,-1.5231307,-0.0622051
20,-0.23635124,-0.11329535,"('rough', 'thoughtful')",-0.2363512,-0.1132953,0.1230559
21,-0.51130164,-0.41540948,"('immoral', 'moral')",-0.5113016,-0.4154095,0.0958921
22,0.24718122,0.28070408,"('untrustworthy', 'trustworthy')",0.2471812,0.2807041,0.0335229
23,1.4214642,1.6230494,"('insincere', 'sincere')",1.4214642,1.6230494,0.2015852
24,0.03299641,-0.096290305,"('dishonest', 'honest')",0.0329964,-0.0962903,-0.1292867
