,hybridization_male,hybridization_female,tuple,average_male,average_female,female-male
0,0.29966623,0.20362674,"('unsociable', 'sociable')",0.2996662,0.2036267,-0.0960395
1,0.6528173,0.5475461,"('unfriendly', 'friendly')",0.6528173,0.5475461,-0.1052712
2,0.52470547,0.53041893,"('unlikable', 'likable')",0.5247055,0.5304189,0.0057134
3,-0.31971538,-0.32105818,"('repellent', 'pleasant')",-0.3197154,-0.3210582,-0.0013428
4,-3.003796,-3.0364943,"('disliked', 'liked')",-3.0037961,-3.0364943,-0.0326982
5,-0.42813665,-0.38841215,"('distant', 'outgoing')",-0.4281366,-0.3884121,0.0397245
6,-0.37994996,-0.34677508,"('distant', 'open')",-0.37995,-0.3467751,0.0331749
7,-0.09884235,-0.06491777,"('insensitive', 'sensitive')",-0.0988424,-0.0649178,0.0339246
8,0.14529079,0.09827052,"('unaffectionate', 'affectionate')",0.1452908,0.0982705,-0.0470203
9,0.45015183,0.35409832,"('unaffectionate', 'caring')",0.4501518,0.3540983,-0.0960535
10,-0.020111978,-0.059631005,"('unsympathetic', 'sympathetic')",-0.020112,-0.059631,-0.039519
11,1.6696004,1.5855852,"('unhelpful', 'helpful')",1.6696004,1.5855852,-0.0840152
12,-0.5706188,-0.48483023,"('unsupportive', 'supportive')",-0.5706188,-0.4848302,0.0857886
13,-0.33193445,-0.38800603,"('impolite', 'polite')",-0.3319345,-0.388006,-0.0560715
14,0.25155357,0.31908667,"('antisocial', 'social')",0.2515536,0.3190867,0.0675331
15,0.29358244,0.24873456,"('boring', 'funny')",0.2935824,0.2487346,-0.0448478
16,-0.69590133,-0.8360397,"('unpopular', 'popular')",-0.6959013,-0.8360397,-0.1401384
17,-0.10784595,-0.09687942,"('nasty', 'nice')",-0.1078459,-0.0968794,0.0109665
18,-0.12966478,-0.13204041,"('disagreeable', 'welcoming')",-0.1296648,-0.1320404,-0.0023756
19,-0.710964,-0.78219086,"('inhospitable', 'hospitable')",-0.710964,-0.7821909,-0.0712269
20,1.0503886,0.9928406,"('rough', 'thoughtful')",1.0503886,0.9928406,-0.057548
21,0.4251727,0.44269714,"('immoral', 'moral')",0.4251727,0.4426971,0.0175244
22,-0.45259064,-0.3950221,"('untrustworthy', 'trustworthy')",-0.4525906,-0.3950221,0.0575685
