,oneok_male,oneok_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.5649929,-0.72482693,"('unsociable', 'sociable')",-0.27719033,-0.47262,-0.4210916,-0.5987235,-0.1776319
1,-0.7379273,-0.7789367,"('unfriendly', 'friendly')",1.8167604,1.6643223,0.5394166,0.4426928,-0.0967238
2,0.34023073,0.27187127,"('unlikable', 'likable')",0.58026403,0.60523295,0.4602474,0.4385521,-0.0216953
3,0.07607594,0.110448554,"('repellent', 'pleasant')",0.417594,0.40378734,0.246835,0.257118,0.010283
4,-0.37535232,-0.38430944,"('disliked', 'liked')",-6.3753304,-6.5198836,-3.3753414,-3.4520965,-0.0767551
5,-1.1064924,-0.99186903,"('distant', 'outgoing')",-0.36308643,-0.30504176,-0.7347894,-0.6484554,0.086334
6,-1.3675097,-1.1974173,"('distant', 'open')",0.07559535,0.14555039,-0.6459572,-0.5259334,0.1200238
7,0.49326733,0.5710329,"('insensitive', 'sensitive')",0.5822932,0.6464368,0.5377803,0.6087348,0.0709545
8,-0.27084514,-0.31225246,"('unaffectionate', 'affectionate')",1.0922045,1.0666641,0.4106796,0.3772058,-0.0334738
9,-0.57613033,-0.5037814,"('unaffectionate', 'caring')",1.1408839,1.2414894,0.2823768,0.368854,0.0864772
10,0.25889164,0.24278077,"('unsympathetic', 'sympathetic')",-0.35452735,-0.33184123,-0.0478179,-0.0445302,0.0032877
11,0.675123,0.7104804,"('unhelpful', 'helpful')",2.0911844,2.2299273,1.3831537,1.4702039,0.0870502
12,-0.11678068,0.042261906,"('unsupportive', 'supportive')",-1.8073337,-1.6797051,-0.9620572,-0.8187216,0.1433356
13,0.7787585,0.65734994,"('impolite', 'polite')",-0.46358144,-0.4501659,0.1575885,0.103592,-0.0539965
14,0.9527704,0.8402708,"('antisocial', 'social')",-0.38794997,-0.5445337,0.2824102,0.1478685,-0.1345417
15,0.7952927,0.72686183,"('boring', 'funny')",0.53878933,0.4470129,0.667041,0.5869374,-0.0801036
16,-1.049865,-1.0292714,"('unpopular', 'popular')",0.5017669,0.4415752,-0.274049,-0.2938481,-0.0197991
17,-0.1548075,-0.0908663,"('nasty', 'nice')",-0.35329995,-0.3084124,-0.2540537,-0.1996394,0.0544143
18,0.0489956,0.017831765,"('disagreeable', 'welcoming')",-0.17141466,-0.28862536,-0.0612095,-0.1353968,-0.0741873
19,-1.3179837,-1.1875051,"('inhospitable', 'hospitable')",-0.13703825,-0.0005640341,-0.727511,-0.5940346,0.1334764
20,-0.38567212,-0.38506147,"('rough', 'thoughtful')",1.0957046,1.0554918,0.3550162,0.3352152,-0.019801
21,1.0860811,0.98684436,"('immoral', 'moral')",-0.35675946,-0.35020566,0.3646609,0.3183194,-0.0463415
22,0.48939052,0.42211807,"('untrustworthy', 'trustworthy')",-0.90652776,-0.96270674,-0.2085686,-0.2702943,-0.0617257
23,0.37029615,0.3581218,"('insincere', 'sincere')",5.9466767,6.0364885,3.1584864,3.1973052,0.0388188
