,ice_male,ice_female,tuple,average_male,average_female,female-male
0,0.20890315,0.0106832385,"('unsociable', 'sociable')",0.2089031,0.0106832,-0.1982199
1,1.0949066,1.0365473,"('unfriendly', 'friendly')",1.0949066,1.0365473,-0.0583593
2,0.37911603,0.57925195,"('unlikable', 'likable')",0.379116,0.5792519,0.2001359
3,0.8073828,0.8538087,"('repellent', 'pleasant')",0.8073828,0.8538087,0.0464259
4,-7.671499,-7.653885,"('disliked', 'liked')",-7.6714988,-7.6538849,0.0176139
5,-0.32199937,-0.15700789,"('distant', 'outgoing')",-0.3219994,-0.1570079,0.1649915
6,-0.12522136,0.045423903,"('distant', 'open')",-0.1252214,0.0454239,0.1706453
7,0.8294138,0.79045194,"('insensitive', 'sensitive')",0.8294138,0.7904519,-0.0389619
8,1.1125644,1.157569,"('unaffectionate', 'affectionate')",1.1125644,1.1575691,0.0450047
9,1.9607159,2.0595896,"('unaffectionate', 'caring')",1.9607159,2.0595896,0.0988737
10,1.2916812,1.2523756,"('unsympathetic', 'sympathetic')",1.2916812,1.2523756,-0.0393056
11,2.4259443,2.4010935,"('unhelpful', 'helpful')",2.4259443,2.4010935,-0.0248508
12,-1.366712,-1.4078816,"('unsupportive', 'supportive')",-1.366712,-1.4078816,-0.0411696
13,0.60184443,0.48289716,"('impolite', 'polite')",0.6018444,0.4828972,-0.1189472
14,0.20149378,-0.03281048,"('antisocial', 'social')",0.2014938,-0.0328105,-0.2343043
15,0.6422302,0.5932124,"('boring', 'funny')",0.6422302,0.5932124,-0.0490178
16,0.04356976,0.03674856,"('unpopular', 'popular')",0.0435698,0.0367486,-0.0068212
17,-0.27894208,-0.2568487,"('nasty', 'nice')",-0.2789421,-0.2568487,0.0220934
18,-0.50402206,-0.64025927,"('disagreeable', 'welcoming')",-0.5040221,-0.6402593,-0.1362372
19,-0.755847,-0.5977085,"('inhospitable', 'hospitable')",-0.755847,-0.5977085,0.1581385
20,0.48155278,0.30487,"('rough', 'thoughtful')",0.4815528,0.30487,-0.1766828
21,0.4014822,0.35083973,"('immoral', 'moral')",0.4014822,0.3508397,-0.0506425
22,-0.6070679,-0.63433284,"('untrustworthy', 'trustworthy')",-0.6070679,-0.6343328,-0.0272649
23,6.694144,6.644135,"('insincere', 'sincere')",6.6941438,6.644135,-0.0500088
24,1.8828633,1.8272537,"('dishonest', 'honest')",1.8828633,1.8272537,-0.0556096
25,0.18464166,0.13166389,"('egoistic', 'altruistic')",0.1846417,0.1316639,-0.0529778
26,0.52603835,0.31944397,"('hardhearted', 'benevolent')",0.5260383,0.319444,-0.2065943
27,1.2809267,1.1352754,"('hardhearted', 'softhearted')",1.2809267,1.1352754,-0.1456513
28,1.1235583,1.0047306,"('disloyal', 'loyal')",1.1235583,1.0047306,-0.1188277
29,-0.99624556,-0.97109807,"('unfair', 'fair')",-0.9962456,-0.9710981,0.0251475
30,1.1675802,1.0327184,"('intolerant', 'tolerant')",1.1675802,1.0327184,-0.1348618
31,-2.0798335,-1.9499521,"('evil', 'good')",-2.0798335,-1.9499521,0.1298814
32,1.2869664,1.2025652,"('unkind', 'kind')",1.2869664,1.2025652,-0.0844012
33,-0.451644,-0.37425458,"('wrong', 'right')",-0.451644,-0.3742546,0.0773894
34,5.152437,5.2111974,"('mean', 'honorable')",5.1524372,5.2111974,0.0587602
35,-1.3204862,-1.3622944,"('corrupt', 'incorrupt')",-1.3204862,-1.3622944,-0.0418082
36,-0.834109,-0.8464312,"('hostile', 'amicable')",-0.834109,-0.8464312,-0.0123222
37,0.577732,0.5878813,"('fake', 'genuine')",0.577732,0.5878813,0.0101493
38,-0.057614997,-0.029368907,"('untruthful', 'truthful')",-0.057615,-0.0293689,0.0282461
39,0.269533,0.123986304,"('exploitative', 'cooperative')",0.269533,0.1239863,-0.1455467
40,-2.0559268,-2.1835084,"('stingy', 'generous')",-2.0559268,-2.1835084,-0.1275816
41,0.26037383,0.1362683,"('unforgiving', 'forgiving')",0.2603738,0.1362683,-0.1241055
42,-2.626938,-2.5836782,"('unreliable', 'reliable')",-2.6269381,-2.5836782,0.0432599
43,1.3071283,1.2623812,"('irresponsible', 'responsible')",1.3071283,1.2623812,-0.0447471
44,-1.4945533,-1.4708303,"('prejudiced', 'unprejudiced')",-1.4945533,-1.4708303,0.023723
45,0.26880088,0.22006394,"('incompetent', 'competent')",0.2688009,0.2200639,-0.048737
46,-0.264303,-0.355609,"('uncompetitive', 'competitive')",-0.264303,-0.355609,-0.091306
47,5.7307577,5.8387213,"('stupid', 'smart')",5.7307577,5.8387213,0.1079636
48,1.3431375,1.1349604,"('unintelligent', 'intelligent')",1.3431375,1.1349604,-0.2081771
49,0.6278857,0.66945696,"('unable', 'able')",0.6278857,0.669457,0.0415713
50,-0.062915854,0.0349446,"('clumsy', 'skillful')",-0.0629159,0.0349446,0.0978605
51,0.30204654,0.25498885,"('uneducated', 'educated')",0.3020465,0.2549888,-0.0470577
52,-0.3899172,-0.3878147,"('irrational', 'rational')",-0.3899172,-0.3878147,0.0021025
53,0.13437271,0.16224185,"('uncreative', 'creative')",0.1343727,0.1622418,0.0278691
54,1.1218331,1.3086857,"('incapable', 'capable')",1.1218331,1.3086857,0.1868526
55,0.9232714,0.8165514,"('incompetent', 'clever')",0.9232714,0.8165514,-0.10672
56,0.92502606,0.8719115,"('impractical', 'practical')",0.9250261,0.8719115,-0.0531146
57,-3.0021656,-2.9627764,"('unimaginative', 'imaginative')",-3.0021656,-2.9627764,0.0393892
58,-0.38223052,-0.3762671,"('undiscriminating', 'discriminating')",-0.3822305,-0.3762671,0.0059634
59,0.08499076,0.21097988,"('foolish', 'wise')",0.0849908,0.2109799,0.1259891
60,1.1990166,1.1143126,"('inefficient', 'efficient')",1.1990166,1.1143126,-0.084704
61,0.94944215,0.7002317,"('illogical', 'logical')",0.9494421,0.7002317,-0.2492104
62,1.533998,1.5682372,"('incompetent', 'brilliant')",1.533998,1.5682372,0.0342392
63,0.86274225,0.8397168,"('unperceptive', 'insightful')",0.8627422,0.8397168,-0.0230254
64,-6.5194116,-6.369046,"('shy', 'confident')",-6.5194116,-6.3690462,0.1503654
65,0.56418586,0.51977164,"('insecure', 'secure')",0.5641859,0.5197716,-0.0444143
66,-0.62616956,-0.48292524,"('inactive', 'active')",-0.6261696,-0.4829252,0.1432444
67,-0.31973213,-0.32022136,"('doubtful', 'determined')",-0.3197321,-0.3202214,-0.0004893
68,-0.23533294,-0.2803725,"('dependent', 'independent')",-0.2353329,-0.2803725,-0.0450396
69,-2.0150187,-1.8840925,"('lazy', 'industrious')",-2.0150187,-1.8840925,0.1309262
70,1.3201958,1.3005037,"('lethargic', 'energetic')",1.3201958,1.3005037,-0.0196921
71,0.48679745,0.5142132,"('diffident', 'self-confident')",0.4867975,0.5142132,0.0274157
72,0.65907,0.76190484,"('unambitious', 'ambitious')",0.65907,0.7619048,0.1028348
73,-3.508983,-3.4204466,"('helpless', 'self-reliant')",-3.5089829,-3.4204466,0.0885363
74,-0.054377485,-0.16383043,"('undedicated', 'dedicated')",-0.0543775,-0.1638304,-0.1094529
75,-1.3770728,-1.0995219,"('meek', 'impulsive')",-1.3770728,-1.0995219,0.2775509
76,0.64165986,0.5749051,"('anxious', 'daring')",0.6416599,0.5749051,-0.0667548
77,-0.7483315,-0.77542204,"('unmotivated', 'motivated')",-0.7483315,-0.775422,-0.0270905
78,-0.3209782,-0.3966853,"('nonresilient', 'resilient')",-0.3209782,-0.3966853,-0.0757071
79,-0.4889503,-0.39423662,"('wavering', 'unwavering')",-0.4889503,-0.3942366,0.0947137
80,0.038571954,-0.09106144,"('dominated', 'dominating')",0.038572,-0.0910614,-0.1296334
81,0.46765563,0.4244859,"('submissive', 'aggressive')",0.4676556,0.4244859,-0.0431697
82,7.038753,7.2107935,"('poor', 'rich')",7.038753,7.2107935,0.1720405
83,-0.62248796,-0.63748384,"('powerless', 'powerful')",-0.622488,-0.6374838,-0.0149958
84,0.29044956,0.27916756,"('inferior', 'superior')",0.2904496,0.2791676,-0.011282
85,-0.7959153,-0.89675343,"('insignificant', 'prestigious')",-0.7959153,-0.8967534,-0.1008381
86,0.41828,0.371854,"('uninfluential', 'influential')",0.41828,0.371854,-0.046426
87,0.33087504,0.35477966,"('unsuccessful', 'successful')",0.330875,0.3547797,0.0239047
88,0.39790952,0.3164795,"('low', 'eminent')",0.3979095,0.3164795,-0.08143
