,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,female-male
0,0.8202411,0.75118524,"('unsociable', 'sociable')",1.1904285,1.1387707,-0.29854482,-0.4307872,0.5707083,0.4863896,-0.0843187
1,-0.76753014,-0.7217252,"('unfriendly', 'friendly')",-1.3238549,-1.3608768,1.4908262,1.3531395,-0.2001863,-0.2431542,-0.0429679
2,1.0479573,1.1098448,"('unlikable', 'likable')",1.3720444,1.4668404,0.7839978,0.87403476,1.0679998,1.1502399,0.0822401
3,0.09816452,0.16004549,"('repellent', 'pleasant')",0.26710492,0.48247725,0.873633,0.9176757,0.4129675,0.5200661,0.1070986
4,-0.5192435,-0.46635374,"('disliked', 'liked')",-0.58204746,-0.6147756,-7.5142455,-7.623551,-2.8718456,-2.9015601,-0.0297145
5,-0.93186283,-0.824369,"('distant', 'outgoing')",-1.4037265,-1.404725,-0.44089445,-0.41696602,-0.9254946,-0.88202,0.0434746
6,-1.049997,-0.8943673,"('distant', 'open')",-2.0427294,-1.9808543,-0.38844508,-0.33867857,-1.1603905,-1.0713,0.0890905
7,0.91781163,0.85623443,"('insensitive', 'sensitive')",0.9178388,0.97653204,0.3530663,0.31256783,0.7295722,0.7151114,-0.0144608
8,-0.8936267,-0.884894,"('unaffectionate', 'affectionate')",-0.96394706,-1.0688307,0.6545965,0.64119047,-0.4009924,-0.4375114,-0.036519
9,0.16899613,0.20183346,"('unaffectionate', 'caring')",-0.6848248,-0.6944446,1.2953359,1.3153363,0.2598357,0.2742417,0.014406
10,0.64387083,0.62453836,"('unsympathetic', 'sympathetic')",0.13362956,0.2534009,-0.7424645,-0.7104972,0.0116786,0.055814,0.0441354
11,1.5075569,1.3719071,"('unhelpful', 'helpful')",1.7664678,1.7731286,2.0352738,2.0069551,1.7697662,1.7173303,-0.0524359
12,1.5140623,1.6849307,"('unsupportive', 'supportive')",0.70512927,0.9014442,-2.3938165,-2.4079616,-0.0582083,0.0594711,0.1176794
13,1.1483623,1.0471652,"('impolite', 'polite')",1.3633169,1.3365865,-0.5547248,-0.55058384,0.6523181,0.6110559,-0.0412622
14,1.8962611,1.8831016,"('antisocial', 'social')",2.6503215,2.6843488,0.13290788,0.059121035,1.5598302,1.5421906,-0.0176396
15,-0.14837675,-0.33312944,"('boring', 'funny')",0.6086204,0.40260816,0.4525629,0.3936579,0.3042688,0.1543789,-0.1498899
16,-0.53461593,-0.5816365,"('unpopular', 'popular')",-0.68273073,-0.7344222,0.46635073,0.34780446,-0.250332,-0.3227514,-0.0724194
17,0.08128309,0.13725546,"('nasty', 'nice')",0.38099012,0.46608648,0.100620545,0.08961194,0.1876312,0.2309846,0.0433534
18,0.592924,0.71799505,"('disagreeable', 'welcoming')",0.31930953,0.5053831,-0.66026217,-0.678536,0.0839905,0.1816141,0.0976236
19,-0.8721123,-0.87657946,"('inhospitable', 'hospitable')",-1.0619265,-1.046298,-0.8623334,-0.8104561,-0.9321241,-0.9111112,0.0210129
20,0.23923548,0.25306895,"('rough', 'thoughtful')",0.051060677,0.15665129,0.5441234,0.5558318,0.2781398,0.3218507,0.0437109
21,1.6849288,1.6238974,"('immoral', 'moral')",1.7042187,1.7388636,-0.3313072,-0.30338454,1.0192801,1.0197922,0.0005121
22,0.48255524,0.47108567,"('untrustworthy', 'trustworthy')",0.9310176,0.983185,-1.0383554,-0.9830522,0.1250725,0.1570728,0.0320003
23,1.365311,1.2224691,"('insincere', 'sincere')",1.1488645,1.200714,6.6205153,6.5479302,3.0448971,2.9903711,-0.054526
