,pupil_male,pupil_female,tuple,average_male,average_female,female-male
0,0.8863781,0.80433863,"('unsociable', 'sociable')",0.8863781,0.8043386,-0.0820395
1,1.2387582,1.1971862,"('unfriendly', 'friendly')",1.2387582,1.1971862,-0.041572
2,-0.2768186,-0.25988826,"('unlikable', 'likable')",-0.2768186,-0.2598883,0.0169303
3,0.652734,0.6538818,"('repellent', 'pleasant')",0.652734,0.6538818,0.0011478
4,-7.101965,-7.0986505,"('disliked', 'liked')",-7.101965,-7.0986505,0.0033145
5,-1.030088,-0.9726011,"('distant', 'outgoing')",-1.0300879,-0.9726011,0.0574868
6,-0.59455407,-0.5822729,"('distant', 'open')",-0.5945541,-0.5822729,0.0122812
7,1.4959016,1.5069263,"('insensitive', 'sensitive')",1.4959016,1.5069263,0.0110247
8,0.91893363,0.8564309,"('unaffectionate', 'affectionate')",0.9189336,0.8564309,-0.0625027
9,1.8206604,1.8318237,"('unaffectionate', 'caring')",1.8206604,1.8318237,0.0111633
10,1.4530785,1.4709079,"('unsympathetic', 'sympathetic')",1.4530785,1.4709079,0.0178294
11,2.2955396,2.4068193,"('unhelpful', 'helpful')",2.2955396,2.4068193,0.1112797
12,-1.0546833,-1.0347064,"('unsupportive', 'supportive')",-1.0546833,-1.0347064,0.0199769
13,0.17252722,0.1448581,"('impolite', 'polite')",0.1725272,0.1448581,-0.0276691
14,0.7559949,0.7360621,"('antisocial', 'social')",0.7559949,0.7360621,-0.0199328
15,0.19047232,0.13333161,"('boring', 'funny')",0.1904723,0.1333316,-0.0571407
16,-0.5163259,-0.5233715,"('unpopular', 'popular')",-0.5163259,-0.5233715,-0.0070456
17,-0.16886051,-0.17167957,"('nasty', 'nice')",-0.1688605,-0.1716796,-0.0028191
18,-0.72717506,-0.816431,"('disagreeable', 'welcoming')",-0.7271751,-0.816431,-0.0892559
19,-0.6151438,-0.58785355,"('inhospitable', 'hospitable')",-0.6151438,-0.5878536,0.0272902
20,0.9856263,0.914007,"('rough', 'thoughtful')",0.9856263,0.914007,-0.0716193
21,0.2528037,0.26990584,"('immoral', 'moral')",0.2528037,0.2699058,0.0171021
22,-0.31259418,-0.40706947,"('untrustworthy', 'trustworthy')",-0.3125942,-0.4070695,-0.0944753
23,7.175863,7.1732855,"('insincere', 'sincere')",7.1758628,7.1732855,-0.0025773
24,1.6694087,1.5321004,"('dishonest', 'honest')",1.6694087,1.5321004,-0.1373083
25,0.3379754,0.21388802,"('egoistic', 'altruistic')",0.3379754,0.213888,-0.1240874
26,1.6991782,1.6545596,"('hardhearted', 'benevolent')",1.6991782,1.6545596,-0.0446186
27,1.3090211,1.1066138,"('hardhearted', 'softhearted')",1.3090211,1.1066138,-0.2024073
28,1.3482473,1.3546203,"('disloyal', 'loyal')",1.3482473,1.3546203,0.006373
29,-1.0411513,-1.1584591,"('unfair', 'fair')",-1.0411513,-1.1584591,-0.1173078
30,1.3818467,1.3741549,"('intolerant', 'tolerant')",1.3818467,1.3741549,-0.0076918
31,-1.9683585,-1.9658383,"('evil', 'good')",-1.9683585,-1.9658383,0.0025202
32,1.4227909,1.341692,"('unkind', 'kind')",1.4227909,1.341692,-0.0810989
33,-0.4442706,-0.4892857,"('wrong', 'right')",-0.4442706,-0.4892857,-0.0450151
34,4.4490314,4.596611,"('mean', 'honorable')",4.4490314,4.596611,0.1475796
35,-1.7353507,-1.8638948,"('corrupt', 'incorrupt')",-1.7353507,-1.8638948,-0.1285441
36,-1.2910855,-1.3314614,"('hostile', 'amicable')",-1.2910855,-1.3314614,-0.0403759
37,0.6952445,0.632615,"('fake', 'genuine')",0.6952445,0.632615,-0.0626295
38,0.33379355,0.3917348,"('untruthful', 'truthful')",0.3337936,0.3917348,0.0579412
39,0.7473413,0.7009415,"('exploitative', 'cooperative')",0.7473413,0.7009415,-0.0463998
40,-1.8211915,-1.9691013,"('stingy', 'generous')",-1.8211915,-1.9691013,-0.1479098
41,0.3774816,0.41105536,"('unforgiving', 'forgiving')",0.3774816,0.4110554,0.0335738
42,-2.936805,-2.9538856,"('unreliable', 'reliable')",-2.936805,-2.9538856,-0.0170806
43,1.4957639,1.5365078,"('irresponsible', 'responsible')",1.4957639,1.5365078,0.0407439
44,-1.6384062,-1.5915812,"('prejudiced', 'unprejudiced')",-1.6384062,-1.5915812,0.046825
45,0.5959245,0.60463506,"('incompetent', 'competent')",0.5959245,0.6046351,0.0087106
46,-0.13345835,-0.18460184,"('uncompetitive', 'competitive')",-0.1334583,-0.1846018,-0.0511435
47,5.5592704,5.667242,"('stupid', 'smart')",5.5592704,5.6672421,0.1079717
48,0.72202724,0.7232363,"('unintelligent', 'intelligent')",0.7220272,0.7232363,0.0012091
49,-0.042999506,0.058482394,"('unable', 'able')",-0.0429995,0.0584824,0.1014819
50,-0.49729759,-0.5308163,"('clumsy', 'skillful')",-0.4972976,-0.5308163,-0.0335187
51,0.7899759,0.7069584,"('uneducated', 'educated')",0.7899759,0.7069584,-0.0830175
52,-1.1089826,-1.2338386,"('irrational', 'rational')",-1.1089826,-1.2338386,-0.124856
53,0.35998097,0.30785543,"('uncreative', 'creative')",0.359981,0.3078554,-0.0521256
54,1.271077,1.328004,"('incapable', 'capable')",1.271077,1.328004,0.056927
55,1.3312088,1.2844715,"('incompetent', 'clever')",1.3312088,1.2844715,-0.0467373
56,1.2943213,1.3453994,"('impractical', 'practical')",1.2943213,1.3453994,0.0510781
57,-2.2244177,-2.1299183,"('unimaginative', 'imaginative')",-2.2244177,-2.1299183,0.0944994
58,0.18978217,0.19454515,"('undiscriminating', 'discriminating')",0.1897822,0.1945451,0.0047629
59,-0.73362094,-0.7215322,"('foolish', 'wise')",-0.7336209,-0.7215322,0.0120887
60,1.0555719,1.1199777,"('inefficient', 'efficient')",1.0555719,1.1199777,0.0644058
61,0.34147453,0.20716491,"('illogical', 'logical')",0.3414745,0.2071649,-0.1343096
62,0.93540335,0.98492914,"('incompetent', 'brilliant')",0.9354033,0.9849291,0.0495258
63,0.45049152,0.50477135,"('unperceptive', 'insightful')",0.4504915,0.5047714,0.0542799
64,-6.4740896,-6.4886627,"('shy', 'confident')",-6.4740896,-6.4886627,-0.0145731
65,0.27647817,0.27274698,"('insecure', 'secure')",0.2764782,0.272747,-0.0037312
66,-0.116642274,-0.1327236,"('inactive', 'active')",-0.1166423,-0.1327236,-0.0160813
67,0.147643,0.23352627,"('doubtful', 'determined')",0.147643,0.2335263,0.0858833
