,biogen_male,biogen_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.8693207,-1.0173473,"('unsociable', 'sociable')",-0.24405602,-0.40527573,-0.5566884,-0.7113115,-0.1546231
1,-0.7307006,-0.8740995,"('unfriendly', 'friendly')",1.3447715,1.1912348,0.3070354,0.1585677,-0.1484677
2,0.37063962,0.3622874,"('unlikable', 'likable')",0.8305725,0.8249534,0.6006061,0.5936204,-0.0069857
3,-1.3440939,-1.2877687,"('repellent', 'pleasant')",-0.11322401,-0.02908288,-0.728659,-0.6584258,0.0702332
4,-0.2018471,-0.28961676,"('disliked', 'liked')",-5.67005,-5.7261367,-2.9359486,-3.0078766,-0.071928
5,-0.1007914,-0.09969336,"('distant', 'outgoing')",-0.100151554,-0.14649141,-0.1004715,-0.1230924,-0.0226209
6,-0.33921066,-0.34958047,"('distant', 'open')",0.17438549,0.10199408,-0.0824126,-0.1237932,-0.0413806
7,-1.2890183,-1.2738404,"('insensitive', 'sensitive')",0.36365792,0.4369451,-0.4626802,-0.4184477,0.0442325
8,-0.44368595,-0.5069867,"('unaffectionate', 'affectionate')",0.22528215,0.17821348,-0.1092019,-0.1643866,-0.0551847
9,-0.43646675,-0.44793212,"('unaffectionate', 'caring')",0.7224169,0.7574284,0.1429751,0.1547481,0.011773
10,-1.4984958,-1.5066496,"('unsympathetic', 'sympathetic')",-0.38083223,-0.37315992,-0.939664,-0.9399047,-0.0002407
11,-0.64498055,-0.5907456,"('unhelpful', 'helpful')",1.5678209,1.6583927,0.4614202,0.5338235,0.0724033
12,0.16454427,0.18564689,"('unsupportive', 'supportive')",-1.6999637,-1.6516489,-0.7677097,-0.733001,0.0347087
13,-0.86454684,-0.910301,"('impolite', 'polite')",-0.19161299,-0.13998446,-0.5280799,-0.5251427,0.0029372
14,-0.8259172,-0.8388959,"('antisocial', 'social')",-0.3983248,-0.41437393,-0.612121,-0.626635,-0.014514
15,0.08376992,0.008824304,"('boring', 'funny')",0.6906164,0.6355461,0.3871932,0.3221852,-0.065008
16,0.11659108,0.10052415,"('unpopular', 'popular')",0.56427306,0.56525236,0.3404321,0.3328882,-0.0075439
17,-0.09627019,-0.06567682,"('nasty', 'nice')",-0.19938816,-0.13055907,-0.1478292,-0.0981179,0.0497113
18,-0.00019039214,-0.091357686,"('disagreeable', 'welcoming')",-0.17734408,-0.2514078,-0.0887672,-0.1713827,-0.0826155
19,-0.84822536,-0.89884025,"('inhospitable', 'hospitable')",0.1395216,0.11076927,-0.3543519,-0.3940355,-0.0396836
