,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.3736923,-2.4954052,"('unsociable', 'sociable')",-0.13357736,-0.37336236,-0.80279535,-0.96627647,-1.103355,-1.278348,-0.174993
1,0.17307714,-0.08386518,"('unfriendly', 'friendly')",0.871098,0.5616877,2.1141021,1.8841317,1.0527591,0.7873181,-0.265441
2,0.15358964,0.12291209,"('unlikable', 'likable')",1.3665484,1.3847516,0.60669553,0.70566684,0.7089445,0.7377768,0.0288323
3,-0.8992513,-0.8224698,"('repellent', 'pleasant')",0.7485336,0.8254765,0.06572029,0.10479642,-0.0283325,0.0359344,0.0642669
4,0.6592746,0.7138433,"('disliked', 'liked')",-1.0220424,-1.0399728,-5.7099094,-5.8093243,-2.0242257,-2.0451512,-0.0209255
5,1.4108524,1.4136243,"('distant', 'outgoing')",-0.48992524,-0.49012157,-0.02367995,0.011439636,0.2990824,0.3116474,0.012565
6,1.3866158,1.3687378,"('distant', 'open')",-1.1229361,-1.1799037,0.5233829,0.54704463,0.2623542,0.2452929,-0.0170613
7,-1.558489,-1.5966605,"('insensitive', 'sensitive')",0.22000048,0.29368022,0.60346633,0.53536093,-0.2450074,-0.2558731,-0.0108657
8,-0.3780113,-0.51894355,"('unaffectionate', 'affectionate')",-0.5449835,-0.6030026,0.91882116,0.7837044,-0.0013912,-0.1127472,-0.111356
9,-0.056686617,-0.1853962,"('unaffectionate', 'caring')",0.25893,0.17304626,1.3338596,1.2189704,0.5120343,0.4022068,-0.1098275
10,-2.853362,-2.8662412,"('unsympathetic', 'sympathetic')",-0.07594798,-0.008444594,-0.6786229,-0.7513553,-1.2026443,-1.2086803,-0.006036
11,-1.0331882,-1.0127189,"('unhelpful', 'helpful')",1.010685,1.0664165,1.4470695,1.452837,0.4748554,0.5021782,0.0273228
12,-0.043409146,-0.03939376,"('unsupportive', 'supportive')",0.58838487,0.67127925,-1.171236,-1.2902701,-0.2087534,-0.2194615,-0.0107081
