,oi_male,oi_female,tuple,glass_male,glass_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.9916325,-1.0284415,"('unsociable', 'sociable')",0.669914,0.62899584,-0.31561032,-0.46219015,-0.212443,-0.287212,-0.074769
1,-1.1072845,-1.0168822,"('unfriendly', 'friendly')",0.9072346,0.94527686,1.8243178,1.737187,0.5414226,0.5551939,0.0137713
2,1.0121492,1.0728427,"('unlikable', 'likable')",0.51657575,0.59148216,0.76647377,0.884228,0.7650662,0.8495177,0.0844515
3,-0.27519494,-0.08101534,"('repellent', 'pleasant')",-0.28512394,-0.06726366,0.32841977,0.39649442,-0.0772997,0.0827385,0.1600382
4,0.62137187,0.6219887,"('disliked', 'liked')",-0.7998201,-0.788166,-6.4094872,-6.427744,-2.1959785,-2.1979737,-0.0019952
5,-0.1438612,-0.12611419,"('distant', 'outgoing')",-0.7684878,-0.68360645,-0.24562484,-0.22908683,-0.3859913,-0.3462692,0.0397221
6,0.10319014,0.18759891,"('distant', 'open')",-0.52385616,-0.38385642,0.10191188,0.14455828,-0.1062514,-0.0172331,0.0890183
7,-0.19446099,-0.08457863,"('insensitive', 'sensitive')",0.7153147,0.79609233,0.43213132,0.49645174,0.3176617,0.4026551,0.0849934
8,0.3093964,0.31912467,"('unaffectionate', 'affectionate')",0.10872556,0.13815473,0.8468593,0.8280765,0.4216604,0.4284519,0.0067915
9,-0.37954742,-0.33769578,"('unaffectionate', 'caring')",0.78100145,0.82183754,1.0327092,1.051399,0.4780544,0.5118469,0.0337925
10,-0.8537341,-0.6636949,"('unsympathetic', 'sympathetic')",-0.29662767,-0.24630657,-0.5209097,-0.5120863,-0.5570905,-0.4740293,0.0830612
11,-0.027101722,0.03035001,"('unhelpful', 'helpful')",0.52854574,0.511839,1.9834757,2.07609,0.8283066,0.8727597,0.0444531
12,0.06494123,0.2911803,"('unsupportive', 'supportive')",1.2155915,1.3637602,-1.9702771,-1.9041848,-0.2299147,-0.0830814,0.1468333
13,-0.13770023,-0.18532796,"('impolite', 'polite')",0.77005154,0.78414404,-0.30670142,-0.32083142,0.10855,0.0926616,-0.0158884
14,-0.24183266,-0.19663773,"('antisocial', 'social')",1.3983756,1.4088255,-0.5316867,-0.5876821,0.2082854,0.2081685,-0.0001169
15,1.4165047,1.2340579,"('boring', 'funny')",0.5071853,0.3614522,0.6695885,0.6212086,0.8644262,0.7389062,-0.12552
16,-0.34281334,-0.2662121,"('unpopular', 'popular')",-0.5911218,-0.4475475,0.87382185,0.8849036,-0.0200378,0.057048,0.0770858
17,-0.14918905,-0.08742792,"('nasty', 'nice')",0.0033864807,0.09869693,-0.045388088,-0.026802074,-0.0637302,-0.0051777,0.0585525
18,-0.29189926,-0.13667624,"('disagreeable', 'welcoming')",-0.72567195,-0.578166,-0.40222204,-0.38096553,-0.4732644,-0.3652693,0.1079951
19,-0.011727994,0.019231971,"('inhospitable', 'hospitable')",-1.4171225,-1.3538626,-0.06746852,0.039829515,-0.498773,-0.4316004,0.0671726
20,-0.022597786,-0.008156974,"('rough', 'thoughtful')",0.23766415,0.3086485,1.1423959,1.1106688,0.4524874,0.4703867,0.0178993
21,0.18815172,0.17699717,"('immoral', 'moral')",0.71855044,0.72440827,-0.46776626,-0.4739868,0.146312,0.1424729,-0.0038391
22,-0.44362095,-0.31847245,"('untrustworthy', 'trustworthy')",-0.5389642,-0.5279223,-0.94113505,-1.0162492,-0.6412401,-0.6208813,0.0203588
23,-0.77819884,-0.66695255,"('insincere', 'sincere')",1.4681945,1.5312834,5.8379383,5.779627,2.175978,2.2146525,0.0386745
24,0.1541549,0.20785262,"('dishonest', 'honest')",-0.021119997,-0.07237285,0.8113759,0.7913402,0.3148036,0.30894,-0.0058636
25,-0.5850224,-0.5588298,"('egoistic', 'altruistic')",-0.037014544,-0.011735596,1.3316848,1.2976092,0.2365493,0.2423479,0.0057986
26,0.139402,0.1481239,"('hardhearted', 'benevolent')",1.4048603,1.3851277,1.6252369,1.5095736,1.0564997,1.0142751,-0.0422246
27,0.015699307,0.113438025,"('hardhearted', 'softhearted')",-0.045864798,0.039939,1.2255893,1.1889448,0.3984746,0.4474406,0.048966
28,-0.62288135,-0.6220448,"('disloyal', 'loyal')",0.044036962,-0.035673477,1.1163942,0.9893529,0.1791833,0.1105449,-0.0686384
