,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,female-male
0,-0.34430557,-0.44362694,"('unsociable', 'sociable')",0.18877462,0.22608694,0.19949625,0.08839364,0.0146551,-0.0430488,-0.0577039
1,0.1073789,0.03374643,"('unfriendly', 'friendly')",0.56300867,0.43338022,1.8158703,1.7695965,0.8287526,0.7455744,-0.0831782
2,1.1122963,1.0948156,"('unlikable', 'likable')",0.42351508,0.3960461,1.007458,1.0696714,0.8477565,0.853511,0.0057545
3,-0.82976717,-0.73478776,"('repellent', 'pleasant')",-0.6770081,-0.5298119,0.7006773,0.7689621,-0.2686993,-0.1652125,0.1034868
4,0.08694716,0.031518277,"('disliked', 'liked')",0.027943553,-0.05801629,-6.7387075,-6.8847666,-2.207939,-2.3037548,-0.0958158
5,-0.17430022,-0.017342694,"('distant', 'outgoing')",-0.24708268,-0.20597167,-0.64959633,-0.46054608,-0.3569931,-0.2279535,0.1290396
6,-0.19082946,-0.0026321933,"('distant', 'open')",-0.6182814,-0.5511953,-0.790957,-0.5469319,-0.533356,-0.3669198,0.1664362
7,-0.30758056,-0.29440233,"('insensitive', 'sensitive')",-0.3073013,-0.19654912,0.362388,0.47075316,-0.0841646,-0.0067328,0.0774318
8,0.42159432,0.44892722,"('unaffectionate', 'affectionate')",0.73941904,0.6192148,0.83515364,0.85845023,0.665389,0.6421974,-0.0231916
9,0.7443158,0.78771937,"('unaffectionate', 'caring')",0.7696943,0.69557786,1.1053084,1.1678579,0.8731062,0.8837183,0.0106121
10,-0.8164164,-0.78448373,"('unsympathetic', 'sympathetic')",-1.154905,-1.0480528,-0.13576156,-0.023774534,-0.7023609,-0.6187703,0.0835906
11,0.5273764,0.5662918,"('unhelpful', 'helpful')",-0.39774758,-0.38714316,2.4993296,2.5276704,0.8763195,0.902273,0.0259535
12,0.59435713,0.7875922,"('unsupportive', 'supportive')",0.26583162,0.40060073,-1.9107596,-1.7449547,-0.3501903,-0.1855873,0.164603
13,0.61501443,0.54092,"('impolite', 'polite')",-0.21494675,-0.0955069,-0.19400595,-0.1386435,0.0686872,0.1022565,0.0335693
14,0.9067633,0.7886087,"('antisocial', 'social')",1.2391049,1.2635972,0.58445543,0.50725824,0.9101079,0.8531547,-0.0569532
15,0.96600795,0.8067202,"('boring', 'funny')",0.45966527,0.2727629,0.68812823,0.60144156,0.7046005,0.5603082,-0.1442923
16,-0.36231545,-0.46920654,"('unpopular', 'popular')",-0.573692,-0.7196817,0.34713328,0.24365771,-0.1962914,-0.3150768,-0.1187854
17,-0.6565757,-0.6656092,"('nasty', 'nice')",-0.56441146,-0.4885379,0.18533406,0.22283512,-0.3452177,-0.3104373,0.0347804
18,0.929414,1.0866731,"('disagreeable', 'welcoming')",-0.79261476,-0.7248898,-0.8930329,-0.7876736,-0.2520779,-0.1419634,0.1101145
19,-0.44819346,-0.36674875,"('inhospitable', 'hospitable')",-0.8583693,-0.82780886,-0.17129746,-0.044312738,-0.4926201,-0.4129568,0.0796633
20,-0.30066362,-0.26921225,"('rough', 'thoughtful')",-0.35537973,-0.3356379,0.13729155,0.12479364,-0.1729173,-0.1600188,0.0128985
21,0.14919189,0.13849148,"('immoral', 'moral')",0.27811593,0.34135726,-0.32525018,-0.27561468,0.0340192,0.068078,0.0340588
22,-0.4166649,-0.3421269,"('untrustworthy', 'trustworthy')",-0.35736457,-0.33708465,-0.23836195,-0.2126618,-0.3374638,-0.2972911,0.0401727
23,-0.04229398,-0.027085423,"('insincere', 'sincere')",0.48647484,0.5285198,6.4939785,6.5123167,2.3127198,2.337917,0.0251972
24,0.30929187,0.36448076,"('dishonest', 'honest')",-0.1355133,-0.05333993,0.9194029,1.033156,0.3643938,0.448099,0.0837052
25,0.40140754,0.38090274,"('egoistic', 'altruistic')",1.4058994,1.3037783,1.559601,1.538661,1.1223027,1.0744473,-0.0478554
26,1.6249725,1.4514796,"('hardhearted', 'benevolent')",2.3805978,2.0945685,1.9566149,1.843566,1.9873951,1.796538,-0.1908571
27,-0.27198783,-0.24862906,"('hardhearted', 'softhearted')",-1.0480465,-0.9667513,0.50207335,0.57209265,-0.2726536,-0.2144292,0.0582244
28,0.11137435,-0.08601606,"('disloyal', 'loyal')",0.15451847,-0.026320554,1.4090859,1.219835,0.5583262,0.3691661,-0.1891601
29,-0.79829425,-0.8360535,"('unfair', 'fair')",-0.56292427,-0.5308968,-0.7615864,-0.8222009,-0.7076016,-0.7297171,-0.0221155
30,0.53967166,0.4389125,"('intolerant', 'tolerant')",-0.006142691,0.07327831,0.8248245,0.9367236,0.4527845,0.4829715,0.030187
31,-0.5472948,-0.32624736,"('evil', 'good')",-0.26808313,-0.24322923,-1.1991695,-1.0958165,-0.6715158,-0.5550977,0.1164181
32,0.20381983,-0.025414407,"('unkind', 'kind')",0.46219662,0.25477126,1.5614693,1.3994842,0.7424952,0.542947,-0.1995482
33,0.86935353,0.8104836,"('wrong', 'right')",0.48136103,0.4554894,-0.37815717,-0.4560583,0.3241858,0.2699716,-0.0542142
34,-0.43734664,-0.25376713,"('mean', 'honorable')",-0.0094739385,0.028385136,5.110007,5.398171,1.5543954,1.724263,0.1698676
35,0.26834518,0.039720275,"('corrupt', 'incorrupt')",-0.33867154,-0.5538669,-0.77535206,-0.98170274,-0.2818928,-0.4986165,-0.2167237
36,0.3986321,0.33155823,"('hostile', 'amicable')",-0.24190134,-0.4303297,-0.3649795,-0.5386317,-0.0694162,-0.2124677,-0.1430515
37,-0.58531725,-0.53953487,"('fake', 'genuine')",-1.3637613,-1.2792921,0.09318334,0.16300407,-0.6186318,-0.551941,0.0666908
