,apparatus_male,apparatus_female,tuple,average_male,average_female,female-male
0,-0.24683315,-0.24990778,"('unsociable', 'sociable')",-0.2468331,-0.2499078,-0.0030747
1,0.9424474,0.9644781,"('unfriendly', 'friendly')",0.9424474,0.9644781,0.0220307
2,-0.08562414,0.043721206,"('unlikable', 'likable')",-0.0856241,0.0437212,0.1293453
3,0.10591544,0.58255875,"('repellent', 'pleasant')",0.1059154,0.5825588,0.4766434
4,-7.211354,-7.3975224,"('disliked', 'liked')",-7.2113538,-7.3975224,-0.1861686
5,-0.74125224,-0.7341482,"('distant', 'outgoing')",-0.7412522,-0.7341482,0.007104
6,-0.55853677,-0.48250255,"('distant', 'open')",-0.5585368,-0.4825025,0.0760343
7,1.0040652,1.1723902,"('insensitive', 'sensitive')",1.0040652,1.1723902,0.168325
8,0.7928342,0.8046211,"('unaffectionate', 'affectionate')",0.7928342,0.8046211,0.0117869
9,1.4532549,1.6274908,"('unaffectionate', 'caring')",1.4532549,1.6274908,0.1742359
10,1.06182,1.0868889,"('unsympathetic', 'sympathetic')",1.06182,1.0868889,0.0250689
11,2.1039066,2.0956402,"('unhelpful', 'helpful')",2.1039066,2.0956402,-0.0082664
12,-1.1578597,-1.1360773,"('unsupportive', 'supportive')",-1.1578597,-1.1360773,0.0217824
13,-0.24105933,-0.10645422,"('impolite', 'polite')",-0.2410593,-0.1064542,0.1346051
14,0.2877895,0.19379543,"('antisocial', 'social')",0.2877895,0.1937954,-0.0939941
15,0.5271069,0.34179088,"('boring', 'funny')",0.5271069,0.3417909,-0.185316
16,-0.784706,-0.65457964,"('unpopular', 'popular')",-0.784706,-0.6545796,0.1301264
17,-0.42831177,-0.46967155,"('nasty', 'nice')",-0.4283118,-0.4696715,-0.0413597
18,-1.1169525,-0.8555612,"('disagreeable', 'welcoming')",-1.1169525,-0.8555612,0.2613913
19,-0.5793473,-0.620845,"('inhospitable', 'hospitable')",-0.5793473,-0.620845,-0.0414977
20,0.6178721,0.4881962,"('rough', 'thoughtful')",0.6178721,0.4881962,-0.1296759
21,-0.0810196,0.11894056,"('immoral', 'moral')",-0.0810196,0.1189406,0.1999602
22,-1.0115609,-0.80735886,"('untrustworthy', 'trustworthy')",-1.0115609,-0.8073589,0.204202
23,6.4352803,6.6909432,"('insincere', 'sincere')",6.4352803,6.6909432,0.2556629
24,1.28601,1.4718289,"('dishonest', 'honest')",1.28601,1.4718289,0.1858189
