,mastercard_male,mastercard_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.66608423,-0.7691759,"('unsociable', 'sociable')",-0.6206207,-0.76370454,-0.6433525,-0.7664402,-0.1230877
1,1.4329703,1.288825,"('unfriendly', 'friendly')",2.2495685,2.171048,1.8412694,1.7299365,-0.1113329
2,1.4403536,1.468303,"('unlikable', 'likable')",0.7160611,0.73859763,1.0782074,1.1034503,0.0252429
3,-1.0670679,-0.9414617,"('repellent', 'pleasant')",-0.037263248,0.017775558,-0.5521656,-0.4618431,0.0903225
4,-0.49045902,-0.52755654,"('disliked', 'liked')",-6.228549,-6.313827,-3.359504,-3.4206917,-0.0611877
5,0.53263116,0.5149819,"('distant', 'outgoing')",0.16777304,0.21606277,0.3502021,0.3655224,0.0153203
6,0.25444666,0.23693149,"('distant', 'open')",0.5781603,0.62160194,0.4163035,0.4292667,0.0129632
7,-0.3092029,-0.2725328,"('insensitive', 'sensitive')",0.5344473,0.6231753,0.1126222,0.1753213,0.0626991
8,0.8368877,0.7604083,"('unaffectionate', 'affectionate')",1.0977926,1.0682901,0.9673402,0.9143492,-0.052991
9,1.2468784,1.1942044,"('unaffectionate', 'caring')",1.2072498,1.2448807,1.2270641,1.2195425,-0.0075216
10,-1.3986175,-1.4784292,"('unsympathetic', 'sympathetic')",-0.85596406,-0.86876506,-1.1272907,-1.1735971,-0.0463064
11,-0.9924986,-0.9802175,"('unhelpful', 'helpful')",1.425703,1.5326321,0.2166022,0.2762073,0.0596051
12,-0.069548205,0.01153044,"('unsupportive', 'supportive')",-1.8485372,-1.7846873,-0.9590427,-0.8865784,0.0724643
13,-0.5043239,-0.5509468,"('impolite', 'polite')",-0.79122245,-0.8475191,-0.6477731,-0.6992329,-0.0514598
14,-0.36797374,-0.39335614,"('antisocial', 'social')",-0.6877992,-0.75114006,-0.5278865,-0.5722481,-0.0443616
15,-0.04236137,-0.14229804,"('boring', 'funny')",0.59504664,0.5599745,0.2763426,0.2088382,-0.0675044
