,rockwell_male,rockwell_female,tuple,collins_male,collins_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5987659,-0.59396434,"('unsociable', 'sociable')",0.34101555,0.32397693,-0.32799655,-0.44046462,-0.195249,-0.2368173,-0.0415683
1,1.66429,1.5456117,"('unfriendly', 'friendly')",1.312532,1.0828776,1.6522249,1.3129716,1.5430156,1.3138204,-0.2291952
2,0.5620395,0.57325464,"('unlikable', 'likable')",0.9832215,0.96143705,0.51938933,0.55742884,0.6882168,0.6973735,0.0091567
3,-1.614232,-1.4524775,"('repellent', 'pleasant')",-0.2338353,-0.070023194,0.016372222,0.078101546,-0.610565,-0.4814664,0.1290986
4,-0.28343704,-0.41800836,"('disliked', 'liked')",0.568604,0.43032128,-6.1033006,-6.207239,-1.9393779,-2.0649754,-0.1255975
5,0.82376796,0.6691603,"('distant', 'outgoing')",0.56418586,0.39093503,-0.0532796,-0.1777252,0.4448914,0.2941234,-0.150768
6,0.15722841,0.033532634,"('distant', 'open')",0.13994636,-0.0289867,0.515412,0.3372101,0.2708622,0.1139187,-0.1569435
7,-0.43469507,-0.35310817,"('insensitive', 'sensitive')",-0.39773685,-0.33793145,0.5919553,0.5740909,-0.0801589,-0.0389829,0.041176
8,0.53054434,0.42105052,"('unaffectionate', 'affectionate')",0.1918206,0.027150929,0.48176622,0.2505502,0.401377,0.2329172,-0.1684598
9,1.1796741,1.0765648,"('unaffectionate', 'caring')",0.7319838,0.55684114,1.0374085,0.84138006,0.9830221,0.8249287,-0.1580934
10,-1.6668751,-1.5615493,"('unsympathetic', 'sympathetic')",-0.43185946,-0.36108533,0.12190555,0.10595913,-0.658943,-0.6055585,0.0533845
11,-0.5047928,-0.46716917,"('unhelpful', 'helpful')",0.29144725,0.2976911,1.896489,1.9041147,0.5610478,0.5782122,0.0171644
12,0.5850257,0.6362114,"('unsupportive', 'supportive')",0.76699847,0.71929425,-1.5766846,-1.5965627,-0.0748868,-0.0803523,-0.0054655
13,-0.5011828,-0.52444714,"('impolite', 'polite')",-0.016286582,-0.06269762,-0.21954003,-0.18468851,-0.2456698,-0.2572777,-0.0116079
14,-0.8488776,-0.747386,"('antisocial', 'social')",0.5106643,0.5067162,-0.6272762,-0.59386677,-0.3218298,-0.2781789,0.0436509
15,0.43982354,0.33215117,"('boring', 'funny')",-0.1837293,-0.24867907,0.3326332,0.33196673,0.1962425,0.1384796,-0.0577629
16,-0.84131885,-0.8690085,"('unpopular', 'popular')",-0.91438997,-0.8300995,0.571634,0.5367476,-0.3946916,-0.3874535,0.0072381
17,-0.78855944,-0.7439606,"('nasty', 'nice')",0.803505,0.8750848,-0.3280947,-0.26422563,-0.104383,-0.0443671,0.0600159
18,-0.3571738,-0.36480215,"('disagreeable', 'welcoming')",-0.9923594,-1.0325333,-0.80033755,-0.9176216,-0.7166236,-0.7716524,-0.0550288
19,0.2922272,0.22368217,"('inhospitable', 'hospitable')",-0.16079941,-0.24938852,-0.037344962,-0.027588625,0.0313609,-0.017765,-0.0491259
20,0.19535896,0.28913838,"('rough', 'thoughtful')",1.0830342,1.1353405,1.4181026,1.3500041,0.8988319,0.9248276,0.0259957
21,-0.69472474,-0.6881924,"('immoral', 'moral')",0.43311197,0.4997088,-0.7828115,-0.7242142,-0.3481414,-0.3042326,0.0439088
22,-0.5070025,-0.46941143,"('untrustworthy', 'trustworthy')",0.44384938,0.430568,-1.036187,-1.0427139,-0.3664467,-0.3605191,0.0059276
23,-0.51465493,-0.47728452,"('insincere', 'sincere')",0.03975019,0.04624454,5.3802977,5.243157,1.635131,1.604039,-0.031092
24,0.2723858,0.31673443,"('dishonest', 'honest')",-0.03985136,-0.09083778,0.6671303,0.5831461,0.2998883,0.2696809,-0.0302074
25,1.0058312,1.0157989,"('egoistic', 'altruistic')",0.50135934,0.4644882,1.248268,1.2177821,0.9184862,0.8993564,-0.0191298
26,1.3852745,1.376485,"('hardhearted', 'benevolent')",1.5121788,1.3725103,1.8075722,1.6449051,1.5683419,1.4646335,-0.1037084
27,-0.41938642,-0.3263842,"('hardhearted', 'softhearted')",-0.5680746,-0.5477453,1.3790269,1.2465531,0.130522,0.1241412,-0.0063808
28,-0.56540644,-0.6438351,"('disloyal', 'loyal')",-0.30639908,-0.403024,0.70863175,0.5110997,-0.0543913,-0.1785865,-0.1241952
29,0.6402363,0.53864247,"('unfair', 'fair')",0.4675445,0.36295074,-0.5066238,-0.6687584,0.2003857,0.0776116,-0.1227741
30,-0.9760408,-0.983235,"('intolerant', 'tolerant')",-1.0073543,-1.0416507,1.0079776,0.91950274,-0.3251392,-0.368461,-0.0433218
