,coventry_male,coventry_female,tuple,health_male,health_female,care_male,care_female,inc_male,inc_female,average_male,average_female,female-male
0,0.22642526,0.14576715,"('unsociable', 'sociable')",0.016820181,-0.13684031,0.6899379,0.56422967,-0.46925417,-0.54583573,0.1159823,0.0068302,-0.1091521
1,0.6812438,0.5864553,"('unfriendly', 'friendly')",1.0614417,0.97706234,0.5267791,0.37841547,2.2398334,2.142984,1.1273245,1.0212293,-0.1060952
2,-0.24519901,-0.2689383,"('unlikable', 'likable')",0.8440522,0.78834563,0.9855578,0.90747464,0.40302306,0.49133083,0.4968585,0.4795532,-0.0173053
3,-0.30910033,-0.17447047,"('repellent', 'pleasant')",-1.3601419,-1.0301582,-0.95624363,-0.7685135,-0.10025155,0.028625455,-0.6814343,-0.4861292,0.1953051
4,1.1061242,1.1502904,"('disliked', 'liked')",1.5810018,1.5601361,1.2496758,1.2878724,-6.405859,-6.3730755,-0.6172643,-0.5936942,0.0235701
5,0.7058227,0.71657825,"('distant', 'outgoing')",1.231335,1.2259381,0.6740894,0.58353704,0.375889,0.35452434,0.746784,0.7201445,-0.0266395
6,0.4450987,0.47854006,"('distant', 'open')",1.3070925,1.3795036,0.5664686,0.49681187,0.90831256,0.869179,0.8067431,0.8060086,-0.0007345
7,0.29357207,0.27304846,"('insensitive', 'sensitive')",-0.5777307,-0.4513973,-0.32758233,-0.24971658,0.8196978,0.81509095,0.0519892,0.0967564,0.0447672
8,-0.16750966,-0.15790616,"('unaffectionate', 'affectionate')",-0.040711127,-0.1945005,-0.22466055,-0.43632275,1.0114886,0.8566162,0.1446518,0.0169717,-0.1276801
9,0.5642656,0.5582263,"('unaffectionate', 'caring')",1.4000673,1.3240321,2.0057847,1.8663783,1.7597194,1.7157121,1.4324592,1.3660872,-0.066372
10,0.87908214,0.92557156,"('unsympathetic', 'sympathetic')",-1.1204572,-0.93848974,-0.581609,-0.44759035,-0.20317638,-0.22498749,-0.2565401,-0.171374,0.0851661
