,angiosperm_male,angiosperm_female,tuple,average_male,average_female,female-male
0,-1.0588881,-1.2721944,"('unsociable', 'sociable')",-1.0588881,-1.2721944,-0.2133063
1,1.3840952,1.2003162,"('unfriendly', 'friendly')",1.3840952,1.2003162,-0.183779
2,0.16983618,0.075400345,"('unlikable', 'likable')",0.1698362,0.0754003,-0.0944359
3,-1.902924,-1.9359747,"('repellent', 'pleasant')",-1.9029239,-1.9359747,-0.0330508
4,-0.64910173,-0.63011307,"('disliked', 'liked')",-0.6491017,-0.6301131,0.0189886
5,1.4194036,1.482646,"('distant', 'outgoing')",1.4194036,1.482646,0.0632424
6,1.499087,1.5156305,"('distant', 'open')",1.499087,1.5156305,0.0165435
7,-1.2123078,-1.3428061,"('insensitive', 'sensitive')",-1.2123078,-1.3428061,-0.1304983
8,1.1226108,0.98622316,"('unaffectionate', 'affectionate')",1.1226108,0.9862232,-0.1363876
9,0.46458992,0.33898693,"('unaffectionate', 'caring')",0.4645899,0.3389869,-0.125603
10,-2.8354583,-3.009971,"('unsympathetic', 'sympathetic')",-2.8354583,-3.0099709,-0.1745126
11,-1.32779,-1.4188145,"('unhelpful', 'helpful')",-1.32779,-1.4188145,-0.0910245
12,-1.2850685,-1.364066,"('unsupportive', 'supportive')",-1.2850685,-1.364066,-0.0789975
13,-1.9070071,-2.0782075,"('impolite', 'polite')",-1.9070071,-2.0782075,-0.1712004
14,-1.1554416,-1.2468076,"('antisocial', 'social')",-1.1554416,-1.2468076,-0.091366
15,1.5654081,1.5333408,"('boring', 'funny')",1.5654081,1.5333408,-0.0320673
16,-0.046400167,-0.010279391,"('unpopular', 'popular')",-0.0464002,-0.0102794,0.0361208
17,0.24889746,0.3302487,"('nasty', 'nice')",0.2488975,0.3302487,0.0813512
18,0.39428052,0.33625856,"('disagreeable', 'welcoming')",0.3942805,0.3362586,-0.0580219
19,-0.32428244,-0.3225699,"('inhospitable', 'hospitable')",-0.3242824,-0.3225699,0.0017125
20,-0.20235425,-0.13408753,"('rough', 'thoughtful')",-0.2023543,-0.1340875,0.0682668
21,-1.7612762,-1.8269815,"('immoral', 'moral')",-1.7612762,-1.8269815,-0.0657053
22,-1.0539112,-1.1648175,"('untrustworthy', 'trustworthy')",-1.0539112,-1.1648175,-0.1109063
23,-0.32129794,-0.47384903,"('insincere', 'sincere')",-0.3212979,-0.473849,-0.1525511
24,-1.3821152,-1.5614101,"('dishonest', 'honest')",-1.3821152,-1.5614101,-0.1792949
25,1.5023097,1.5642233,"('egoistic', 'altruistic')",1.5023097,1.5642233,0.0619136
26,1.7834654,1.5871512,"('hardhearted', 'benevolent')",1.7834654,1.5871512,-0.1963142
27,1.219006,1.1463097,"('hardhearted', 'softhearted')",1.2190059,1.1463097,-0.0726962
28,-0.6556029,-0.83029115,"('disloyal', 'loyal')",-0.6556029,-0.8302912,-0.1746883
29,-0.24021968,-0.2855384,"('unfair', 'fair')",-0.2402197,-0.2855384,-0.0453187
30,-0.8523644,-1.003685,"('intolerant', 'tolerant')",-0.8523644,-1.003685,-0.1513206
31,0.85061055,0.9238089,"('evil', 'good')",0.8506106,0.9238089,0.0731983
32,0.4289052,0.204133,"('unkind', 'kind')",0.4289052,0.204133,-0.2247722
33,1.187347,1.1134611,"('wrong', 'right')",1.1873471,1.1134611,-0.073886
