,priority_male,priority_female,tuple,average_male,average_female,female-male
0,0.068642735,-0.17996618,"('unsociable', 'sociable')",0.0686427,-0.1799662,-0.2486089
1,1.3202208,1.3282206,"('unfriendly', 'friendly')",1.3202208,1.3282206,0.0079998
2,0.83363616,0.92267704,"('unlikable', 'likable')",0.8336362,0.922677,0.0890408
3,1.1076438,1.1583368,"('repellent', 'pleasant')",1.1076438,1.1583368,0.050693
4,-7.140473,-7.0274243,"('disliked', 'liked')",-7.1404729,-7.0274243,0.1130486
5,-0.033418126,0.13613398,"('distant', 'outgoing')",-0.0334181,0.136134,0.1695521
6,0.16156493,0.35486892,"('distant', 'open')",0.1615649,0.3548689,0.193304
7,1.7795293,1.5643876,"('insensitive', 'sensitive')",1.7795293,1.5643876,-0.2151417
8,1.0920843,1.1538092,"('unaffectionate', 'affectionate')",1.0920843,1.1538092,0.0617249
9,1.517883,1.5806383,"('unaffectionate', 'caring')",1.5178829,1.5806383,0.0627554
10,1.567334,1.3380066,"('unsympathetic', 'sympathetic')",1.5673341,1.3380066,-0.2293275
11,2.1458983,2.0316327,"('unhelpful', 'helpful')",2.1458983,2.0316327,-0.1142656
12,-0.8821317,-0.96483016,"('unsupportive', 'supportive')",-0.8821317,-0.9648302,-0.0826985
13,0.33954233,0.099112615,"('impolite', 'polite')",0.3395423,0.0991126,-0.2404297
14,0.22073731,-0.026981298,"('antisocial', 'social')",0.2207373,-0.0269813,-0.2477186
15,0.09617732,0.092143595,"('boring', 'funny')",0.0961773,0.0921436,-0.0040337
16,-0.51651067,-0.35189202,"('unpopular', 'popular')",-0.5165107,-0.351892,0.1646187
17,-0.23269728,-0.14298901,"('nasty', 'nice')",-0.2326973,-0.142989,0.0897083
18,-0.22374782,-0.20555554,"('disagreeable', 'welcoming')",-0.2237478,-0.2055555,0.0181923
19,-0.03301179,0.12614425,"('inhospitable', 'hospitable')",-0.0330118,0.1261442,0.159156
20,0.8918093,0.7712494,"('rough', 'thoughtful')",0.8918093,0.7712494,-0.1205599
21,0.5169023,0.3921469,"('immoral', 'moral')",0.5169023,0.3921469,-0.1247554
22,0.32405803,0.13651544,"('untrustworthy', 'trustworthy')",0.324058,0.1365154,-0.1875426
23,6.9931817,6.857467,"('insincere', 'sincere')",6.9931817,6.8574672,-0.1357145
24,2.3916218,2.271375,"('dishonest', 'honest')",2.3916218,2.2713749,-0.1202469
25,0.3139893,0.34113178,"('egoistic', 'altruistic')",0.3139893,0.3411318,0.0271425
26,-0.05322276,-0.04646185,"('hardhearted', 'benevolent')",-0.0532228,-0.0464619,0.0067609
27,1.5886734,1.5135769,"('hardhearted', 'softhearted')",1.5886734,1.5135769,-0.0750965
28,1.4470983,1.4112853,"('disloyal', 'loyal')",1.4470983,1.4112853,-0.035813
29,0.12260836,0.046920948,"('unfair', 'fair')",0.1226084,0.0469209,-0.0756875
30,1.1120919,0.87694645,"('intolerant', 'tolerant')",1.1120919,0.8769464,-0.2351455
31,-1.0663065,-0.8290707,"('evil', 'good')",-1.0663065,-0.8290707,0.2372358
32,1.4331043,1.2411963,"('unkind', 'kind')",1.4331043,1.2411963,-0.191908
33,-0.4234436,-0.24357994,"('wrong', 'right')",-0.4234436,-0.2435799,0.1798637
34,4.668428,4.774231,"('mean', 'honorable')",4.6684279,4.774231,0.1058031
35,-0.8699116,-0.74392545,"('corrupt', 'incorrupt')",-0.8699116,-0.7439255,0.1259861
36,-1.0702169,-0.8525575,"('hostile', 'amicable')",-1.0702169,-0.8525575,0.2176594
37,1.1249368,1.0756537,"('fake', 'genuine')",1.1249368,1.0756537,-0.0492831
38,0.34385943,0.23373353,"('untruthful', 'truthful')",0.3438594,0.2337335,-0.1101259
39,0.20120242,0.12434873,"('exploitative', 'cooperative')",0.2012024,0.1243487,-0.0768537
40,-1.0375962,-1.1247716,"('stingy', 'generous')",-1.0375962,-1.1247716,-0.0871754
41,0.10240607,0.017124936,"('unforgiving', 'forgiving')",0.1024061,0.0171249,-0.0852812
42,-1.3998594,-1.4588948,"('unreliable', 'reliable')",-1.3998594,-1.4588948,-0.0590354
43,1.7892284,1.4993587,"('irresponsible', 'responsible')",1.7892284,1.4993587,-0.2898697
44,-1.2576292,-1.3454976,"('prejudiced', 'unprejudiced')",-1.2576292,-1.3454976,-0.0878684
45,0.8740169,0.75444514,"('incompetent', 'competent')",0.8740169,0.7544451,-0.1195718
46,-0.1209804,-0.2673562,"('uncompetitive', 'competitive')",-0.1209804,-0.2673562,-0.1463758
47,5.81348,5.8289638,"('stupid', 'smart')",5.8134799,5.8289638,0.0154839
48,1.0062319,0.8330201,"('unintelligent', 'intelligent')",1.0062319,0.8330201,-0.1732118
49,0.27659816,0.42541236,"('unable', 'able')",0.2765982,0.4254124,0.1488142
50,0.22464588,0.4085703,"('clumsy', 'skillful')",0.2246459,0.4085703,0.1839244
51,0.91008914,0.7903564,"('uneducated', 'educated')",0.9100891,0.7903564,-0.1197327
52,-0.40794256,-0.13982086,"('irrational', 'rational')",-0.4079426,-0.1398209,0.2681217
53,0.66614205,0.6130411,"('uncreative', 'creative')",0.666142,0.6130411,-0.0531009
54,1.5629407,1.7241529,"('incapable', 'capable')",1.5629407,1.7241529,0.1612122
55,1.2748952,1.033081,"('incompetent', 'clever')",1.2748952,1.0330811,-0.2418141
56,1.1353822,0.9192091,"('impractical', 'practical')",1.1353822,0.9192091,-0.2161731
57,-2.4694412,-2.5532696,"('unimaginative', 'imaginative')",-2.4694412,-2.5532696,-0.0838284
58,-0.08660387,-0.09817191,"('undiscriminating', 'discriminating')",-0.0866039,-0.0981719,-0.011568
59,0.21888463,0.47105184,"('foolish', 'wise')",0.2188846,0.4710518,0.2521672
60,1.022354,0.7212215,"('inefficient', 'efficient')",1.022354,0.7212215,-0.3011325
61,0.7927597,0.63680124,"('illogical', 'logical')",0.7927597,0.6368012,-0.1559585
62,2.0805151,1.8843884,"('incompetent', 'brilliant')",2.0805151,1.8843884,-0.1961267
63,1.3267539,1.2111926,"('unperceptive', 'insightful')",1.3267539,1.2111926,-0.1155613
