,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,female-male
0,1.268569,0.9701788,"('unsociable', 'sociable')",-1.3644264,-1.6432412,-0.52278244,-0.7898706,-0.2062133,-0.4876444,-0.2814311
1,0.13228187,0.31873304,"('unfriendly', 'friendly')",-1.4080814,-1.3580639,0.583082,0.425063,-0.2309058,-0.204756,0.0261498
2,0.90506494,1.0067254,"('unlikable', 'likable')",0.16131055,0.16682523,0.7243787,0.7856235,0.5969181,0.6530581,0.05614
3,0.00644298,0.058533806,"('repellent', 'pleasant')",-1.3579497,-1.2388536,0.6746945,0.6236228,-0.2256041,-0.1855657,0.0400384
4,-1.4182804,-1.35466,"('disliked', 'liked')",0.72204185,0.83348125,-5.9649506,-5.872982,-2.2203964,-2.1313869,0.0890095
5,-0.6667565,-0.5238254,"('distant', 'outgoing')",0.42627686,0.53922683,-0.4359316,-0.2628543,-0.2254704,-0.0824843,0.1429861
6,-1.3618933,-1.0627015,"('distant', 'open')",0.3831107,0.60430616,-0.7178621,-0.5761741,-0.5655483,-0.3448565,0.2206918
7,0.6911013,0.78314894,"('insensitive', 'sensitive')",-1.1999652,-1.1257553,-0.36226025,-0.37210134,-0.2903747,-0.2382359,0.0521388
8,0.1628951,0.21243492,"('unaffectionate', 'affectionate')",-0.696563,-0.66316086,0.4723378,0.40339944,-0.0204434,-0.0157755,0.0046679
9,1.5242934,1.6850748,"('unaffectionate', 'caring')",-0.6780183,-0.5690834,1.1201044,1.1119771,0.6554599,0.7426562,0.0871963
10,0.708183,0.65480196,"('unsympathetic', 'sympathetic')",-2.3604674,-2.4627342,-0.8094229,-0.99126065,-0.8205691,-0.9330643,-0.1124952
11,0.45628184,0.49838886,"('unhelpful', 'helpful')",-0.98779273,-1.0271109,1.6973269,1.6714175,0.3886054,0.3808985,-0.0077069
12,1.3955358,1.6914405,"('unsupportive', 'supportive')",-0.40953064,-0.26666653,-2.0594985,-2.0248635,-0.3578311,-0.2000299,0.1578012
13,-0.05042865,-0.38865864,"('impolite', 'polite')",-1.2829516,-1.53989,-0.9671941,-1.1607869,-0.7668581,-1.0297785,-0.2629204
14,1.1567369,1.154072,"('antisocial', 'social')",-0.6371537,-0.67397374,-0.08918816,-0.26179367,0.143465,0.0727682,-0.0706968
15,-0.10907956,-0.09329351,"('boring', 'funny')",0.5355612,0.4081291,-0.05814673,-0.029700179,0.1227783,0.0950451,-0.0277332
16,-0.9203436,-0.9581609,"('unpopular', 'popular')",-0.26531553,-0.21976012,0.45358378,0.394909,-0.2440251,-0.261004,-0.0169789
17,-0.20198436,-0.16916679,"('nasty', 'nice')",-0.6596545,-0.61274576,-0.6140115,-0.51063883,-0.4918834,-0.4308505,0.0610329
18,0.4912499,0.63243204,"('disagreeable', 'welcoming')",0.57356584,0.6805024,-0.59126866,-0.66752666,0.157849,0.2151359,0.0572869
19,-0.885465,-0.79054505,"('inhospitable', 'hospitable')",0.058723442,0.073560745,-0.96383613,-0.7891714,-0.5968592,-0.5020519,0.0948073
20,1.8552016,1.7667453,"('rough', 'thoughtful')",0.25770873,0.24737333,1.2491449,1.1648227,1.1206851,1.0596471,-0.061038
21,0.6755422,0.6695843,"('immoral', 'moral')",-1.0710061,-1.2082255,-0.62063104,-0.67405474,-0.3386983,-0.404232,-0.0655337
22,0.053749412,0.23720455,"('untrustworthy', 'trustworthy')",-0.6542049,-0.5160086,-0.63645846,-0.5966667,-0.4123046,-0.2918236,0.120481
23,1.2706847,1.281241,"('insincere', 'sincere')",-1.708465,-1.8153361,4.6106625,4.4308276,1.3909607,1.2989109,-0.0920498
24,-0.08431427,-0.018173724,"('dishonest', 'honest')",-1.2837703,-1.2322522,0.20453906,0.25025135,-0.3878485,-0.3333915,0.054457
25,-0.14005454,0.012073364,"('egoistic', 'altruistic')",0.10900861,0.2045222,0.80122846,0.8025932,0.2567275,0.3397296,0.0830021
26,0.60627,0.7324328,"('hardhearted', 'benevolent')",0.11718553,-0.028625503,1.2089676,1.0172606,0.644141,0.5736893,-0.0704517
27,0.27385306,0.4695658,"('hardhearted', 'softhearted')",-0.8281557,-0.6677176,0.2990538,0.16379926,-0.0850829,-0.0114508,0.0736321
28,0.2334759,0.3050468,"('disloyal', 'loyal')",-1.1584452,-1.1754404,0.72064644,0.6398068,-0.0681076,-0.0768623,-0.0087547
29,-0.48776254,-0.39779913,"('unfair', 'fair')",-0.08108108,0.015136883,-0.39553022,-0.37098637,-0.3214579,-0.2512162,0.0702417
30,0.039934523,0.032856565,"('intolerant', 'tolerant')",-0.4774005,-0.66602564,0.5659489,0.44990724,0.0428276,-0.0610873,-0.1039149
31,-1.6612489,-1.5351204,"('evil', 'good')",0.009944201,0.07558833,-0.96956086,-0.871009,-0.8736219,-0.776847,0.0967749
32,0.51593584,0.59260726,"('unkind', 'kind')",-1.4931091,-1.6036786,0.21169887,-0.03859223,-0.2551581,-0.3498878,-0.0947297
33,0.22709931,0.26957703,"('wrong', 'right')",1.5885706,1.6863678,-0.40993625,-0.31238797,0.4685779,0.5478523,0.0792744
34,0.51986045,0.68166965,"('mean', 'honorable')",-0.32483992,-0.39851457,4.9219494,4.9765725,1.7056567,1.7532425,0.0475858
35,-1.5021682,-1.3737004,"('corrupt', 'incorrupt')",0.9721975,1.1586185,-0.50373816,-0.27454418,-0.3445696,-0.1632087,0.1813609
36,-1.1682938,-0.90389246,"('hostile', 'amicable')",0.6025463,0.71452665,-0.043183587,-0.035056196,-0.202977,-0.0748073,0.1281697
37,0.795675,0.6751494,"('fake', 'genuine')",-0.35043925,-0.35323483,-0.3084626,-0.26992136,0.045591,0.0173311,-0.0282599
38,-0.16311307,0.09359356,"('untruthful', 'truthful')",-0.2252252,-0.13847846,-0.08385132,-0.002084829,-0.1573965,-0.0156566,0.1417399
39,0.719158,0.75945544,"('exploitative', 'cooperative')",-0.48041093,-0.41453448,-0.004262116,0.054466784,0.0781616,0.1331292,0.0549676
40,0.8645177,0.7912216,"('stingy', 'generous')",0.54336345,0.5547899,-1.607085,-1.661295,-0.0664013,-0.1050945,-0.0386932
