,pay_male,pay_female,tuple,average_male,average_female,female-male
0,-0.18667023,-0.3851203,"('unsociable', 'sociable')",-0.1866702,-0.3851203,-0.1984501
1,1.6313686,1.7513714,"('unfriendly', 'friendly')",1.6313686,1.7513714,0.1200028
2,0.46105865,0.5882603,"('unlikable', 'likable')",0.4610586,0.5882603,0.1272017
3,0.29168385,0.45421365,"('repellent', 'pleasant')",0.2916839,0.4542136,0.1625297
4,-7.4423175,-7.2212796,"('disliked', 'liked')",-7.4423175,-7.2212796,0.2210379
5,-0.11474245,0.116967104,"('distant', 'outgoing')",-0.1147425,0.1169671,0.2317096
6,0.39729738,0.6033902,"('distant', 'open')",0.3972974,0.6033902,0.2060928
7,0.9722007,0.9750477,"('insensitive', 'sensitive')",0.9722007,0.9750477,0.002847
8,1.5147736,1.6231968,"('unaffectionate', 'affectionate')",1.5147736,1.6231968,0.1084232
9,2.032493,2.091241,"('unaffectionate', 'caring')",2.0324931,2.0912409,0.0587478
10,1.0195621,0.92955226,"('unsympathetic', 'sympathetic')",1.0195621,0.9295523,-0.0900098
11,1.9708822,1.8516349,"('unhelpful', 'helpful')",1.9708822,1.8516349,-0.1192473
12,-1.4612597,-1.3609824,"('unsupportive', 'supportive')",-1.4612597,-1.3609824,0.1002773
13,0.049920913,-0.12775518,"('impolite', 'polite')",0.0499209,-0.1277552,-0.1776761
14,-0.09121934,-0.26217303,"('antisocial', 'social')",-0.0912193,-0.262173,-0.1709537
15,0.2667393,0.29143983,"('boring', 'funny')",0.2667393,0.2914398,0.0247005
16,-0.37544572,-0.18841052,"('unpopular', 'popular')",-0.3754457,-0.1884105,0.1870352
17,0.28487056,0.27844322,"('nasty', 'nice')",0.2848706,0.2784432,-0.0064274
18,-0.032640856,0.0072891973,"('disagreeable', 'welcoming')",-0.0326409,0.0072892,0.0399301
19,0.2292363,0.37166157,"('inhospitable', 'hospitable')",0.2292363,0.3716616,0.1424253
20,0.6142125,0.48941445,"('rough', 'thoughtful')",0.6142125,0.4894145,-0.124798
21,-0.27421284,-0.3167941,"('immoral', 'moral')",-0.2742128,-0.3167941,-0.0425813
22,-0.4606396,-0.50699604,"('untrustworthy', 'trustworthy')",-0.4606396,-0.506996,-0.0463564
23,6.9593763,6.851068,"('insincere', 'sincere')",6.9593763,6.851068,-0.1083083
24,1.9423361,1.8805825,"('dishonest', 'honest')",1.9423361,1.8805825,-0.0617536
25,0.6792534,0.61132354,"('egoistic', 'altruistic')",0.6792534,0.6113235,-0.0679299
26,0.5160018,0.46580476,"('hardhearted', 'benevolent')",0.5160018,0.4658048,-0.050197
27,1.6606101,1.5359137,"('hardhearted', 'softhearted')",1.6606101,1.5359137,-0.1246964
28,1.4954704,1.4356884,"('disloyal', 'loyal')",1.4954704,1.4356884,-0.059782
29,-0.11275936,-0.16553664,"('unfair', 'fair')",-0.1127594,-0.1655366,-0.0527772
30,1.0335828,0.8610663,"('intolerant', 'tolerant')",1.0335828,0.8610663,-0.1725165
31,-0.7721595,-0.5551121,"('evil', 'good')",-0.7721595,-0.5551121,0.2170474
32,1.233946,1.0295248,"('unkind', 'kind')",1.233946,1.0295248,-0.2044212
33,-0.3693915,-0.26794168,"('wrong', 'right')",-0.3693915,-0.2679417,0.1014498
34,5.0499964,5.188213,"('mean', 'honorable')",5.0499964,5.1882129,0.1382165
35,-0.3670159,-0.32170188,"('corrupt', 'incorrupt')",-0.3670159,-0.3217019,0.045314
36,0.04475348,0.16928461,"('hostile', 'amicable')",0.0447535,0.1692846,0.1245311
37,0.8357893,0.7963287,"('fake', 'genuine')",0.8357893,0.7963287,-0.0394606
38,0.23509766,0.16810742,"('untruthful', 'truthful')",0.2350977,0.1681074,-0.0669903
39,-0.23720887,-0.27429697,"('exploitative', 'cooperative')",-0.2372089,-0.274297,-0.0370881
40,-1.3632519,-1.319777,"('stingy', 'generous')",-1.3632519,-1.319777,0.0434749
41,0.12054112,0.020483747,"('unforgiving', 'forgiving')",0.1205411,0.0204837,-0.1000574
42,-2.3554785,-2.282095,"('unreliable', 'reliable')",-2.3554785,-2.282095,0.0733835
43,1.1820487,1.0366987,"('irresponsible', 'responsible')",1.1820487,1.0366987,-0.14535
44,-1.4782212,-1.5567219,"('prejudiced', 'unprejudiced')",-1.4782212,-1.5567219,-0.0785007
45,-0.06275274,-0.065038934,"('incompetent', 'competent')",-0.0627527,-0.0650389,-0.0022862
46,-0.9654341,-0.9730857,"('uncompetitive', 'competitive')",-0.9654341,-0.9730857,-0.0076516
47,5.9018226,5.9655704,"('stupid', 'smart')",5.9018226,5.9655704,0.0637478
48,0.48318803,0.41679817,"('unintelligent', 'intelligent')",0.483188,0.4167982,-0.0663898
49,0.15702042,0.35350344,"('unable', 'able')",0.1570204,0.3535034,0.196483
50,0.12966095,0.25654927,"('clumsy', 'skillful')",0.1296609,0.2565493,0.1268884
51,0.16181108,0.09159813,"('uneducated', 'educated')",0.1618111,0.0915981,-0.070213
52,0.32902724,0.4562202,"('irrational', 'rational')",0.3290272,0.4562202,0.127193
53,0.49972218,0.58922976,"('uncreative', 'creative')",0.4997222,0.5892298,0.0895076
54,1.5851859,1.7269384,"('incapable', 'capable')",1.5851859,1.7269384,0.1417525
55,0.4659888,0.3349536,"('incompetent', 'clever')",0.4659888,0.3349536,-0.1310352
56,0.4550219,0.35642022,"('impractical', 'practical')",0.4550219,0.3564202,-0.0986017
57,-3.1858068,-3.0680165,"('unimaginative', 'imaginative')",-3.1858068,-3.0680165,0.1177903
58,-0.29399633,-0.30567363,"('undiscriminating', 'discriminating')",-0.2939963,-0.3056736,-0.0116773
59,0.49560818,0.7499959,"('foolish', 'wise')",0.4956082,0.7499959,0.2543877
60,0.2833553,0.07403775,"('inefficient', 'efficient')",0.2833553,0.0740378,-0.2093175
61,0.46792763,0.30927712,"('illogical', 'logical')",0.4679276,0.3092771,-0.1586505
62,0.68897134,0.6985917,"('incompetent', 'brilliant')",0.6889713,0.6985917,0.0096204
63,0.47867367,0.57624733,"('unperceptive', 'insightful')",0.4786737,0.5762473,0.0975736
64,-6.210375,-6.1672664,"('shy', 'confident')",-6.2103748,-6.1672664,0.0431084
65,0.68612635,0.54237294,"('insecure', 'secure')",0.6861264,0.5423729,-0.1437535
66,0.14687406,0.21572444,"('inactive', 'active')",0.1468741,0.2157244,0.0688503
67,-0.7908591,-0.83591455,"('doubtful', 'determined')",-0.7908591,-0.8359146,-0.0450555
68,-0.61318773,-0.5282901,"('dependent', 'independent')",-0.6131877,-0.5282901,0.0848976
69,-1.4746016,-1.2605617,"('lazy', 'industrious')",-1.4746016,-1.2605617,0.2140399
70,0.7883366,0.74317175,"('lethargic', 'energetic')",0.7883366,0.7431718,-0.0451648
71,0.58710545,0.8114576,"('diffident', 'self-confident')",0.5871055,0.8114576,0.2243521
72,0.68029463,0.6620042,"('unambitious', 'ambitious')",0.6802946,0.6620042,-0.0182904
73,-3.0684378,-2.8846831,"('helpless', 'self-reliant')",-3.0684378,-2.8846831,0.1837547
74,0.09506034,-0.007851265,"('undedicated', 'dedicated')",0.0950603,-0.0078513,-0.1029116
75,-0.9499667,-0.74940675,"('meek', 'impulsive')",-0.9499667,-0.7494068,0.2005599
76,0.5094254,0.3259596,"('anxious', 'daring')",0.5094254,0.3259596,-0.1834658
77,-1.0863425,-1.1206235,"('unmotivated', 'motivated')",-1.0863425,-1.1206235,-0.034281
78,-0.24320555,-0.19052881,"('nonresilient', 'resilient')",-0.2432055,-0.1905288,0.0526767
79,0.33870122,0.47173545,"('wavering', 'unwavering')",0.3387012,0.4717354,0.1330342
80,-0.2900531,-0.4332351,"('dominated', 'dominating')",-0.2900531,-0.4332351,-0.143182
81,-0.488936,-0.58168787,"('submissive', 'aggressive')",-0.488936,-0.5816879,-0.0927519
82,6.265572,6.4586945,"('poor', 'rich')",6.2655721,6.4586945,0.1931224
83,-0.35878187,-0.4190924,"('powerless', 'powerful')",-0.3587819,-0.4190924,-0.0603105
84,-0.08345258,-0.076291606,"('inferior', 'superior')",-0.0834526,-0.0762916,0.007161
85,-0.7656913,-0.6249312,"('insignificant', 'prestigious')",-0.7656913,-0.6249312,0.1407601
86,0.25101918,0.20293373,"('uninfluential', 'influential')",0.2510192,0.2029337,-0.0480855
87,0.061886042,0.2305663,"('unsuccessful', 'successful')",0.061886,0.2305663,0.1686803
88,-0.26880845,-0.22734231,"('low', 'eminent')",-0.2688085,-0.2273423,0.0414662
