,infrastructure_male,infrastructure_female,tuple,average_male,average_female,female-male
0,-0.1792643,-0.27489638,"('unsociable', 'sociable')",-0.1792643,-0.2748964,-0.0956321
1,1.2996886,1.163819,"('unfriendly', 'friendly')",1.2996886,1.163819,-0.1358696
2,0.40116656,0.354498,"('unlikable', 'likable')",0.4011666,0.354498,-0.0466686
3,0.091495216,0.20947057,"('repellent', 'pleasant')",0.0914952,0.2094706,0.1179754
4,-6.402899,-6.619363,"('disliked', 'liked')",-6.4028988,-6.6193628,-0.216464
5,-0.23749597,-0.29955357,"('distant', 'outgoing')",-0.237496,-0.2995536,-0.0620576
6,0.10426132,0.045189187,"('distant', 'open')",0.1042613,0.0451892,-0.0590721
7,0.97723156,0.9768359,"('insensitive', 'sensitive')",0.9772316,0.9768359,-0.0003957
8,0.9522358,0.8571996,"('unaffectionate', 'affectionate')",0.9522358,0.8571996,-0.0950362
9,1.5623755,1.5493155,"('unaffectionate', 'caring')",1.5623755,1.5493155,-0.01306
10,0.32977924,0.38240686,"('unsympathetic', 'sympathetic')",0.3297792,0.3824069,0.0526277
11,2.4005392,2.4316487,"('unhelpful', 'helpful')",2.4005392,2.4316487,0.0311095
12,-0.89480835,-0.9782728,"('unsupportive', 'supportive')",-0.8948084,-0.9782728,-0.0834644
13,-0.52320844,-0.54547507,"('impolite', 'polite')",-0.5232084,-0.5454751,-0.0222667
14,0.47239912,0.47659877,"('antisocial', 'social')",0.4723991,0.4765988,0.0041997
15,0.06837043,0.014156178,"('boring', 'funny')",0.0683704,0.0141562,-0.0542142
16,0.109143466,0.070732325,"('unpopular', 'popular')",0.1091435,0.0707323,-0.0384112
17,-0.11148492,-0.09503267,"('nasty', 'nice')",-0.1114849,-0.0950327,0.0164522
18,-0.71321714,-0.81605935,"('disagreeable', 'welcoming')",-0.7132171,-0.8160594,-0.1028423
19,-0.34358826,-0.35261005,"('inhospitable', 'hospitable')",-0.3435883,-0.3526101,-0.0090218
20,0.5021733,0.44686764,"('rough', 'thoughtful')",0.5021733,0.4468676,-0.0553057
21,-0.32806808,-0.27126515,"('immoral', 'moral')",-0.3280681,-0.2712651,0.056803
22,-0.9616675,-0.91393226,"('untrustworthy', 'trustworthy')",-0.9616675,-0.9139323,0.0477352
23,6.367181,6.39537,"('insincere', 'sincere')",6.3671808,6.39537,0.0281892
24,1.2999694,1.2414007,"('dishonest', 'honest')",1.2999694,1.2414007,-0.0585687
25,0.8810561,0.7841059,"('egoistic', 'altruistic')",0.8810561,0.7841059,-0.0969502
26,1.5685407,1.4953858,"('hardhearted', 'benevolent')",1.5685407,1.4953858,-0.0731549
27,1.0397351,0.99938315,"('hardhearted', 'softhearted')",1.0397351,0.9993832,-0.0403519
28,1.2053956,1.1380632,"('disloyal', 'loyal')",1.2053956,1.1380632,-0.0673324
