,rockwell_male,rockwell_female,tuple,automation_male,automation_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.19127381,-0.23343626,"('unsociable', 'sociable')",0.2905379,0.2302311,-0.15513009,-0.34505522,-0.018622,-0.1160868,-0.0974648
1,1.6586345,1.5375683,"('unfriendly', 'friendly')",-0.4260592,-0.65904945,1.8142492,1.564659,1.0156082,0.8143926,-0.2012156
2,0.8877068,0.8973204,"('unlikable', 'likable')",0.3149634,0.2996592,0.51690096,0.5623592,0.5731904,0.5864462,0.0132558
3,-1.7018671,-1.6158442,"('repellent', 'pleasant')",-0.70951,-0.6336418,0.18256833,0.26207954,-0.7429363,-0.6624688,0.0804675
4,-0.22986509,-0.31135273,"('disliked', 'liked')",-0.38507798,-0.52453953,-6.102925,-6.298132,-2.2392893,-2.378008,-0.1387187
5,0.5944487,0.49647874,"('distant', 'outgoing')",-0.7014107,-0.83892035,-0.20109949,-0.27125376,-0.1026872,-0.2045651,-0.1018779
6,0.018050805,-0.03539619,"('distant', 'open')",-1.0370724,-1.1840485,0.3301225,0.276488,-0.2296331,-0.3143189,-0.0846858
7,-0.3688357,-0.34789863,"('insensitive', 'sensitive')",-1.3794917,-1.2806735,0.50162876,0.4800379,-0.4155662,-0.3828447,0.0327215
8,0.5640842,0.5312427,"('unaffectionate', 'affectionate')",-0.6835439,-0.78317153,0.4057918,0.29027635,0.095444,0.0127825,-0.0826615
9,0.94682986,0.92359954,"('unaffectionate', 'caring')",-0.57634544,-0.70580035,1.0783784,1.0050682,0.4829543,0.4076225,-0.0753318
10,-0.99663275,-0.95888567,"('unsympathetic', 'sympathetic')",-1.64107,-1.5459827,-0.066055134,-0.13937432,-0.9012526,-0.8814143,0.0198383
11,-0.468669,-0.40786615,"('unhelpful', 'helpful')",0.016047452,0.09821318,1.7903433,1.8152025,0.4459072,0.5018498,0.0559426
12,0.96291184,1.0138141,"('unsupportive', 'supportive')",0.18397734,0.2340072,-1.553697,-1.6355078,-0.1356026,-0.1292288,0.0063738
13,0.07004325,0.025835358,"('impolite', 'polite')",-0.016805738,0.014666878,-0.040204413,-0.090678565,0.0043444,-0.0167254,-0.0210698
14,0.07168886,0.1329624,"('antisocial', 'social')",0.049013384,0.106419705,-0.6336194,-0.6602913,-0.1709724,-0.1403031,0.0306693
15,0.44221172,0.38298118,"('boring', 'funny')",-0.48849776,-0.54842764,0.3837539,0.36771175,0.1124893,0.0674218,-0.0450675
16,-1.3574784,-1.385417,"('unpopular', 'popular')",-0.52873796,-0.58660173,0.6577742,0.68045723,-0.4094807,-0.4305205,-0.0210398
17,-1.0952905,-1.1188875,"('nasty', 'nice')",-0.5517296,-0.55069584,-0.1444779,-0.08917825,-0.597166,-0.5862538,0.0109122
18,0.07364193,-0.055003587,"('disagreeable', 'welcoming')",-0.38137716,-0.47076774,-0.31491366,-0.45504555,-0.2075496,-0.3269389,-0.1193893
19,-0.0072335657,-0.13904577,"('inhospitable', 'hospitable')",-0.49751467,-0.57696724,0.06272453,0.044085555,-0.1473412,-0.2239758,-0.0766346
20,0.13036685,0.11232729,"('rough', 'thoughtful')",1.1833199,1.1728663,1.2358155,1.1406531,0.8498341,0.8086156,-0.0412185
