,cuisine_male,cuisine_female,tuple,average_male,average_female,female-male
0,0.24210045,0.076211944,"('unsociable', 'sociable')",0.2421004,0.0762119,-0.1658885
1,1.0656065,1.0681627,"('unfriendly', 'friendly')",1.0656065,1.0681627,0.0025562
2,0.624128,0.7560392,"('unlikable', 'likable')",0.624128,0.7560392,0.1319112
3,0.90957016,0.96913594,"('repellent', 'pleasant')",0.9095702,0.9691359,0.0595657
4,-7.362367,-7.4230723,"('disliked', 'liked')",-7.3623672,-7.4230723,-0.0607051
5,-0.6387206,-0.40702936,"('distant', 'outgoing')",-0.6387206,-0.4070294,0.2316912
6,-0.31928462,-0.07965516,"('distant', 'open')",-0.3192846,-0.0796552,0.2396294
7,0.7083762,0.87017304,"('insensitive', 'sensitive')",0.7083762,0.870173,0.1617968
8,0.66142166,0.78204286,"('unaffectionate', 'affectionate')",0.6614217,0.7820429,0.1206212
9,1.2720116,1.5138512,"('unaffectionate', 'caring')",1.2720116,1.5138512,0.2418396
10,1.5341338,1.6172734,"('unsympathetic', 'sympathetic')",1.5341338,1.6172734,0.0831396
11,2.1697192,2.1951573,"('unhelpful', 'helpful')",2.1697192,2.1951573,0.0254381
12,-1.8226345,-1.7337064,"('unsupportive', 'supportive')",-1.8226345,-1.7337064,0.0889281
13,0.7830969,0.66275746,"('impolite', 'polite')",0.7830969,0.6627575,-0.1203394
14,-0.09398842,-0.270147,"('antisocial', 'social')",-0.0939884,-0.270147,-0.1761586
15,0.41339862,0.40500095,"('boring', 'funny')",0.4133986,0.405001,-0.0083976
16,-0.36810556,-0.29347828,"('unpopular', 'popular')",-0.3681056,-0.2934783,0.0746273
17,-0.19443166,-0.17332426,"('nasty', 'nice')",-0.1944317,-0.1733243,0.0211074
18,-0.7243018,-0.84315324,"('disagreeable', 'welcoming')",-0.7243018,-0.8431532,-0.1188514
19,-0.77910906,-0.548065,"('inhospitable', 'hospitable')",-0.7791091,-0.548065,0.2310441
20,0.97966033,0.94176626,"('rough', 'thoughtful')",0.9796603,0.9417663,-0.037894
21,0.5452341,0.66713566,"('immoral', 'moral')",0.5452341,0.6671357,0.1219016
22,-0.35102987,-0.36954567,"('untrustworthy', 'trustworthy')",-0.3510299,-0.3695457,-0.0185158
23,6.341407,6.493143,"('insincere', 'sincere')",6.3414068,6.4931431,0.1517363
24,1.6501654,1.7459246,"('dishonest', 'honest')",1.6501654,1.7459246,0.0957592
