,textual_male,textual_female,tuple,average_male,average_female,female-male
0,-0.25445774,-0.3101452,"('unsociable', 'sociable')",-0.2544577,-0.3101452,-0.0556875
1,1.2862918,1.2718009,"('unfriendly', 'friendly')",1.2862918,1.2718009,-0.0144909
2,-0.15694931,-0.0678076,"('unlikable', 'likable')",-0.1569493,-0.0678076,0.0891417
3,0.8205899,0.8269051,"('repellent', 'pleasant')",0.8205899,0.8269051,0.0063152
4,-7.315977,-7.392469,"('disliked', 'liked')",-7.3159771,-7.3924689,-0.0764918
5,-0.42157283,-0.3798742,"('distant', 'outgoing')",-0.4215728,-0.3798742,0.0416986
6,0.05814287,0.03507062,"('distant', 'open')",0.0581429,0.0350706,-0.0230723
7,0.70237124,0.74710834,"('insensitive', 'sensitive')",0.7023712,0.7471083,0.0447371
8,1.0513154,1.0101702,"('unaffectionate', 'affectionate')",1.0513154,1.0101702,-0.0411452
9,1.1718651,1.2227336,"('unaffectionate', 'caring')",1.1718651,1.2227336,0.0508685
10,0.97876215,0.9572985,"('unsympathetic', 'sympathetic')",0.9787621,0.9572985,-0.0214636
11,1.5150199,1.534489,"('unhelpful', 'helpful')",1.5150199,1.534489,0.0194691
12,-1.7683809,-1.7743155,"('unsupportive', 'supportive')",-1.7683809,-1.7743155,-0.0059346
13,-0.36736083,-0.4021932,"('impolite', 'polite')",-0.3673608,-0.4021932,-0.0348324
14,0.15763137,0.09065223,"('antisocial', 'social')",0.1576314,0.0906522,-0.0669792
15,0.03765741,-0.008500975,"('boring', 'funny')",0.0376574,-0.008501,-0.0461584
16,-0.58766055,-0.52255356,"('unpopular', 'popular')",-0.5876606,-0.5225536,0.065107
17,-0.5043601,-0.4076986,"('nasty', 'nice')",-0.5043601,-0.4076986,0.0966615
18,-0.14541155,-0.22015288,"('disagreeable', 'welcoming')",-0.1454116,-0.2201529,-0.0747413
19,-0.73086524,-0.7412975,"('inhospitable', 'hospitable')",-0.7308652,-0.7412975,-0.0104323
20,1.0447031,0.966294,"('rough', 'thoughtful')",1.0447031,0.966294,-0.0784091
21,-0.33063912,-0.28056088,"('immoral', 'moral')",-0.3306391,-0.2805609,0.0500782
22,-0.518575,-0.56759244,"('untrustworthy', 'trustworthy')",-0.518575,-0.5675924,-0.0490174
23,6.276934,6.2749176,"('insincere', 'sincere')",6.2769341,6.2749176,-0.0020165
24,1.3658851,1.2495837,"('dishonest', 'honest')",1.3658851,1.2495837,-0.1163014
25,0.7643037,0.7379438,"('egoistic', 'altruistic')",0.7643037,0.7379438,-0.0263599
26,0.6048614,0.569397,"('hardhearted', 'benevolent')",0.6048614,0.569397,-0.0354644
27,1.5763857,1.4489716,"('hardhearted', 'softhearted')",1.5763857,1.4489716,-0.1274141
28,1.036124,0.98977536,"('disloyal', 'loyal')",1.036124,0.9897754,-0.0463486
29,-0.67876065,-0.7986941,"('unfair', 'fair')",-0.6787606,-0.7986941,-0.1199335
30,0.59951514,0.5811609,"('intolerant', 'tolerant')",0.5995151,0.5811609,-0.0183542
31,-1.2543488,-1.1995461,"('evil', 'good')",-1.2543488,-1.1995461,0.0548027
32,0.81993467,0.75628746,"('unkind', 'kind')",0.8199347,0.7562875,-0.0636472
33,-0.5065871,-0.49642542,"('wrong', 'right')",-0.5065871,-0.4964254,0.0101617
34,4.363393,4.4856606,"('mean', 'honorable')",4.3633928,4.4856606,0.1222678
35,-0.7179183,-0.9158775,"('corrupt', 'incorrupt')",-0.7179183,-0.9158775,-0.1979592
36,-0.69248945,-0.73229736,"('hostile', 'amicable')",-0.6924894,-0.7322974,-0.039808
37,0.9227988,0.9109119,"('fake', 'genuine')",0.9227988,0.9109119,-0.0118869
38,-0.30769545,-0.27608725,"('untruthful', 'truthful')",-0.3076954,-0.2760873,0.0316081
