,plier_male,plier_female,tuple,average_male,average_female,female-male
0,0.553293,0.5485364,"('unsociable', 'sociable')",0.553293,0.5485364,-0.0047566
1,-0.7327891,-0.8241138,"('unfriendly', 'friendly')",-0.7327891,-0.8241138,-0.0913247
2,0.08714837,0.10765466,"('unlikable', 'likable')",0.0871484,0.1076547,0.0205063
3,-0.15747909,0.0059641637,"('repellent', 'pleasant')",-0.1574791,0.0059642,0.1634433
4,-3.4220202,-3.4009418,"('disliked', 'liked')",-3.4220202,-3.4009418,0.0210784
5,-1.7674391,-1.7709391,"('distant', 'outgoing')",-1.7674391,-1.7709391,-0.0035
6,-1.5828372,-1.6231052,"('distant', 'open')",-1.5828372,-1.6231052,-0.040268
7,0.6157696,0.63769895,"('insensitive', 'sensitive')",0.6157696,0.6376989,0.0219293
8,-0.32057458,-0.41220507,"('unaffectionate', 'affectionate')",-0.3205746,-0.4122051,-0.0916305
9,-0.2336139,-0.29010463,"('unaffectionate', 'caring')",-0.2336139,-0.2901046,-0.0564907
10,0.21283191,0.26871222,"('unsympathetic', 'sympathetic')",0.2128319,0.2687122,0.0558803
11,0.51804614,0.5878316,"('unhelpful', 'helpful')",0.5180461,0.5878316,0.0697855
12,-0.9615017,-0.88014996,"('unsupportive', 'supportive')",-0.9615017,-0.88015,0.0813517
13,0.1070609,0.13254091,"('impolite', 'polite')",0.1070609,0.1325409,0.02548
14,1.0713865,1.0694873,"('antisocial', 'social')",1.0713865,1.0694873,-0.0018992
15,0.17690586,-0.009063925,"('boring', 'funny')",0.1769059,-0.0090639,-0.1859698
16,-0.37625137,-0.43661472,"('unpopular', 'popular')",-0.3762514,-0.4366147,-0.0603633
17,-0.46348614,-0.46143425,"('nasty', 'nice')",-0.4634861,-0.4614342,0.0020519
18,-1.3862631,-1.3164265,"('disagreeable', 'welcoming')",-1.3862631,-1.3164265,0.0698366
19,-1.8481938,-1.7961233,"('inhospitable', 'hospitable')",-1.8481938,-1.7961233,0.0520705
20,0.4788768,0.5118801,"('rough', 'thoughtful')",0.4788768,0.5118801,0.0330033
21,0.24518204,0.3801099,"('immoral', 'moral')",0.245182,0.3801099,0.1349279
22,-0.23315163,-0.22371686,"('untrustworthy', 'trustworthy')",-0.2331516,-0.2237169,0.0094347
23,2.6793091,2.6957633,"('insincere', 'sincere')",2.6793091,2.6957633,0.0164542
24,0.11596312,0.012626996,"('dishonest', 'honest')",0.1159631,0.012627,-0.1033361
25,-0.03985857,-0.100128986,"('egoistic', 'altruistic')",-0.0398586,-0.100129,-0.0602704
26,0.70712006,0.54177606,"('hardhearted', 'benevolent')",0.7071201,0.5417761,-0.165344
27,0.074009925,-0.05269658,"('hardhearted', 'softhearted')",0.0740099,-0.0526966,-0.1267065
28,0.66651165,0.7056931,"('disloyal', 'loyal')",0.6665117,0.7056931,0.0391814
29,-0.51574343,-0.5895021,"('unfair', 'fair')",-0.5157434,-0.5895021,-0.0737587
30,0.8900069,0.9221972,"('intolerant', 'tolerant')",0.8900069,0.9221972,0.0321903
31,-1.5539874,-1.5024638,"('evil', 'good')",-1.5539874,-1.5024638,0.0515236
32,0.20430866,0.13239732,"('unkind', 'kind')",0.2043087,0.1323973,-0.0719114
33,-0.1532048,-0.24549478,"('wrong', 'right')",-0.1532048,-0.2454948,-0.09229
34,1.705092,1.8757708,"('mean', 'honorable')",1.705092,1.8757708,0.1706788
35,-0.5230693,-0.6717347,"('corrupt', 'incorrupt')",-0.5230693,-0.6717347,-0.1486654
36,-1.4085065,-1.4043274,"('hostile', 'amicable')",-1.4085065,-1.4043274,0.0041791
37,0.4882748,0.5443274,"('fake', 'genuine')",0.4882748,0.5443274,0.0560526
38,-0.030819308,-0.055995345,"('untruthful', 'truthful')",-0.0308193,-0.0559953,-0.025176
39,0.35031193,0.35713467,"('exploitative', 'cooperative')",0.3503119,0.3571347,0.0068228
40,-1.4883301,-1.4638575,"('stingy', 'generous')",-1.4883301,-1.4638575,0.0244726
41,0.44510746,0.5468749,"('unforgiving', 'forgiving')",0.4451075,0.5468749,0.1017674
42,-1.0967965,-1.0113662,"('unreliable', 'reliable')",-1.0967965,-1.0113662,0.0854303
43,0.18176782,0.19992125,"('irresponsible', 'responsible')",0.1817678,0.1999213,0.0181535
44,-0.7158789,-0.69961494,"('prejudiced', 'unprejudiced')",-0.7158789,-0.6996149,0.016264
45,0.41522455,0.5539862,"('incompetent', 'competent')",0.4152246,0.5539862,0.1387616
