,united_male,united_female,tuple,airlines_male,airlines_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.43240762,-0.5433402,"('unsociable', 'sociable')",-0.91609126,-0.94778377,-0.21530774,-0.41941905,-0.31015232,-0.44613707,-0.4684897,-0.58917,-0.1206803
1,-0.5287071,-0.47905847,"('unfriendly', 'friendly')",0.8785017,0.945571,-0.10879814,-0.24079594,1.4383515,1.3256936,0.419837,0.3878525,-0.0319845
2,0.5135916,0.70030344,"('unlikable', 'likable')",0.3996071,0.4891483,1.6152902,1.7093041,0.668853,0.7585475,0.7993355,0.9143258,0.1149903
3,-0.6579199,-0.54022056,"('repellent', 'pleasant')",-0.556956,-0.5125934,0.46346435,0.49958503,0.38996583,0.413625,-0.0903614,-0.034901,0.0554604
4,-0.021288102,-0.06960757,"('disliked', 'liked')",0.2608257,0.21432582,0.0477809,-0.031420097,-5.9107833,-5.9698057,-1.4058661,-1.4641269,-0.0582608
5,0.2630071,0.34965488,"('distant', 'outgoing')",0.71990484,0.80677783,-0.938392,-0.8812955,-0.39118373,-0.3786564,-0.0866659,-0.0258798,0.0607861
6,0.086150184,0.2112929,"('distant', 'open')",0.61898184,0.70084465,-1.0288754,-1.0015384,0.4750616,0.4390962,0.0378296,0.0874238,0.0495942
7,0.2980081,0.26386586,"('insensitive', 'sensitive')",0.31572104,0.3117967,0.67823124,0.5875971,0.83196306,0.7387377,0.5309808,0.4754993,-0.0554815
8,-0.06951906,0.019343112,"('unaffectionate', 'affectionate')",0.31543142,0.29517648,-0.5637072,-0.5929897,0.49290568,0.3950395,0.0437777,0.0291423,-0.0146354
9,0.33170927,0.38716272,"('unaffectionate', 'caring')",0.3359124,0.30992696,-0.0154174045,-0.10061174,0.90694135,0.837334,0.3897864,0.358453,-0.0313334
10,0.3049457,0.3099673,"('unsympathetic', 'sympathetic')",-1.249525,-1.230175,-0.5046261,-0.6448517,-0.16620685,-0.23329116,-0.4038531,-0.4495876,-0.0457345
11,-0.46364743,-0.39424545,"('unhelpful', 'helpful')",-0.6167681,-0.56516635,-0.6969466,-0.74732006,1.7107059,1.7411759,-0.0166641,0.008611,0.0252751
12,0.40473297,0.55323315,"('unsupportive', 'supportive')",-0.23308612,-0.14087968,-0.06636798,-0.016314806,-1.7253736,-1.7531294,-0.4050237,-0.3392727,0.065751
13,-0.37080675,-0.43349355,"('impolite', 'polite')",-0.31137642,-0.27844435,0.21326298,0.1501047,0.030384757,-0.023088098,-0.1096339,-0.1462303,-0.0365964
14,0.5297141,0.41280463,"('antisocial', 'social')",-0.48865885,-0.5155843,2.242864,2.1787913,-0.33280683,-0.4059341,0.4877781,0.4175194,-0.0702587
15,-0.21762675,-0.3462583,"('boring', 'funny')",0.51803035,0.45928484,-1.2574561,-1.3288828,0.31827748,0.26446697,-0.1596937,-0.2378473,-0.0781536
