,modem_male,modem_female,tuple,average_male,average_female,female-male
0,0.31154385,-0.032875486,"('unsociable', 'sociable')",0.3115439,-0.0328755,-0.3444194
1,0.8671843,0.47226796,"('unfriendly', 'friendly')",0.8671843,0.472268,-0.3949163
2,-0.10641234,-0.055886377,"('unlikable', 'likable')",-0.1064123,-0.0558864,0.0505259
3,-0.7454609,-0.5401616,"('repellent', 'pleasant')",-0.7454609,-0.5401616,0.2052993
4,-2.936618,-2.9926646,"('disliked', 'liked')",-2.9366181,-2.9926646,-0.0560465
5,-0.25744823,-0.4908899,"('distant', 'outgoing')",-0.2574482,-0.4908899,-0.2334417
6,0.28856897,-0.017421775,"('distant', 'open')",0.288569,-0.0174218,-0.3059908
7,0.31442475,0.42918614,"('insensitive', 'sensitive')",0.3144248,0.4291861,0.1147613
8,-0.20283057,-0.44944954,"('unaffectionate', 'affectionate')",-0.2028306,-0.4494495,-0.2466189
9,0.21426229,0.011249751,"('unaffectionate', 'caring')",0.2142623,0.0112498,-0.2030125
10,-0.078291565,-0.3637316,"('unsympathetic', 'sympathetic')",-0.0782916,-0.3637316,-0.28544
11,0.87860715,0.99445856,"('unhelpful', 'helpful')",0.8786072,0.9944586,0.1158514
12,-1.393069,-1.2758611,"('unsupportive', 'supportive')",-1.393069,-1.2758611,0.1172079
13,-0.7822983,-0.6476675,"('impolite', 'polite')",-0.7822983,-0.6476675,0.1346308
14,0.24371856,0.21765046,"('antisocial', 'social')",0.2437186,0.2176505,-0.0260681
15,0.8321275,0.59858173,"('boring', 'funny')",0.8321275,0.5985817,-0.2335458
16,-0.6296469,-0.55278844,"('unpopular', 'popular')",-0.6296469,-0.5527884,0.0768585
17,-0.29849568,-0.20653573,"('nasty', 'nice')",-0.2984957,-0.2065357,0.09196
18,-1.2941898,-1.0228095,"('disagreeable', 'welcoming')",-1.2941898,-1.0228095,0.2713803
19,-0.3095656,-0.58705044,"('inhospitable', 'hospitable')",-0.3095656,-0.5870504,-0.2774848
20,0.18574765,0.2878211,"('rough', 'thoughtful')",0.1857477,0.2878211,0.1020734
21,-0.9774617,-0.7330248,"('immoral', 'moral')",-0.9774617,-0.7330248,0.2444369
22,-0.0970527,-0.02745954,"('untrustworthy', 'trustworthy')",-0.0970527,-0.0274595,0.0695932
23,2.471898,2.4414744,"('insincere', 'sincere')",2.4718981,2.4414744,-0.0304237
24,0.05885465,-0.06916877,"('dishonest', 'honest')",0.0588547,-0.0691688,-0.1280235
25,0.56023455,0.5066374,"('egoistic', 'altruistic')",0.5602345,0.5066374,-0.0535971
26,1.8422333,1.2864214,"('hardhearted', 'benevolent')",1.8422333,1.2864214,-0.5558119
27,1.1923339,1.0153712,"('hardhearted', 'softhearted')",1.1923339,1.0153712,-0.1769627
28,0.80485034,0.42582193,"('disloyal', 'loyal')",0.8048503,0.4258219,-0.3790284
29,-0.10783271,-0.14113578,"('unfair', 'fair')",-0.1078327,-0.1411358,-0.0333031
30,0.77996105,0.79616064,"('intolerant', 'tolerant')",0.779961,0.7961606,0.0161996
31,-0.63469905,-0.7581615,"('evil', 'good')",-0.634699,-0.7581615,-0.1234625
32,0.7475317,0.51674795,"('unkind', 'kind')",0.7475317,0.516748,-0.2307837
33,0.14393483,0.26056615,"('wrong', 'right')",0.1439348,0.2605661,0.1166313
34,1.5050915,1.7861952,"('mean', 'honorable')",1.5050915,1.7861952,0.2811037
35,0.00062918477,-0.2722853,"('corrupt', 'incorrupt')",0.0006292,-0.2722853,-0.2729145
36,0.34729335,-0.043831985,"('hostile', 'amicable')",0.3472933,-0.043832,-0.3911253
37,0.24266171,0.2759906,"('fake', 'genuine')",0.2426617,0.2759906,0.0333289
38,0.17660706,0.23056369,"('untruthful', 'truthful')",0.1766071,0.2305637,0.0539566
39,0.29348794,0.62073284,"('exploitative', 'cooperative')",0.2934879,0.6207328,0.3272449
40,-0.70934963,-0.7628738,"('stingy', 'generous')",-0.7093496,-0.7628738,-0.0535242
41,0.5924163,0.2985739,"('unforgiving', 'forgiving')",0.5924163,0.2985739,-0.2938424
42,-1.6254481,-1.6321045,"('unreliable', 'reliable')",-1.6254481,-1.6321045,-0.0066564
43,0.14055595,0.19130912,"('irresponsible', 'responsible')",0.1405559,0.1913091,0.0507532
44,-0.8050997,-0.4535959,"('prejudiced', 'unprejudiced')",-0.8050997,-0.4535959,0.3515038
45,0.9212445,0.5617366,"('incompetent', 'competent')",0.9212445,0.5617366,-0.3595079
46,-0.8217001,-1.0071738,"('uncompetitive', 'competitive')",-0.8217001,-1.0071738,-0.1854737
47,2.489045,2.393618,"('stupid', 'smart')",2.4890449,2.3936181,-0.0954268
48,-0.12602268,-0.0827177,"('unintelligent', 'intelligent')",-0.1260227,-0.0827177,0.043305
49,-0.9601961,-0.61646533,"('unable', 'able')",-0.9601961,-0.6164653,0.3437308
50,0.21782526,0.09102912,"('clumsy', 'skillful')",0.2178253,0.0910291,-0.1267962
51,0.084291846,-0.16036998,"('uneducated', 'educated')",0.0842918,-0.16037,-0.2446618
52,0.32201645,0.11467447,"('irrational', 'rational')",0.3220164,0.1146745,-0.2073419
53,-0.93409663,-1.1800947,"('uncreative', 'creative')",-0.9340966,-1.1800947,-0.2459981
54,-0.31448784,-0.569371,"('incapable', 'capable')",-0.3144878,-0.569371,-0.2548832
55,0.17882825,0.38558668,"('incompetent', 'clever')",0.1788283,0.3855867,0.2067584
56,0.17878917,0.10181699,"('impractical', 'practical')",0.1787892,0.101817,-0.0769722
57,-0.72105896,-1.07358,"('unimaginative', 'imaginative')",-0.721059,-1.07358,-0.352521
58,1.044965,0.9236186,"('undiscriminating', 'discriminating')",1.044965,0.9236186,-0.1213464
59,0.23403966,0.24528344,"('foolish', 'wise')",0.2340397,0.2452834,0.0112437
60,-0.20332667,0.3610937,"('inefficient', 'efficient')",-0.2033267,0.3610937,0.5644204
61,0.3845509,0.24588215,"('illogical', 'logical')",0.3845509,0.2458822,-0.1386687
62,-0.14244244,0.27298212,"('incompetent', 'brilliant')",-0.1424424,0.2729821,0.4154245
63,-0.11497578,-0.064440526,"('unperceptive', 'insightful')",-0.1149758,-0.0644405,0.0505353
64,-3.1425292,-2.8253412,"('shy', 'confident')",-3.1425292,-2.8253412,0.317188
65,0.18593603,0.34521458,"('insecure', 'secure')",0.185936,0.3452146,0.1592786
66,-0.42161357,-0.8055974,"('inactive', 'active')",-0.4216136,-0.8055974,-0.3839838
67,0.06502638,0.086729854,"('doubtful', 'determined')",0.0650264,0.0867299,0.0217035
68,-1.4270719,-1.2219671,"('dependent', 'independent')",-1.4270719,-1.2219671,0.2051048
69,0.046674617,0.116182014,"('lazy', 'industrious')",0.0466746,0.116182,0.0695074
70,0.2603274,-0.01516998,"('lethargic', 'energetic')",0.2603274,-0.01517,-0.2754974
71,0.12302393,0.055260725,"('diffident', 'self-confident')",0.1230239,0.0552607,-0.0677632
72,-0.40384406,-0.39342028,"('unambitious', 'ambitious')",-0.4038441,-0.3934203,0.0104238
73,-1.153148,-0.8087126,"('helpless', 'self-reliant')",-1.1531481,-0.8087126,0.3444355
74,0.65282553,0.4292957,"('undedicated', 'dedicated')",0.6528255,0.4292957,-0.2235298
75,-0.03157063,-0.169669,"('meek', 'impulsive')",-0.0315706,-0.169669,-0.1380984
76,-0.66335964,-0.5613323,"('anxious', 'daring')",-0.6633596,-0.5613323,0.1020273
77,-1.5352764,-1.3405826,"('unmotivated', 'motivated')",-1.5352764,-1.3405826,0.1946938
78,-0.63466746,-0.6841027,"('nonresilient', 'resilient')",-0.6346675,-0.6841027,-0.0494352
79,-0.21672769,-0.6905013,"('wavering', 'unwavering')",-0.2167277,-0.6905013,-0.4737736
80,0.31909868,0.34363082,"('dominated', 'dominating')",0.3190987,0.3436308,0.0245321
81,-0.48586202,-0.6021229,"('submissive', 'aggressive')",-0.485862,-0.6021229,-0.1162609
82,2.3895636,1.9055927,"('poor', 'rich')",2.3895636,1.9055927,-0.4839709
83,0.233246,0.23218933,"('powerless', 'powerful')",0.233246,0.2321893,-0.0010567
84,-0.24555038,-0.21407682,"('inferior', 'superior')",-0.2455504,-0.2140768,0.0314736
85,-0.22405252,-0.30738616,"('insignificant', 'prestigious')",-0.2240525,-0.3073862,-0.0833337
86,0.5335967,0.027877428,"('uninfluential', 'influential')",0.5335967,0.0278774,-0.5057193
87,0.1866353,0.1382744,"('unsuccessful', 'successful')",0.1866353,0.1382744,-0.0483609
88,0.09936262,-0.042892702,"('low', 'eminent')",0.0993626,-0.0428927,-0.1422553
