,danaher_male,danaher_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.9131855,0.79139614,"('unsociable', 'sociable')",-0.17880496,-0.3834473,0.3671902,0.2039744,-0.1632158
1,-1.8537929,-1.9959501,"('unfriendly', 'friendly')",1.2669611,1.1148932,-0.2934159,-0.4405285,-0.1471126
2,0.43559325,0.17933191,"('unlikable', 'likable')",0.7538506,0.68839717,0.5947219,0.4338645,-0.1608574
3,0.22743931,0.47681263,"('repellent', 'pleasant')",0.7280385,0.65508705,0.4777389,0.5659499,0.088211
4,-1.4170285,-1.6097238,"('disliked', 'liked')",-6.794346,-6.914867,-4.1056871,-4.2622952,-0.1566081
5,-2.4143949,-2.4427016,"('distant', 'outgoing')",-0.60083693,-0.4612931,-1.5076159,-1.4519973,0.0556186
6,-2.8712864,-2.8050714,"('distant', 'open')",-0.66772324,-0.5440303,-1.7695048,-1.6745508,0.094954
7,0.77968955,1.009693,"('insensitive', 'sensitive')",-0.04331522,0.025306283,0.3681872,0.5174996,0.1493124
8,-2.1177168,-2.2924767,"('unaffectionate', 'affectionate')",0.65109724,0.5936506,-0.7333097,-0.849413,-0.1161033
9,-1.6152517,-1.5459838,"('unaffectionate', 'caring')",1.0077821,1.0690765,-0.3037348,-0.2384536,0.0652812
10,1.3491693,1.5718992,"('unsympathetic', 'sympathetic')",-0.24618298,-0.29604924,0.5514932,0.637925,0.0864318
11,1.6668586,1.7001946,"('unhelpful', 'helpful')",2.161623,2.3297632,1.9142408,2.0149789,0.1007381
12,0.15599683,0.46696487,"('unsupportive', 'supportive')",-2.1999555,-2.1005476,-1.0219793,-0.8167914,0.2051879
13,1.4409084,1.3161824,"('impolite', 'polite')",-0.5912829,-0.55855286,0.4248128,0.3788148,-0.045998
14,1.8077878,1.8049496,"('antisocial', 'social')",-0.11209196,-0.29103586,0.8478479,0.7569569,-0.090891
15,-0.052482784,-0.19997421,"('boring', 'funny')",-0.18411693,-0.17219132,-0.1182999,-0.1860828,-0.0677829
16,-1.6888051,-1.7188548,"('unpopular', 'popular')",0.20265973,0.12085751,-0.7430727,-0.7989987,-0.055926
17,-0.4953552,-0.46425512,"('nasty', 'nice')",-0.6333081,-0.57841486,-0.5643317,-0.521335,0.0429967
18,-0.8329625,-0.8524827,"('disagreeable', 'welcoming')",-0.55760205,-0.63504934,-0.6952823,-0.743766,-0.0484837
19,-1.8476902,-1.9175112,"('inhospitable', 'hospitable')",-0.5938853,-0.44577426,-1.2207878,-1.1816428,0.039145
20,0.39354587,0.33011997,"('rough', 'thoughtful')",0.9509561,0.8734156,0.672251,0.6017678,-0.0704832
21,2.3142385,2.2810457,"('immoral', 'moral')",-0.22025049,-0.32054865,1.046994,0.9802485,-0.0667455
22,1.2372153,1.1891086,"('untrustworthy', 'trustworthy')",-1.0203203,-1.0961934,0.1084475,0.0464576,-0.0619899
23,1.0165473,1.0493182,"('insincere', 'sincere')",5.7927265,5.885151,3.4046369,3.4672346,0.0625977
