,income_male,income_female,tuple,average_male,average_female,female-male
0,0.20245904,0.04419418,"('unsociable', 'sociable')",0.202459,0.0441942,-0.1582648
1,0.79162675,0.8012492,"('unfriendly', 'friendly')",0.7916268,0.8012492,0.0096224
2,0.27325976,0.3550766,"('unlikable', 'likable')",0.2732598,0.3550766,0.0818168
3,0.28109992,0.41851103,"('repellent', 'pleasant')",0.2810999,0.418511,0.1374111
4,-6.8972874,-6.944438,"('disliked', 'liked')",-6.8972874,-6.944438,-0.0471506
5,-0.9768504,-0.8729981,"('distant', 'outgoing')",-0.9768504,-0.8729981,0.1038523
6,-0.4713666,-0.42683187,"('distant', 'open')",-0.4713666,-0.4268319,0.0445347
7,1.1017344,1.1049572,"('insensitive', 'sensitive')",1.1017344,1.1049572,0.0032228
8,0.9554789,1.007571,"('unaffectionate', 'affectionate')",0.9554789,1.007571,0.0520921
9,1.4705544,1.556483,"('unaffectionate', 'caring')",1.4705544,1.556483,0.0859286
10,1.4412875,1.3519711,"('unsympathetic', 'sympathetic')",1.4412875,1.3519711,-0.0893164
11,1.9568574,1.8838147,"('unhelpful', 'helpful')",1.9568574,1.8838147,-0.0730427
12,-1.2187939,-1.1859592,"('unsupportive', 'supportive')",-1.2187939,-1.1859592,0.0328347
13,-0.26937574,-0.30354032,"('impolite', 'polite')",-0.2693757,-0.3035403,-0.0341646
14,0.3413159,0.29257128,"('antisocial', 'social')",0.3413159,0.2925713,-0.0487446
15,0.20472425,0.18084767,"('boring', 'funny')",0.2047243,0.1808477,-0.0238766
16,-0.7370378,-0.59263575,"('unpopular', 'popular')",-0.7370378,-0.5926358,0.144402
17,0.23878965,0.21609753,"('nasty', 'nice')",0.2387896,0.2160975,-0.0226921
18,-0.8723429,-0.86205465,"('disagreeable', 'welcoming')",-0.8723429,-0.8620546,0.0102883
19,-0.7095555,-0.6351924,"('inhospitable', 'hospitable')",-0.7095555,-0.6351924,0.0743631
20,0.7292996,0.623434,"('rough', 'thoughtful')",0.7292996,0.623434,-0.1058656
21,0.021128237,0.030019775,"('immoral', 'moral')",0.0211282,0.0300198,0.0088916
22,-0.34764993,-0.39602873,"('untrustworthy', 'trustworthy')",-0.3476499,-0.3960287,-0.0483788
23,5.911567,5.8954387,"('insincere', 'sincere')",5.9115672,5.8954387,-0.0161285
24,1.8259013,1.7513244,"('dishonest', 'honest')",1.8259013,1.7513244,-0.0745769
25,0.3823884,0.33528847,"('egoistic', 'altruistic')",0.3823884,0.3352885,-0.0470999
