,ceridian_male,ceridian_female,tuple,h_male,h_female,c_male,c_female,m_male,m_female,holding_male,holding_female,inc_male,inc_female,average_male,average_female,female-male
0,0.10104563,-0.05346494,"('unsociable', 'sociable')",0.44702008,0.31717467,0.040125195,-0.066019416,-0.22645724,-0.2560826,1.0445805,0.87953377,-0.21797043,-0.3756071,0.1980573,0.0742557,-0.1238016
1,-2.6345408,-2.6807578,"('unfriendly', 'friendly')",-1.1594816,-1.0793793,-1.1888784,-1.2296594,-0.30642194,-0.29857394,-0.38857055,-0.42732188,0.9664206,0.79166335,-0.7852455,-0.8206716,-0.0354261
2,1.0475609,1.0909523,"('unlikable', 'likable')",1.5379494,1.6403521,1.2063429,1.2556278,0.52666456,0.55845106,1.4591722,1.6158822,0.91120017,1.0666046,1.114815,1.204645,0.08983
3,0.025685849,0.12592374,"('repellent', 'pleasant')",0.5732828,0.58583856,1.079122,1.0684079,1.834701,1.8264539,0.22617106,0.32982984,0.4371999,0.49892357,0.6960271,0.7392296,0.0432025
4,-0.8000106,-0.82234937,"('disliked', 'liked')",0.37633383,0.37766635,0.70685995,0.6415186,0.35659528,0.2589355,-0.57239634,-0.64707786,-4.6298532,-4.6270256,-0.7604119,-0.8030554,-0.0426435
5,-1.6971447,-1.6516072,"('distant', 'outgoing')",-0.712085,-0.5535247,0.064421296,0.07908942,0.87091476,0.8589101,-2.0415356,-2.018575,-0.25629163,-0.25800586,-0.6286202,-0.5906188,0.0380014
6,-2.0541608,-1.9043081,"('distant', 'open')",-0.89665145,-0.6015749,-0.010219328,0.11198564,0.7237142,0.76427174,-1.7824417,-1.6944557,0.10723045,0.10887671,-0.6520881,-0.5358675,0.1162206
7,0.35421172,0.34078237,"('insensitive', 'sensitive')",0.36055848,0.3591837,-0.7696621,-0.71610045,-0.9216832,-0.83602023,0.6022005,0.6522074,0.43220425,0.35994646,0.0096383,0.0266665,0.0170282
8,-1.1261071,-1.0821201,"('unaffectionate', 'affectionate')",-1.1277595,-0.99673814,-0.80611503,-0.74411964,-1.6096824,-1.5456847,0.008055516,0.03175624,0.002542682,-0.10207307,-0.776511,-0.7398299,0.0366811
9,-1.4074402,-1.3682301,"('unaffectionate', 'caring')",-0.61863583,-0.48688838,-0.17341988,-0.12410223,-0.6042754,-0.53827214,0.6837519,0.6231673,0.86070615,0.7438429,-0.2098856,-0.1917471,0.0181385
