,walmart_male,walmart_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.25979176,0.24273886,"('unsociable', 'sociable')",-0.07738985,-0.20040096,0.091201,0.0211689,-0.0700321
1,0.53406423,0.5955452,"('unfriendly', 'friendly')",2.2866087,2.2115395,1.4103365,1.4035423,-0.0067942
2,0.26961988,0.30841947,"('unlikable', 'likable')",0.7459775,0.8009217,0.5077987,0.5546706,0.0468719
3,-1.2020787,-1.0491062,"('repellent', 'pleasant')",-0.079394266,-0.073525175,-0.6407365,-0.5613157,0.0794208
4,0.20921418,0.24053529,"('disliked', 'liked')",-6.499288,-6.524908,-3.1450369,-3.1421864,0.0028505
5,1.0128056,1.0047157,"('distant', 'outgoing')",0.011698574,0.03030873,0.5122521,0.5175122,0.0052601
6,0.6235199,0.6578891,"('distant', 'open')",0.4519918,0.4175411,0.5377558,0.5377151,-4.07e-05
7,-0.42179552,-0.34661704,"('insensitive', 'sensitive')",0.60283905,0.6017148,0.0905218,0.1275489,0.0370271
8,0.27099836,0.21581781,"('unaffectionate', 'affectionate')",0.94189036,0.8828423,0.6064444,0.5493301,-0.0571143
9,0.60110277,0.5482729,"('unaffectionate', 'caring')",1.3048202,1.276732,0.9529614,0.9125024,-0.040459
10,-1.225196,-1.1892678,"('unsympathetic', 'sympathetic')",-0.35656658,-0.3799965,-0.7908813,-0.7846321,0.0062492
11,-0.82746404,-0.833285,"('unhelpful', 'helpful')",1.920911,1.9627047,0.5467235,0.5647098,0.0179863
12,0.13619472,0.19395554,"('unsupportive', 'supportive')",-1.4774067,-1.4823346,-0.670606,-0.6441895,0.0264165
13,-0.40810445,-0.45206854,"('impolite', 'polite')",-0.45145878,-0.5148932,-0.4297816,-0.4834809,-0.0536993
14,-0.9632879,-0.9350026,"('antisocial', 'social')",-0.6415074,-0.69223356,-0.8023976,-0.8136181,-0.0112205
15,0.46784794,0.38748044,"('boring', 'funny')",0.5048772,0.5043468,0.4863626,0.4459136,-0.040449
16,0.07797099,0.16888343,"('unpopular', 'popular')",0.5074307,0.5246496,0.2927008,0.3467665,0.0540657
17,-0.33779204,-0.2849484,"('nasty', 'nice')",-0.70367914,-0.64172876,-0.5207356,-0.4633386,0.057397
18,-0.25518584,-0.17798947,"('disagreeable', 'welcoming')",-0.33770102,-0.42031795,-0.2964434,-0.2991537,-0.0027103
19,0.27659348,0.31210747,"('inhospitable', 'hospitable')",0.31618416,0.36792365,0.2963888,0.3400156,0.0436268
20,0.12959585,0.21113324,"('rough', 'thoughtful')",1.1851915,1.1397014,0.6573937,0.6754173,0.0180236
21,-0.5086911,-0.497255,"('immoral', 'moral')",-0.37577522,-0.3530441,-0.4422331,-0.4251496,0.0170835
22,-1.0824373,-1.0772865,"('untrustworthy', 'trustworthy')",-1.113454,-1.1957605,-1.0979457,-1.1365235,-0.0385778
23,0.039706748,0.09241168,"('insincere', 'sincere')",6.183972,6.0888686,3.1118393,3.0906401,-0.0211992
24,-0.037530776,-0.09377283,"('dishonest', 'honest')",1.119219,1.044483,0.5408441,0.4753551,-0.065489
25,0.46754354,0.42757237,"('egoistic', 'altruistic')",1.5363442,1.5328348,1.0019438,0.9802036,-0.0217402
26,0.5154522,0.51418287,"('hardhearted', 'benevolent')",1.6974401,1.6332783,1.1064461,1.0737306,-0.0327155
27,0.59266907,0.547119,"('hardhearted', 'softhearted')",1.6922308,1.5956897,1.14245,1.0714043,-0.0710457
28,-0.21197438,-0.3292095,"('disloyal', 'loyal')",1.0960054,1.003437,0.4420155,0.3371138,-0.1049017
29,0.0042186677,0.029073315,"('unfair', 'fair')",-0.1493447,-0.23692556,-0.072563,-0.1039261,-0.0313631
30,-0.20662378,-0.15309519,"('intolerant', 'tolerant')",0.98472023,0.8958955,0.3890482,0.3714001,-0.0176481
31,-0.35418987,-0.18952754,"('evil', 'good')",-0.78974044,-0.81524926,-0.5719652,-0.5023884,0.0695768
