,catalent_male,catalent_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.23457141,-0.29049355,"('unsociable', 'sociable')",-0.2923717,-0.4094756,-0.2634715,-0.3499846,-0.0865131
1,-1.8072027,-1.8236248,"('unfriendly', 'friendly')",1.9712365,1.9086223,0.0820169,0.0424987,-0.0395182
2,0.40960068,0.41466215,"('unlikable', 'likable')",0.52480805,0.5977467,0.4672044,0.5062044,0.039
3,-0.9878958,-0.8838135,"('repellent', 'pleasant')",0.1944592,0.2727855,-0.3967183,-0.305514,0.0912043
4,-0.72245836,-0.78059804,"('disliked', 'liked')",-6.345285,-6.437937,-3.5338717,-3.6092675,-0.0753958
5,-1.695591,-1.6308471,"('distant', 'outgoing')",0.0012011752,0.010203097,-0.8471949,-0.810322,0.0368729
6,-2.0155704,-1.9574128,"('distant', 'open')",0.48749864,0.4880536,-0.7640359,-0.7346796,0.0293563
7,-0.08854636,0.028439172,"('insensitive', 'sensitive')",0.46687987,0.5714581,0.1891668,0.2999486,0.1107818
8,-1.3604916,-1.3755242,"('unaffectionate', 'affectionate')",1.1708248,1.0983479,-0.0948334,-0.1385881,-0.0437547
9,-1.6479275,-1.6128631,"('unaffectionate', 'caring')",1.1249832,1.143072,-0.2614722,-0.2348955,0.0265767
10,-0.41727462,-0.32680976,"('unsympathetic', 'sympathetic')",-0.56123614,-0.60554737,-0.4892554,-0.4661786,0.0230768
11,0.2511261,0.3504638,"('unhelpful', 'helpful')",1.4728771,1.5814848,0.8620017,0.9659743,0.1039726
12,-0.44277167,-0.2892933,"('unsupportive', 'supportive')",-1.8710278,-1.8278359,-1.1568997,-1.0585647,0.098335
13,-0.15944783,-0.1554584,"('impolite', 'polite')",-0.77370614,-0.7253592,-0.466577,-0.4404088,0.0261682
14,0.58119076,0.56342465,"('antisocial', 'social')",-0.49676698,-0.5819817,0.0422119,-0.0092785,-0.0514904
15,0.2372275,0.1458055,"('boring', 'funny')",0.36257827,0.31634247,0.2999029,0.231074,-0.0688289
16,-0.78568286,-0.76947343,"('unpopular', 'popular')",0.48915875,0.5204264,-0.1482621,-0.1245235,0.0237386
17,-0.34483227,-0.3088845,"('nasty', 'nice')",-0.4553299,-0.40208313,-0.4000811,-0.3554838,0.0445973
18,-0.5324848,-0.39892882,"('disagreeable', 'welcoming')",-0.19179934,-0.17900088,-0.3621421,-0.2889649,0.0731772
19,-1.6329888,-1.5494715,"('inhospitable', 'hospitable')",-0.12999412,-0.002024834,-0.8814915,-0.7757482,0.1057433
20,0.19261345,0.21942371,"('rough', 'thoughtful')",1.2989274,1.2300291,0.7457705,0.7247264,-0.0210441
21,0.5082737,0.5542549,"('immoral', 'moral')",-0.68083876,-0.5963914,-0.0862825,-0.0210682,0.0652143
22,0.40308294,0.4332491,"('untrustworthy', 'trustworthy')",-0.78411216,-0.83589953,-0.1905146,-0.2013252,-0.0108106
23,-0.5287491,-0.4445672,"('insincere', 'sincere')",5.410015,5.42098,2.4406331,2.4882064,0.0475733
24,-0.433853,-0.46849057,"('dishonest', 'honest')",0.73092204,0.6869699,0.1485345,0.1092397,-0.0392948
