,shrimp_male,shrimp_female,tuple,average_male,average_female,female-male
0,0.25399047,0.30312288,"('unsociable', 'sociable')",0.2539905,0.3031229,0.0491324
1,1.4914,1.4205923,"('unfriendly', 'friendly')",1.4914,1.4205923,-0.0708077
2,0.13577215,0.21017338,"('unlikable', 'likable')",0.1357722,0.2101734,0.0744012
3,0.8755049,1.0542428,"('repellent', 'pleasant')",0.8755049,1.0542428,0.1787379
4,-6.8296003,-6.9550543,"('disliked', 'liked')",-6.8296003,-6.9550543,-0.125454
5,-0.44514802,-0.55429834,"('distant', 'outgoing')",-0.445148,-0.5542983,-0.1091503
6,0.0035807565,-0.14653581,"('distant', 'open')",0.0035808,-0.1465358,-0.1501166
7,1.0870858,1.3177406,"('insensitive', 'sensitive')",1.0870858,1.3177406,0.2306548
8,1.2599566,1.0586104,"('unaffectionate', 'affectionate')",1.2599566,1.0586104,-0.2013462
9,1.5430112,1.5114474,"('unaffectionate', 'caring')",1.5430112,1.5114474,-0.0315638
10,0.8101259,0.9796178,"('unsympathetic', 'sympathetic')",0.8101259,0.9796178,0.1694919
11,1.4443088,1.6157014,"('unhelpful', 'helpful')",1.4443088,1.6157014,0.1713926
12,-1.152015,-1.0981236,"('unsupportive', 'supportive')",-1.152015,-1.0981236,0.0538914
13,0.020939387,0.1481225,"('impolite', 'polite')",0.0209394,0.1481225,0.1271831
14,0.27644154,0.30852216,"('antisocial', 'social')",0.2764415,0.3085222,0.0320807
15,0.57803386,0.5359972,"('boring', 'funny')",0.5780339,0.5359972,-0.0420367
16,-0.49070466,-0.518197,"('unpopular', 'popular')",-0.4907047,-0.518197,-0.0274923
17,-0.1608356,-0.2113635,"('nasty', 'nice')",-0.1608356,-0.2113635,-0.0505279
18,-0.25564998,-0.20557112,"('disagreeable', 'welcoming')",-0.25565,-0.2055711,0.0500789
19,-0.6148611,-0.59685796,"('inhospitable', 'hospitable')",-0.6148611,-0.596858,0.0180031
20,0.52278715,0.4342015,"('rough', 'thoughtful')",0.5227872,0.4342015,-0.0885857
21,-0.18712993,0.13535312,"('immoral', 'moral')",-0.1871299,0.1353531,0.322483
22,-0.33772606,-0.17356676,"('untrustworthy', 'trustworthy')",-0.3377261,-0.1735668,0.1641593
23,6.0125184,6.279441,"('insincere', 'sincere')",6.0125184,6.2794409,0.2669225
24,1.3063947,1.4058182,"('dishonest', 'honest')",1.3063947,1.4058182,0.0994235
25,1.0785583,1.060016,"('egoistic', 'altruistic')",1.0785583,1.060016,-0.0185423
26,1.2081826,0.89921135,"('hardhearted', 'benevolent')",1.2081826,0.8992113,-0.3089713
27,1.68198,1.5073504,"('hardhearted', 'softhearted')",1.68198,1.5073504,-0.1746296
28,1.1149515,1.0519749,"('disloyal', 'loyal')",1.1149515,1.0519749,-0.0629766
29,-0.66013455,-0.7795426,"('unfair', 'fair')",-0.6601346,-0.7795426,-0.119408
30,0.84955823,0.95731395,"('intolerant', 'tolerant')",0.8495582,0.957314,0.1077558
31,-0.7415792,-0.98879147,"('evil', 'good')",-0.7415792,-0.9887915,-0.2472123
32,0.8652682,0.8686745,"('unkind', 'kind')",0.8652682,0.8686745,0.0034063
33,-0.19980094,-0.30888042,"('wrong', 'right')",-0.1998009,-0.3088804,-0.1090795
34,3.9531324,4.2300644,"('mean', 'honorable')",3.9531324,4.2300644,0.276932
35,-0.991213,-1.3821269,"('corrupt', 'incorrupt')",-0.991213,-1.3821269,-0.3909139
36,-0.5560724,-0.8749733,"('hostile', 'amicable')",-0.5560724,-0.8749733,-0.3189009
37,1.0958924,1.082149,"('fake', 'genuine')",1.0958924,1.082149,-0.0137434
38,-0.4329456,-0.33777106,"('untruthful', 'truthful')",-0.4329456,-0.3377711,0.0951745
39,0.38956505,0.42726067,"('exploitative', 'cooperative')",0.3895651,0.4272607,0.0376956
40,-1.0054884,-0.8680518,"('stingy', 'generous')",-1.0054884,-0.8680518,0.1374366
41,0.55046755,0.39117807,"('unforgiving', 'forgiving')",0.5504676,0.3911781,-0.1592895
42,-2.3043056,-2.0325975,"('unreliable', 'reliable')",-2.3043056,-2.0325975,0.2717081
43,0.72477436,0.90830904,"('irresponsible', 'responsible')",0.7247744,0.908309,0.1835346
44,-1.3242432,-1.3894842,"('prejudiced', 'unprejudiced')",-1.3242432,-1.3894842,-0.065241
45,0.14093104,0.14347355,"('incompetent', 'competent')",0.140931,0.1434736,0.0025426
46,-0.85158205,-0.65323085,"('uncompetitive', 'competitive')",-0.8515821,-0.6532308,0.1983513
47,4.330111,4.4670067,"('stupid', 'smart')",4.330111,4.4670067,0.1368957
48,0.49954253,0.62512034,"('unintelligent', 'intelligent')",0.4995425,0.6251203,0.1255778
49,-0.25761083,-0.14319508,"('unable', 'able')",-0.2576108,-0.1431951,0.1144157
50,-0.32937485,-0.22392175,"('clumsy', 'skillful')",-0.3293748,-0.2239217,0.1054531
51,0.18361247,0.44239014,"('uneducated', 'educated')",0.1836125,0.4423901,0.2587776
52,0.03985785,-0.20639716,"('irrational', 'rational')",0.0398578,-0.2063972,-0.246255
53,0.04665775,0.036822557,"('uncreative', 'creative')",0.0466577,0.0368226,-0.0098351
54,0.80364823,0.9112178,"('incapable', 'capable')",0.8036482,0.9112178,0.1075696
55,0.87003785,1.1707801,"('incompetent', 'clever')",0.8700379,1.1707801,0.3007422
56,0.10896264,0.34425563,"('impractical', 'practical')",0.1089626,0.3442556,0.235293
57,-2.0780718,-2.0298092,"('unimaginative', 'imaginative')",-2.0780718,-2.0298092,0.0482626
58,-0.14600687,-0.030687228,"('undiscriminating', 'discriminating')",-0.1460069,-0.0306872,0.1153197
59,-0.02431304,-0.02099621,"('foolish', 'wise')",-0.024313,-0.0209962,0.0033168
60,0.10701964,0.4569366,"('inefficient', 'efficient')",0.1070196,0.4569366,0.349917
61,0.33732995,0.22764555,"('illogical', 'logical')",0.33733,0.2276455,-0.1096845
62,0.49283516,0.8319103,"('incompetent', 'brilliant')",0.4928352,0.8319103,0.3390751
63,0.30597743,0.5100244,"('unperceptive', 'insightful')",0.3059774,0.5100244,0.204047
64,-6.1195354,-5.861354,"('shy', 'confident')",-6.1195354,-5.8613539,0.2581815
65,0.34303504,0.7371345,"('insecure', 'secure')",0.343035,0.7371345,0.3940995
66,-0.36383447,-0.5661249,"('inactive', 'active')",-0.3638345,-0.5661249,-0.2022904
67,-0.6956531,-0.7962522,"('doubtful', 'determined')",-0.6956531,-0.7962522,-0.1005991
68,-0.9623565,-0.701493,"('dependent', 'independent')",-0.9623565,-0.701493,0.2608635
69,-1.7288436,-1.916791,"('lazy', 'industrious')",-1.7288436,-1.916791,-0.1879474
70,0.99822015,1.2536585,"('lethargic', 'energetic')",0.9982201,1.2536585,0.2554384
71,0.49993014,0.45922017,"('diffident', 'self-confident')",0.4999301,0.4592202,-0.0407099
72,0.720605,1.0036839,"('unambitious', 'ambitious')",0.720605,1.0036839,0.2830789
73,-2.3727345,-2.1438892,"('helpless', 'self-reliant')",-2.3727345,-2.1438892,0.2288453
74,0.34255332,0.30687726,"('undedicated', 'dedicated')",0.3425533,0.3068773,-0.035676
75,-1.0008465,-1.0021232,"('meek', 'impulsive')",-1.0008465,-1.0021232,-0.0012767
76,0.22265027,0.3857384,"('anxious', 'daring')",0.2226503,0.3857384,0.1630881
77,-1.4983095,-1.3267567,"('unmotivated', 'motivated')",-1.4983095,-1.3267567,0.1715528
78,-0.73908937,-0.82164997,"('nonresilient', 'resilient')",-0.7390894,-0.82165,-0.0825606
79,-0.27154598,-0.344203,"('wavering', 'unwavering')",-0.271546,-0.344203,-0.072657
80,-0.040645644,0.04696171,"('dominated', 'dominating')",-0.0406456,0.0469617,0.0876073
81,-0.2129173,0.023094855,"('submissive', 'aggressive')",-0.2129173,0.0230949,0.2360122
82,5.8260527,6.0462694,"('poor', 'rich')",5.8260527,6.0462694,0.2202167
83,-0.62747705,-0.4744609,"('powerless', 'powerful')",-0.627477,-0.4744609,0.1530161
84,0.20943472,0.2760878,"('inferior', 'superior')",0.2094347,0.2760878,0.0666531
85,-0.73217404,-1.0158936,"('insignificant', 'prestigious')",-0.732174,-1.0158936,-0.2837196
86,0.57219726,0.5976036,"('uninfluential', 'influential')",0.5721973,0.5976036,0.0254063
87,0.24221629,0.36157367,"('unsuccessful', 'successful')",0.2422163,0.3615737,0.1193574
88,-0.34993926,-0.22703984,"('low', 'eminent')",-0.3499393,-0.2270398,0.1228995
