,wyeth_male,wyeth_female,tuple,average_male,average_female,female-male
0,-1.1904858,-1.3142586,"('unsociable', 'sociable')",-1.1904858,-1.3142586,-0.1237728
1,-0.56112623,-0.5055881,"('unfriendly', 'friendly')",-0.5611262,-0.5055881,0.0555381
2,0.02782372,0.24618524,"('unlikable', 'likable')",0.0278237,0.2461852,0.2183615
3,-1.5225478,-1.4156548,"('repellent', 'pleasant')",-1.5225478,-1.4156548,0.106893
4,-0.53099155,-0.549904,"('disliked', 'liked')",-0.5309916,-0.549904,-0.0189124
5,0.24504235,0.34035283,"('distant', 'outgoing')",0.2450424,0.3403528,0.0953104
6,0.61117846,0.7200727,"('distant', 'open')",0.6111785,0.7200727,0.1088942
7,-0.5385526,-0.5276569,"('insensitive', 'sensitive')",-0.5385526,-0.5276569,0.0108957
8,0.11858688,0.22759984,"('unaffectionate', 'affectionate')",0.1185869,0.2275998,0.1090129
9,-0.20896699,-0.11966407,"('unaffectionate', 'caring')",-0.208967,-0.1196641,0.0893029
10,-1.4849029,-1.5788593,"('unsympathetic', 'sympathetic')",-1.4849029,-1.5788593,-0.0939564
11,-0.88189584,-0.98009694,"('unhelpful', 'helpful')",-0.8818958,-0.9800969,-0.0982011
12,-1.3099875,-1.2964077,"('unsupportive', 'supportive')",-1.3099875,-1.2964077,0.0135798
13,-1.2379286,-1.3252122,"('impolite', 'polite')",-1.2379286,-1.3252122,-0.0872836
14,-0.7198075,-0.7149974,"('antisocial', 'social')",-0.7198075,-0.7149974,0.0048101
15,1.3964977,1.3761748,"('boring', 'funny')",1.3964977,1.3761748,-0.0203229
16,-0.77907515,-0.7171614,"('unpopular', 'popular')",-0.7790751,-0.7171614,0.0619137
17,0.10595168,0.1624291,"('nasty', 'nice')",0.1059517,0.1624291,0.0564774
18,-1.0947338,-0.9884645,"('disagreeable', 'welcoming')",-1.0947338,-0.9884645,0.1062693
19,-0.10205487,0.023864968,"('inhospitable', 'hospitable')",-0.1020549,0.023865,0.1259199
20,-0.4176378,-0.3316206,"('rough', 'thoughtful')",-0.4176378,-0.3316206,0.0860172
21,-1.9184679,-1.8786768,"('immoral', 'moral')",-1.9184679,-1.8786768,0.0397911
22,-0.5701623,-0.68445724,"('untrustworthy', 'trustworthy')",-0.5701623,-0.6844572,-0.1142949
23,0.13845818,0.08712549,"('insincere', 'sincere')",0.1384582,0.0871255,-0.0513327
