,viavi_male,viavi_female,tuple,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.46824098,-0.5270489,"('unsociable', 'sociable')",1.0201191,0.9005348,-0.48694715,-0.62459373,0.0216436,-0.0837026,-0.1053462
1,-0.9875087,-0.93662524,"('unfriendly', 'friendly')",0.45954672,0.3075366,1.9347639,1.8449961,0.468934,0.4053025,-0.0636315
2,0.620042,0.6747944,"('unlikable', 'likable')",1.0464487,1.137156,0.8347541,0.9439525,0.8337483,0.9186343,0.084886
3,-0.49277586,-0.34998146,"('repellent', 'pleasant')",0.17548367,0.26228473,-0.24513032,-0.22055319,-0.1874742,-0.10275,0.0847242
4,-0.5696455,-0.6331888,"('disliked', 'liked')",-0.5615127,-0.61605155,-5.757921,-5.9049478,-2.2963599,-2.3847294,-0.0883695
5,-1.2887055,-1.2117571,"('distant', 'outgoing')",-0.36457193,-0.3698833,0.07663867,0.07504774,-0.5255462,-0.5021975,0.0233487
6,-1.3363436,-1.1894917,"('distant', 'open')",-0.40671086,-0.40876344,0.71059453,0.6810172,-0.3441533,-0.305746,0.0384073
7,0.24066019,0.28075325,"('insensitive', 'sensitive')",0.38186255,0.4388897,0.2256787,0.2551012,0.2827338,0.3249147,0.0421809
8,-1.0190072,-1.011922,"('unaffectionate', 'affectionate')",-0.84437966,-0.833962,0.92740345,0.8777059,-0.3119945,-0.3227261,-0.0107316
9,-0.6750806,-0.64868367,"('unaffectionate', 'caring')",0.26255953,0.24346349,1.1152844,1.0888437,0.2342545,0.2278745,-0.00638
10,-0.28280574,-0.20333706,"('unsympathetic', 'sympathetic')",0.27783632,0.2713564,-0.7110409,-0.7324243,-0.2386701,-0.2214683,0.0172018
11,0.2954944,0.33071384,"('unhelpful', 'helpful')",1.2596648,1.2789451,1.4431537,1.5112267,0.9994377,1.0402952,0.0408575
12,0.10649495,0.3282521,"('unsupportive', 'supportive')",1.0466075,1.1969249,-1.792457,-1.7635525,-0.2131182,-0.0794585,0.1336597
13,0.38459706,0.353008,"('impolite', 'polite')",0.73103774,0.7375722,-0.5420375,-0.564844,0.1911991,0.1752454,-0.0159537
14,0.8769266,0.8682224,"('antisocial', 'social')",1.0495682,1.0538634,-0.8877219,-0.92805165,0.3462576,0.3313447,-0.0149129
15,-0.022691209,-0.22999045,"('boring', 'funny')",0.31127167,0.27982724,0.8074726,0.7472342,0.365351,0.2656903,-0.0996607
16,-0.72407675,-0.6710074,"('unpopular', 'popular')",-0.43412593,-0.38246888,0.43866384,0.45028967,-0.2398463,-0.2010622,0.0387841
17,-0.13773507,-0.0652114,"('nasty', 'nice')",-0.34988245,-0.2533697,-0.4517586,-0.40707096,-0.3131254,-0.241884,0.0712414
18,0.06722683,0.20529011,"('disagreeable', 'welcoming')",0.09549646,0.18298651,-0.1558315,-0.19667663,0.0022973,0.0638667,0.0615694
